project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Fields West,TABS2025014694,Building K Garage,"14001 Holt, Frisco, TX 75033",Denton,7/1/2025,3/1/2027,"$26,450,000",New Construction,"This project is privately funded, on private land for private use.","Shared-use parking garage building with a total of 485,146 SF","485,146 ft 2",FW Development LLC,"7901 Windrose Avenue Suite 2606, Plano, Texas 75024",214-473-9700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014694,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",214.273.1572,
Fields West,TABS2025014683,Building J Mixed Use,"14101 Wentwood, Frisco, TX 75033",Denton,7/1/2025,3/1/2027,"$4,800,000",New Construction,"This project is privately funded, on private land for private use.","Commercial mixed-use building with a total of 26,939 SF","26,939 ft 2",FW Development LLC,"7901 Windrose Avenue Suite 2606, Plano, Texas 75024",214-473-9700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014683,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",214.273.1572,
Fields West,TABS2025014670,Building J Garage,"5100 Bearing St., Frisco, TX 75033",Denton,7/1/2025,3/1/2027,"$11,800,000",New Construction,"This project is privately funded, on private land for private use.","Shared-use parking garage building with a total of 169,781 SF","169,781 ft 2",FW Development LLC,"7901 Windrose Avenue Suite 2606, Plano, Texas 75024",214-473-9700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014670,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",214.273.1572,
Paris Baguette,TABS2025014630,INTERNATIONAL BUSINESS PARK,"3204 E. HEBRON PARKWAY BUILDING 3, SUITE 300, Carrollton, TX 75010",Denton,6/15/2025,8/15/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","COMMERCIAL TENANT IMPROVEMENT OF EXISTING SPACE TO NEW FOOD SERVICE ESTABLISHMENT CONCEPT - PARIS BAGUETTE. NEW KITCHEN EQUIPMENT, INTERIOR PARTITION WALLS, PLUMBING, MECHANICAL, AND ELECTRICAL SCOPES. DEFERRED SUBMITTAL FOR FIRE SUPPRESSION / ALARM ","2,627 ft 2",BILLINGSLEY COMPANY,"1722 ROUTH STREET SUITE 770, Dallas, Texas 75201",972-820-2236,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014630,ONE ARCHITECTURE,"8686 N Central Ave Suite 166, Phoenix, Arizona 85020",602-266-2712,RAJESH POTLA AND SREKANTH PERAM
PDI Tenant Improvements,TABS2025014612,Masch Branch - 380 Industrial Building 1,"2075 Masch Branch Rd., Denton, TX 76207",Denton,4/1/2025,6/1/2025,"$240,000",New Construction,"This project is privately funded, on private land for private use.","New tenant finish out consisting of 3,518 sf of office space, and existing 48,322 sf of warehouse space improvements. ","51,840 ft 2","Box 380 Industrial, LLC","741 Timber Ridge Road, Graham, Texas 76450",(972) 897-2060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014612,"RGA Architects, inc.","301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,
"Hilti, Inc.",TABS2025014520,Building 3,"800 W. FM3040 Suite 300, Lewisville, TX 75067",Denton,6/1/2025,1/31/2026,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing wharehouse,"9,253 ft 2",CenterPoint Properties,"945 Bunker Hill Suite 625, Houston, Texas 77024",(281) 839-5551,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014520,Harry Gendel Architects,"1807 Decatur, Houston, Texas 77007",(713) 266-6100,
TWU Auditorium Renovation,TABS2025014507,Multipurpose Classroom Laboratory (MCL),"1314 N Bell Ave, Denton, TX 76209",Denton,4/14/2025,8/29/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Updated lighting, finishes, doors/hardware & acoustics in auditorium to meet new performance standards. ","6,000 ft 2",Texas Woman's University,"1200 Frame St, Denton, Texas 76209",945-444-1997,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014507,PBK Architects,"601 NW Loop 410, San Antonio, Texas 78216",(210) 739-9226,
Gruns,TABS2025014433,Gruns Nutrition,"215 Fairway Drive, Roanoke, TX 76262",Denton,3/31/2025,4/4/2025,"$215,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of high-pile racking,"29,012 ft 2",Beacon Land Company,"225 Airport Circle, Corona, California 92878",(951) 372-9555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014433,"Structural Engineering & Design, Inc.","1815 Wright Ave Suite 200, La Verne, California 91750",995961351,Matt Webb
L121 Phase 2,TABS2025014401,Building 7,"Spinks Road, Lewisville, TX 75028",Denton,5/1/2025,5/1/2026,"$8,408,974",New Construction,"This project is privately funded, on private land for private use.","The project consist of a newly constructed shell building containing 188,442 sf of warehouse space located in Lewisville, Texas. ","188,442 ft 2","CAL TDC Lewisvillle 121 Phase 2, LLC / Transwestern","1900 West Loop South Suite 1300, Houston, Texas 77027",214-886-7313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014401,RGA Architects,"301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,
L121 Phase 2,TABS2025014397,Building 5,"Spinks Road, Lewisville, TX 75028",Denton,5/1/2025,5/1/2026,"$8,044,644",New Construction,"This project is privately funded, on private land for private use.","The project consist of a newly constructed shell building containing 174,923 sf of warehouse space located in Lewisville, Texas. ","174,923 ft 2","CAL TDC Lewisvillle 121 Phase 2, LLC / Transwestern","1900 West Loop South Suite 1300, Houston, Texas 77027",214-886-7313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014397,RGA Architects,"301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,
PNC Bank,TABS2025014333,PNC Bank - Little Elm,"Four Corners Shopping Center - block A Lot 21, Little Elm, TX 75033",Denton,7/1/2025,12/31/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",One story bank with drive-thru,"3,108 ft 2",FSWC LP,"7001 Preston Road Suite 410, Dallas, Texas 75205",(214) 533-5225,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014333,GPD Group Professional Corporation,"520 S Main Street Suite 2531, Akron, Ohio 44311",(469) 573-4306,Krystal Walker
