project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
MEAT WALA,TABS2026001138,7TH INDIA PLAZA,"6701 COLLIN MCKINNEY PARKWAY #STE. 200, Mckinney, TX 75070",Collin,11/25/2025,1/25/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION ALTERATION ,"1,505 ft 2",BAZAAR BUILDERS AND DEVELOPERS LLC,"6217 MONTE CRISTO LN, PLANO, Texas 75024",469-982-2587,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001138,JALEES AHMED MOHAMMAD,CORINTHIAN DESIGN ASSOCIATES LLC,"10420 AMBERGATE LN, FRISCO, Texas 75035",(214) 223-4501
Firefly Park Retail E02,TABS2026001133,Firefly Park Retail E02,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$160,000",New Construction,"This project is privately funded, on private land for private use.",Retail/restaurant 700 sqft E02 shell building.,700 ft 2,Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001133,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail E01,TABS2026001132,Firefly Park Retail E01,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$340,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 1,500 sqft E01 shell building.","1,500 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001132,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail D,TABS2026001129,Firefly Park Retail D,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$5,800,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 25,700 sqft D shell building.","25,700 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001129,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail C,TABS2026001125,Firefly Park Retail C,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$5,300,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 23,600 sqft C shell building.","23,600 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001125,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail B03,TABS2026001122,Firefly Park Retail B03,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 6,100 B03 shell building.","6,100 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001122,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail B02,TABS2026001117,Firefly Park Retail B02,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$90,000",New Construction,"This project is privately funded, on private land for private use.",Retail/restaurant 400 sqft shell building.,400 ft 2,Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001117,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail B01,TABS2026001114,Firefly Park Retail B01,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 6,700 sqft B01 shell building.","6,700 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001114,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail A02,TABS2026001112,Firefly Park Retail A02,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$2,900,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 12,900 sqft A02 shell building.","12,900 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001112,,Ward Architecture PLLC,"5004 Thompson Terrace Ste 107, Colleyvlle, Texas 76034",(817) 281-5600
Firefly Park Retail A01,TABS2026001109,Firefly Park Retail A01,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,12/1/2026,"$4,100,000",New Construction,"This project is privately funded, on private land for private use.","Retail/restaurant 18,200 sqft A01 shell building.","18,200 ft 2",Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Fort Worth, Texas 76126",(817) 850-5334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001109,,Ward Architecture PLLC,"5004 Thompson Terrace Suite 107, Colleyvlle, Texas 76034",(817) 281-5600
QSLWM,TABS2026001069,Legacy Town Center III,"5801 Tennyson Parkway, Suite 440, Plano, TX 75024",Collin,9/22/2025,2/20/2026,"$539,476",Renovation/Alteration,"This project is privately funded, on private land for private use.","5,373 SF of tenant improvement.","5,373 ft 2",KBSIII Legacy Town Center LLC c/o KBS Capital Advisors LLC,"800 Newport Center Dr., Suite 700, Newport Beach, California 92660",(972) 403-1108,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001069,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Mi Cocina,TABS2026001065,The Star,"6740 winning drive #1010, Frisco, TX 75034",Collin,10/13/2025,11/17/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Patio addition to existing restaurant lease space. All existing electrical. mechanical and plumbing equipment.,193 ft 2,Blue Star Frisco Retail LLC,"1 Cowboys Way suite 262, Frisco, Texas 75034",(469) 388-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001065,,"Hub City Productions One, LP","800 Exposition Ave Apt 1, Dallas, Texas 75226",(214) 821-8242
Desperados Plano,TABS2026001030,On The Border - Weitzman Group,"5960 W Parker 210, Plano, TX 75093",Collin,9/17/2025,10/31/2025,"$235,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","tile, fixtures, millwork,hardware, drywall. We are not making any structural changes","3,000 ft 2",Weitzman,"3102 Maple Avenue, Dallas, Texas 75201",(214) 954-0600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001030,,,,
Project Launch,TABS2026001027,Legacy Central III,"6600 Chase Oaks Boulevard Suite 140, Plano, TX 75023",Collin,9/16/2025,12/9/2025,"$3,155,293",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"28,281 ft 2",Legacy Central III/AR LC1-3 LLC,"12100 Wilshire Blvd Suite 1750, Los Angeles, California 90025",(972) 696-7301,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001027,,Schwabauer Design,"1600 North Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
Burlington - McKinney,TABS2026001026,380 Towne Crossing,"2050 West University Drive Suite 250, Mckinney, TX 75071",Collin,11/24/2025,4/17/2026,"$986,250",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant improvement project in an existing 19,725 s.f. space. ","19,725 ft 2",380 Younger LLC,"14643 Dallas Parkway Suite 950, Dallas, Texas 75254",214-294-4400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001026,Gerry Creagh,Epoch Design Group,"345 Marshall Ave Suite 103, St. Louis, Missouri 63119",(314) 721-1340
"Alley Reconstruction - Sunflower Lane, Sun Meadows Street, Cherrywood Lane, Sandpiper Circle, Windi",TABS2026000952,"Sunflower Lane, Sun Meadows Street, Cherrywood Lane, Sandpiper Circle...","Various Streets, Plano, TX 75074",Collin,7/30/2024,7/30/2025,"$1,866,669",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement of approximately 5,783 linear feet of existing alley at the following locations: Sunflower Lane, Sun Meadows Street, Cherrywood Lane, Sandpiper Circle, Winding Brook Drive, Oak Shores Drive, and Westmoreland Drive.","5,783 ft 2",City of Plano,"1520 K Avenue, Suite 250, Plano, Texas 75074",972-941-7564,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000952,,"BGE, Inc","2595 Dallas Parkway, Suite 101, Frisco, Texas 75034",972-464-4812
"El Pollo Loco - 6211 McKinney, TX",TABS2026000947,"6211 McKinney, TX","211 N Custer Road, Mckinney, TX 75071",Collin,10/20/2025,12/15/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Alteration of an existing drive-thru restaurant to be converted into an El Pollo Loco restaurant. Work includes new exterior finishes, paint, awnings, and signage. As well as updates to the interior kitchen and dining areas.","1,961 ft 2","Webb Chapel Village, Inc.","8400 West Chester Drive, Suite 350, Dallas, Texas 75225",(214) 361-8300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000947,,"Sevan Design Solutions, P.C.","3025 Highland Parkway Suite 850, Downers Grove, Illinois 60515",(412) 651-6182
WING DASH,TABS2026000943,WING DASH MCKINNEY,"507-511 S CHESTNUT ST., Mckinney, TX 75069",Collin,11/1/2025,8/31/2026,"$800,000",New Construction,"This project is privately funded, on private land for private use.",New shell building construction and interior tenant finish-out for a restaurant.,"4,500 ft 2",ONE PIECE PROPERTIES LLC,"2700 OLD DENTON RD APT 3365, CARROLLTON, Texas 75007",(817) 312-7311,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000943,,LCD,"11848 Harrisburg Dr., FRISCO, Texas 75035",972-342-3818
Frisco Fencing Academy,TABS2026000917,Frisco Fencing Academy,"8795 Preston Trace Blvd Suite 200, Frisco, TX 75003",Collin,10/6/2025,12/26/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finishout by tenant,"4,100 ft 2",WELLPOINTE PARTNERS FRISCO LLC,"8105 RASOR BLVD STE 272, Plano, Texas 75024",(913) 200-9509,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000917,,,,
Allen ISD | Anderson ECS Reno,TABS2026000907,Rise Stop Six Daycare,"1451 N. Watters Rd., Allen, TX 75013",Collin,1/1/2026,8/1/2026,"$24,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",renovation,"93,902 ft 2",Allen ISD,"1451 N. Watters Rd. #500, Allen, Texas 75013",214-727-9000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000907,,Huckabee,"801 Cherry St. #500, Ft. Worth, Texas 76102",(800) 687-1229
Eldorado Dental,TABS2026000905,Eldorado,"2148 N. Lake Forest Dr, Ste 300, Mckinney, TX 75074",Collin,10/27/2025,2/20/2026,"$365,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of shell space.,"2,000 ft 2",Tony Reyes,"2148 N. Lake Forest Dr, McKinney, Texas 75074",(469) 338-1606,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000905,,Perez Architecture Studio,"PO Box 223, Crandall, Texas 75114",(214) 718-0584
Davenport Offices,TABS2026000901,Davenport Offices,"17738 Davenport Road, Dallas, TX 75252",Collin,12/1/2025,12/31/2026,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.","2-story office building. 23,000sf","23,000 ft 2",2400 Daven LLC,"6501 Barnsbury Ct, Dallas, Texas 75248",310-613-3635,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000901,,Westlake Architecture & Consulting,"8566 Eustis Ave, Dallas, Texas 75218",214-803-4303
"Preston Hickory Office Park, Bldg 15",TABS2026000866,Bldg 15,"SEC of Preston Rd. and Hickory St, Frisco, TX 75034",Collin,9/30/2025,9/30/2026,"$200,000",New Construction,"This project is privately funded, on private land for private use.",single story shell building and related site improvements,"4,949 ft 2",PRESTON HICKORY OFFICE PARK LLC,"1901 N. Akard, Dallas, Texas 75201",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000866,,TW Snider & Associates LLC,"3922 Clear Water Ln., Nevada, Texas 75173",972-816-5163
PGA TOUR SUPERSTORE - SERVICES REMODEL,TABS2026000851,PRESTON VILLAGE SHOPPING CENTER,"8700 Preston Road Suite 100, Plano, TX 75024",Collin,12/1/2025,4/1/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of the Repair Services department, updating to meet current store plan standards","1,132 ft 2","Golf & Tennis Pro Shop, INC.","1805 Old Alabama Road Suite 300, Roswell, Georgia 30076",(678) 987-7984,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000851,PGA TOUR SUPERSTORE,"CNNA ARCHITECTS, INC","119 Luckie Street NW Suite 100, ATLANTA, Georgia 30303",(404) 522-0077
RaceTrac #0581 McDermott,TABS2026000850,RaceTrac #0581 McDermott (HFR#25.764),"9110 Coit Road, Plano, TX 75025",Collin,3/2/2026,9/15/2027,"$835,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Modify existing equipment line to incorporate new Grab-N-Go offer, remove equipment & re-locate equipment throughout sales floor. Scope to include architectural, plumbing, mechanical and electrical trades.","5,928 ft 2",RaceTrac Inc.,"200 Galleria Parkway Southeast Suite 900, Atlanta, Georgia 30339",(770) 431-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000850,,Hill Foley Rossi & Associates,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858
RaceTrac #0210 Renner,TABS2026000849,RaceTrac #0210 Renner (HFR#25.763),"3455 E. Renner Road, Plano, TX 75074",Collin,3/2/2026,9/15/2027,"$835,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Modify existing equipment line to incorporate new Grab-N-Go offer, remove equipment & re-locate equipment throughout sales floor. Scope to include architectural, plumbing, mechanical and electrical trades.","5,928 ft 2",RaceTrac Inc.,"200 Galleria Parkway Southeast Suite 900, Atlanta, Georgia 30339",(770) 431-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000849,,Hill Foley Rossi & Associates,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858
Livano McKinney,TABS2026000848,Livano McKinney,"Southeast corner of Alma Rd and Silverado Trail Suite 450, Mckinney, TX 75070",Collin,12/1/2025,7/30/2027,"$40,000,000",New Construction,"This project is privately funded, on private land for private use.",New 205-unit multifamily development comprised of three-story apartment buildings  and two-story townhomes surrounding a clubhouse and associated resident amenities.,"301,838 ft 2","McKinney Residences, LLC","2204 Lakeshore Drive, Suite 450, Birmingham, Alabama 35209",(205) 484-2848,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000848,,"PRDG, LLC","3535 Travis St., Suite 265, Dallas, Texas 75204",(214) 915-8410
