project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Gates of Prosper - Phase III (Building A),TABS2024016427,Building - A (Shell Building),"TBD, Prosper, TX 75078",Collin,8/12/2024,5/23/2025,"$9,024,634",New Construction,"This project is privately funded, on private land for private use.",One story mercantile shell building with roof patio.,"63,417 ft 2",Blue Star Land,"8000 Warren Parkway, Suite 100, Frisco, Texas 75034",(214) 869-8076,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016427,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",(972) 788-1010,
MOON & NGUYEN,TABS2024016412,KINDRED SMILES,"3801 VIRGINIA PARKWAY #800, Mckinney, TX 75071",Collin,5/30/2024,8/5/2024,"$280,185",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR NEW DENTAL OFFICE ,"2,000 ft 2",SHOPPES AT VIRGINIA LP,"PO BOX 16954, SUGAR LAND, Texas 77496",(281) 512-6604,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016412,,,,
Frisco Urban Flex Center,TABS2024016357,Frisco Urban Flex Center 3,"SE corner of Dena and Clarence Dr, Frisco, TX 75034",Collin,7/1/2024,4/1/2025,"$3,389,760",New Construction,"This project is privately funded, on private land for private use.",Concrete Tilt wall Shell only Warehouse,"37,664 ft 2","Frisco Urban Flex Center 3, LP","17120 Dallas Parkway Suite 205, Dallas, Texas 75248",(214) 457-8198,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016357,Alliance Architects,"1600 North Collins Blvd. Suite 1000, Richardson, Texas 75080",(972) 233-0400,
Simpson Strong Tie,TABS2024016334,McKinney National Business Park Building 100,"801 Harry McKillop Blvd, Suite 100, Mckinney, TX 75069",Collin,5/1/2024,8/1/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Finish out of an office suite, approx. 2,465 SF, within an existing warehouse building with 43,206 SF of warehouse space.","2,465 ft 2",Transwestern Development Company,"2300 N Field St, Suite 2000, Dallas, Texas 75201",214.866.7313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016334,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",972-788-1010,
EOS Fitness Mckinney,TABS2024016312,EOS Fitness,"NWC Hardin Blvd, & US 380,, Mckinney, TX 75071",Collin,8/5/2024,6/5/2025,"$3,181,275",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 39,951 SF with a 2,466 SF outdoor exercise ground-up health club offering fitness programs and recreational facilities.","42,417 ft 2",The Seitz Group,"6805 Hillcrest Ave,, Dallas, Texas 75205",(214) 223-9077,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016312,"James E. Stroh, Architect, Inc","2190 E. Pebble Rd Suite 250, Las Vegas, Nevada 89123",(702) 433-1400,Art Babcock
VIO Med Spa - Plano,TABS2024016281,Preston Towne Crossing,"2412 Preston Rd Suite 100, Plano, TX 75093",Collin,5/1/2024,10/15/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior alteration for a proposed new tenant (VIO Med Spa) within a previously occupied suite.,"2,361 ft 2",AmREIT SSPF Preston Towne Crossing LP,"5910 N. Central Expressway Suite 1680, Dallas, Texas 75206",(713) 860-4931,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016281,MPG Architects,"3660 Embassy Parkway, Fairlawn, Ohio 44333",(330) 666-5770,Carmen Vitton
1989 Nail Salon,TABS2024016247,Nail Salon,"601 Ferguson Prkwy #250, Anna, TX 75409",Collin,5/1/2024,9/1/2024,"$97,900",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing suite for nail salon ,"1,632 ft 2",Ashton Gray,"12360 Market Dr., Oklahoma City, Oklahoma 73114",(904) 347-8241,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016247,,,,Khanh Ly Dnony
Cotton Mill,TABS2024016245,Cotton Mill,"720 Anderson Street, Mckinney, TX 75069",Collin,10/15/2024,4/1/2027,"$56,000,000",New Construction,"This project is privately funded, on private land for private use.",Six tiered closed garage with a five-story multi-family wrap building.,"271,486 ft 2",Presidium,"3100 McKinnon Suite 250, Dallas, Texas 75201",(214) 306-6589,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016245,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010,
Hillcrest Road,TABS2024016224,Hillcrest Road,"Main Street, Frisco, TX 75035",Collin,7/1/2024,9/1/2024,"$279,378",New Construction,"This project is privately funded, on private land for private use.","Construct new 2 lane interim roadway from main street to extend hillcrest north. Roadway, drainage, Traffic and Pedestrian facilities are included. ","22,302 ft 2",BR 637 LLC,"4050 West Park Boulevard, Plano, Texas 75093",214-619-2930,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016224,Pape Dawson Engineers,"6105 Tennyson Pkwy, Suite 210, Plano, Texas 75024",214-420-8494,
Chase DNT & Frontier,TABS2024016213,Chase DNT & Frontier,"S2085 Dallas North Parkway, Prosper, TX 75078",Collin,7/22/2024,1/22/2025,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","New Construction of a 1-Story Retail Banking Center w/ Drive-Up ATM - (3,443 sq ft)","3,443 ft 2",DNT Frontier LP,"8235 Douglas Ave #720, Dallas, Texas 75225",(214) 893-6352,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016213,Rouch Architects,"1445 Ross Ave #5700, Dallas, Texas 75202",214-997-6029,JPMorgan Chase Bank - Joe Hernandez
Evergreen Plaza,TABS2024016189,Evergreen Plaza,"7851 Eldorado Pkwy, Mckinney, TX 75070",Collin,6/3/2024,11/30/2024,"$2,356,900",New Construction,"This project is privately funded, on private land for private use.",Speculative retail shell building and related site work.,"18,130 ft 2","Evergreen Realty, LLC","1821 Houghton Dr, McKinney, Texas 75070",(571) 242-9059,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016189,Ebarb + Guest Architecture,"3309 Elm St #102-241, Dallas, Texas 75226",(214) 301-3531,
C&M Main Street Commons,TABS2024016171,Office Building 5,"13215 MAIN ST COIT - 3537 ADDITION, Block A, Lot 4, Frisco, TX 75035",Collin,6/1/2024,12/1/2024,"$750,000",New Construction,"This project is privately funded, on private land for private use.",A single story shell office building. ,"4,915 ft 2","C&M Frisco Investments, LLC","8765 Stockard Drive Suite 501, Frisco, Texas 75034",(309) 530-0723,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016171,McCalla Design Group,"780 N. Watters Rd. Suite 100, Allen, Texas 75013",(972) 294-3537,
Methodist McKinney Hospital Nurse Station Renovations,TABS2024016147,Methodist McKinney Hospital,"8000 West Eldorado Parkway, Mckinney, TX 75070",Collin,5/28/2024,7/28/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of two existing nurse stations with new finishes.,549 ft 2,Methodist McKinney,"8000 West Eldorado Parkway, McKinney, Texas 75070",(972) 569-2705,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016147,"SBL Architecture, Inc","1000 Ballpark Way, Ste 200, Arlington, Texas 76011",(817) 702-4944,
Tom Muehlenbeck Recreation Center Renovations,TABS2024016114,Tom Muehlenbeck Recreation Center,"5801 West Parker Road, Plano, TX 75093",Collin,7/1/2024,10/1/2025,"$10,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovations and Upgrades to 80,170GSF facility built originally in 2007.  Work includes:  HVAC replacement , re-roofing, new light fixtures, exterior lighting, finish replacements, aquatic improvements, and renovations of lockers rooms and shower. ","88,000 ft 2",City of Plano,"Plano Municipal Center, 1520 K Avenue, Plano, Texas 75074",(972) 941-7000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016114,"LPA, Inc","1801 North Lamar Street Suite 150, Dallas, Texas 75202",(469) 899-5110,
