project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Allen City Center,TABS2025007566,Allen City Center,"Boyd Place & N. Anna Drive, Allen, TX 75013",Collin,3/1/2025,3/2/2026,"$1,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Club and Leasing,"7,600 ft 2","Wolverine Interests, LLC","2805 Dallas Pkwy., Suite 620, Plano, Texas 75093",(214) 240-5622,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007566,HEDK Architects,"4595 Excel parkway, Addison, Texas 75001",(214) 520-8878
CARDINAL DRIVE & HIGHLAND ROAD,TABS2025007553,CARDINAL DRIVE & HIGHLAND ROAD,"BETWEEN COLLIN STREETAND MCKINNEY STREET,, Melissa, TX 75454",Collin,3/13/2023,12/31/2024,"$6,156,401",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",ROADWAY CONCTRUCTION PROJECT THAT WILL REQUIRE RAS REGISTRATION AND INSPECTIONS FOR SIDEWALKS AND ACCESSIBLE RAMPS,"5,000 ft 2",CITY OF MELISSA,"BARKER AVENUE, 3411, 2ND FLOOR,, Melissa, Texas 75454",(972) 838-2338,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007553,CLAYMOORE ENGINEERING INC,"1903 Central Drive, Suite 406, Bedford, Texas 76021",817-281-0572
Luna Grill Plano,TABS2025007534,Preston Towne Crossing,"2444 Preston Rd. Ste 200, Plano, TX 75093",Collin,1/20/2025,6/20/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1800sf restaurant tenant finish out in existing shell building by others,"1,800 ft 2",AMREIT SSPF PRESTON TOWNE CROSSING LP,"LEASE ACCOUNTING-STORE #133 PO BOX 1788, MINNEAPOLIS, Minnesota 55440",713.860.4931,Stephanie Otto,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007534,MSC Design LLC,"109335 Estate Ln Ste 300, Dallas, Texas 75238",(469) 855-3800
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007528,CREE,"3925 SOUTH PRESTON RD #STE. 460, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007528,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007527,CREEKSIDE CELINA MEDICAL OFFICE,"3925 SOUTH PRESTON RD #STE. 440, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007527,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007526,CREEKSIDE CELINA MEDICAL OFFICE,"3925 SOUTH PRESTON RD #STE. 420, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007526,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007525,CREEKSIDE CELINA MEDICAL OFFICE,"3935 SOUTH PRESTON RD #STE. 400, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007525,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007524,CREEKSIDE CELINA MEDICAL OFFICE,"3935 SOUTH PREST RD #STE. 380, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007524,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007523,CREEKSIDE CELINA MEDICAL OFFICE,"3935 SOUTH PREST RD #STE. 360, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007523,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007520,CREEKSIDE CELINA MEDICAL OFFICE,"3935 SOUTH PREST RD #STE. 340, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR BUILD OUT  ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007520,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007519,CREEKSIDE CELINA MEDICAL OFFICE,"3935 SOUTH PREST RD #STE. 320, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007519,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
West Shore Drive and Fontana Avenue Street and Utility Reconstruction,TABS2025007518,West Shore Drive and Fontana Avenue,"West Shore Drive and Fontana Avenue, Richardson, TX 75080",Collin,3/31/2025,11/30/2026,"$391,200",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Proposed roadway and sidewalk reconstruction, approx. 6,500 feet of roadway. ","6,500 ft 2",City of Richardson,"2360 Campbell Creek Blvd, Suite 550, Richardson, Texas 75082",972-774-4271,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007518,"Huitt-Zollars, Inc","5430 LBJ Freeway, Suite 1500, Dallas, Texas 75240",214-934-5635
CREEKSIDE CELINA MEDICAL OFFICE,TABS2025007517,CREEKSIDE CELINA MEDICAL OFFICE,"3935 SOUTH PREST RD #STE. 300, Celina, TX 75009",Collin,12/28/2024,6/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT,"1,500 ft 2",EVANTAGE HOLDINGS LLC,"1143 HOLFORD DR, FRISCO, Texas 75036",(805) 304-0144,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007517,DESIGN ASSOCIATES & CONSULTANTS LLC,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666
RESIDENTIAL CONCRETE PAVEMENT REPAIR ZONE K8 & L8 PWS 00062,TABS2025007516,CITY OF PLANO,"MULTIPLE LOCATIONS LEGACY DR, HOBLITZELLE PARK TR, USA DR, ALMA DR +, Plano, TX 75086",Collin,2/14/2025,2/28/2027,"$320,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",40000 SF SIDEWALK AND 144 BFR ,"40,000 ft 2",CITY OF PLANO,"PO BOX 860358, PLANO, Texas 75086",(972) 769-4140,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007516,CITY OF PLANO,"PO BOX 860358, PLANO, Texas 75086",(972) 469-4140
MONTE CARLO C-STORE,TABS2025007501,PRINCE LAND LLC,"110 E MONTE CARLO BLVD, Princeton, TX 75407",Collin,2/10/2025,6/16/2025,"$785,000",New Construction,"This project is privately funded, on private land for private use.",PROPOSED NEW RETAIL PLAZA,"7,150 ft 2",PRINCE LAND LLC,"16822 DALGETY CT, RICHMOND, Texas 77407",(832) 875-6600,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007501,SARAB STRUCTURAL & CIVIL LLC,"13831 NORTHWEST FWY STE 245 STE 245, Houston, Texas 77040",(713) 485-5641
Discount Tire#SAP 1605 TXD 58,TABS2025007457,Discount Tire,"2751 S Central Expy, Mckinney, TX 75070",Collin,1/27/2025,3/28/2025,"$485,500",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing Discount Tire location  -  Sq Ft 9,627","9,627 ft 2",HALLE PROPERTIES LLC,"14631 N SCOTTSDALE RD, SCOTTSDALE, Arizona 85254",480-909-6811,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007457,Interbrand Design Forum,"2056 Byer Road, Miamisburg, Ohio 45342",937-853-8247
Hillside Village,TABS2025007420,Residential Subdivision,"1415 KC Robinson Lane, Celina, TX 75009",Collin,12/10/2024,12/31/2025,"$1,900,000",New Construction,"This project is privately funded, on private land for private use.","New construction for a residential subdivision amenity center, playground, and dog park in Celina, TX. The Amenity Center is 20,080 square feet (0.46 acres) with a 1,513 square foot building. Playground is 3,500 sqft. Dog Park is 20,000 sqft.","45,093 ft 2",WJ Hillside LP,"600 N. Pearl, Suite 2350, Dallas, Texas 75201",214.880.8619,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007420,"LandDesign, Inc.","5217 Alpha Road, Suite 140, Dallas, Texas 75240",214.785.6009
Freeform Chiropractic Prosper,TABS2025007411,Prosper Trails Office Center,"Prosper Trail and Coit Road, Suite 20, Prosper, TX 75078",Collin,1/1/2025,5/31/2025,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish-out of existing lease space,"1,772 ft 2",2350 Prosper Trail LLC,"17916 Hillcrest Rd, Da, Texas 75252",858.500.7788,Mike Lauer,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007411,Covenant Architecture,"106 E Church St., Weatherford, Texas 76086",(817) 565-9826
SWAROVSKI,TABS2025007355,Stonebriar Centre Mall,"2601 Preston Road Space 1057, Frisco, TX 75034",Collin,2/25/2025,4/14/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Fit-out with Interior non-structural demolition, partitions, ceilings, HVAC unit, ductwork, distribution, lighting, power, furniture, finishes, and new cladding and signage at existing storefront","1,362 ft 2",Stonebriar Centre Retail,"2601 Preston Road, Frisco, Texas 75034",(469) 920-2189,Francisco Del Gallego,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007355,ArchytecX PLLC,"1 Tiffany Plc #3A, BROOKLYN, New York 11231",(347) 564-7587
Cana Chapel at Firefly Park,TABS2025007353,Cana Chapel at Firefly Park,"16190 Mahard Parkway, Frisco, TX 75033",Collin,3/1/2025,12/31/2025,"$1,250,000",New Construction,"This project is privately funded, on private land for private use.","New chapel, wedding venue","4,875 ft 2",Wilks Development,"1321 Markum Gate Way Suite 100, Fort Worth, Texas 76126",(817) 850-5334,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007353,Ward Architecture PLLC,"5004 Thompson Terrace Suite 107, Colleyvlle, Texas 76034",(817) 281-5600
Schuyler Berger Inc,TABS2025007325,Nick Berger Cabinet IQ,"3180 ElDorado Parkway suite 100, Mckinney, TX 75070",Collin,12/23/2024,2/28/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of White box for cabinets showroom,"2,791 ft 2",Nicholas Berger,"2813 Stafford CT., Mckinney, Texas 75072",(972) 322-5429,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007325,,,
"24-0316 Chipotle Shell - Melissa, TX",TABS2025007301,Chipotle Shell,"NWC Hwy 121 & S. Fanning Rd, Melissa, TX 75454",Collin,5/30/2025,9/30/2025,"$650,000",New Construction,"This project is privately funded, on private land for private use.",New Construction Shell,"2,325 ft 2",Noble Real Estate,"4619 Insurance lane, Dallas, Texas 75205",682-774-1986,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007301,Rogue Architects,"513 Main St Ste 300, Fort Worth, Texas 76102",817.529.6882
Cadence McShane Construction,TABS2025007300,One Legacy Cricle,"7500 Dallas Pkwy Suite 600, Plano, TX 75024",Collin,12/16/2024,5/16/2025,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The Demo and Construction of new walls, ceilings and finishes.","15,000 ft 2","Land Legacy, LP & Manas Legacy, LP","12222 Merit Drive Suite 280, Dallas, Texas 75251",(972) 770-4400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007300,BHA Studio,"3141 Hood St Suite 420, Dallas, Texas 75219",(214) 521-8500
Challenger Cheer Elite,TABS2025007296,Melissa Light Industrial Devlopment,"2202 Sam Rayburn Highway, Melissa, TX 75454",Collin,2/17/2025,10/1/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel and add level 02,"13,628 ft 2",Brian Haley of CB TX Capital,"1701 Nueces, Austin, Texas 78701",(571) 217-4377,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007296,studioMeyer Architects PC,"408 Exposition Avenue, Dallas, Texas 75226",(214) 315-0578
RM Z1N FR 2 SAP,TABS2025007290,Raytheon McKinney Wing Z,"2501 W University Dr., Mckinney, TX 75234",Collin,2/1/2025,6/30/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",The renovation of an existing lab.,886 ft 2,RTX,"2501 W University Dr., mckinney, Texas 75071",(945) 333-4809,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007290,MJMc Architects,"2727 LBJ Freeway Suite 1013, Farmers Branch, Texas 75234",(469) 941-0433
ELDORADO NEIGHBORHOOD SHOPS BTS SHELL,TABS2025007287,ELDORADO NEIGHBORHOOD SHOPS BTS SHELL,"8101 ELDORADO PKWY, Mckinney, TX 75070",Collin,2/1/2025,7/31/2025,"$4,400,000",New Construction,"This project is privately funded, on private land for private use.",New Construction BTS Shell,"13,628 ft 2","ELDORADO NEIGHBORHOOD SHOPS HOLDINGS, LLC","5830 GRANITE PKWY STE 100-215, PLANO, Texas 75024",(214) 907-5356,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007287,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387
ILS Gummies Add,TABS2025007286,ILS Gummies,"350 Cypress Hill Drive Ste. 300, Mckinney, TX 75071",Collin,1/10/2025,5/10/2025,"$3,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expansion of Gummy factory side into existing warehouse side of space. ,"24,555 ft 2",Texas industrial Warehouses LLC,"8081 Orangethorpe Avenue,, Buena Park, California 90621",(714) 523-2244,Dru Riess,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007286,,,
Murphy USA Celina,TABS2025007276,Murphy USA,"11550 Highway 6, Sugar Land, TX 77498",Collin,11/17/2025,3/17/2026,"$800,000",New Construction,"This project is privately funded, on private land for private use.","Murphy Gas station with 2800 sf building, canopy, and underground storage tanks.","2,800 ft 2",Murphy Oil USA,"200 East Peach Street, El Dorado, Arkansas 71730",(870) 875-7636,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007276,,,
AIC Dallas Renovation,TABS2025007272,AIS Healthcare,"18451 Dallas Parkway, Dallas, TX 75287",Collin,1/6/2025,5/30/2025,"$579,135",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior walls, ceilings, and finishes. Demo and new. Minor exterior work including exit doors and sidewalk.","6,359 ft 2",Winhall 8 LLC,"10 Burton Hills Blvd Suite 400, Nashville, Tennessee 37215",626.394.3205,Tom Patterson,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007272,"Hardy and Associates / Architect, PLLC","15260 Big John Road Suite A, Biloxi, Mississippi 39532",(228) 215-1851
Tech Mahindra,TABS2025007271,Granite Park 4,"5850 Granite Parkway, Suite 1200, Plano, TX 75024",Collin,12/10/2024,3/1/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"22,842 ft 2",Granite Prperties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731-2308,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007271,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Action Behavior Center Melissa 2.0 Legacy Ranch,TABS2025007255,Action Behavior Center Melissa 2.0 Legacy Ranch,"2111 McKinney Street, Suite 106, Melissa, TX 75454",Collin,1/1/2025,10/31/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 7,115 square-foot tenant finish-out project in an existing shell space for Action Behavior Centers office and therapy clinic.","7,115 ft 2",LRP Retail LLC,"12164 Cheyenne Moon Ln., Frisco, Texas 75035",214-777-2288,Connor Coleman,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007255,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600
PetroTel Inc.,TABS2025007246,Legacy Place East,"5700 Tennyson Parkway, Suite 500, Plano, TX 75024",Collin,1/1/2025,5/30/2025,"$550,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"10,927 ft 2","IPXI Legacy Place Investors, LLC","8111 Gatehouse Rd. #110, Falls Church, Virginia 22042",(703) 621-2568,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007246,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Sindbad Burger,TABS2025007215,The Centre at Preston Ridge,"3231 Preston Rd, Frisco, TX 75034",Collin,1/1/2005,4/1/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation for restaurant.,"1,408 ft 2",BRE RETAIL RESIDUAL OWNER 1 LLC c/o Brixmor Property Group,"200 Ridge Pike Suite 100, Conshohocken, Pennsylvania 19428",832.398.0418,MOHAMMED KHADIM,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007215,Renovis Design,"2831 W. Parker Rd Suite 5, Plano, Texas 75023",(469) 669-2661
Stonebrook Circle Bldg 2 Shell,TABS2025007212,Stonebrook Circle,"Block A, Lot 3 &  4, Frisco, TX 75063",Collin,1/6/2025,5/1/2025,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",Building Shell,"23,048 ft 2",Stonebrook Circle LP,"2626 Stonebrook Parkway, Suite 100, Frisco, Texas 75034",(214) 277-9390,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007212,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951
McKinney MOB - OBGYN TI Suite,TABS2025007208,Healthpeak - McKinney MOB,"4820 Medical Center Dr., Mckinney, TX 75069",Collin,1/3/2025,7/25/2025,"$2,576,880",Renovation/Alteration,"This project is privately funded, on private land for private use.",TI buildout of OB/GYN suite on level 5 of existing Medical Office Building.,"10,737 ft 2",Healthpeak Medical Properties,"3000 Meridian Blvd., Franklin, Tennessee 37067",(615) 593-9480,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007208,Devenney Group Architects,"3400 Carlisle St. Suite 440, Dallas, Texas 75204",(214) 762-5446
IONNA Plano Charging Hub,TABS2025007206,Chisolm Place Addition No IV,"1901 N. Central Expy, Plano, TX 75075",Collin,12/9/2024,6/26/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","Electric vehicle charging station hub. 1 - 2500A Switchboard Assembly, 1 - Step down transformer 5 - Alpitronic HYC400 Dispensers. All supporting Equipment. ","32,103 ft 2",Seth Cutler,"4022 Stirrup Check Dr., Durham, North Carolina 27703",213-393-0360,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007206,OWL Services,"6235 Southern Blvd, Boardman, Ohio 44512",919-922-0406
Green Brick 2024 Renovation,TABS2025007200,5501 Headquarters,"5501 Headquarters Drive Suite 210W, Plano, TX 75024",Collin,12/31/2024,2/14/2025,"$77,754",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building,"1,970 ft 2",CAWLEY PARTNERS,"16400 N. DALLAS PARKWAY SUITE 150, DALLAS, Texas 75248",972.759.7715,JEFF COX,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007200,GO STUDIO,"1201 MAIN STREET SUITE 1370, DALLAS, Texas 75202",214.420.4646
Green Brick 2024 Renovation,TABS2025007198,5501 Headquarters,"5501 Headquarters Drive Suites 200W, Plano, TX 75024",Collin,12/31/2024,2/14/2025,"$77,754",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"3,668 ft 2",CAWLEY PARTNERS,"16400 N. DALLAS PARKWAY SUITE 150, DALLAS, Texas 75248",972.759.7715,JEFF COX,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007198,GO STUDIO,"1201 MAIN STREET SUITE 1370, DALLAS, Texas 75202",214.420.4646
