project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
BGREA Flex Office,TABS2025004325,Mustang Park Bldg A-2 Shell,"3750 FM 1385 & Countyview Drive, Celina, TX 76227",Collin,12/1/2024,5/1/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",Building Shell,"15,000 ft 2",BG-GBT BROADWAY & PRESTON LP,"9550 John W Elliot Drive, Ste. 106, Frisco, Texas 75034",(972) 347-9900,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004325,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951
BGREA FLEX OFFICE ROAD,TABS2025004319,Mustang Park Building A-1 Shell,"3740 FM 1385 & Countyview Drive, Celina, TX 76227",Collin,12/1/2024,5/1/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",Metal Building Shell,"15,000 ft 2",Brown & Griffin Construction,"370 W. Broadway, Prosper, Texas 75078",(214) 912-6156,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004319,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951
American Breakfast & Deli,TABS2025004317,"Park Blvd Center, LTD","2200 Los Rios; Suite 105, Plano, TX 75074",Collin,11/20/2024,1/30/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish out of existing shell space,"1,850 ft 2","Park Blvd Center, LTD","5093 Parkway Calabasas, Calabasas, California 91302",(818) 222-7776,Syed Baber,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004317,"Demko Construction & Design, Inc.","4757 FM 2946, Emory, Texas 75440",214.632.1701
Princeton ISD Middle School #4,TABS2025004312,Princeton ISD Banschbach Middle School,"Brookside Blvd., Princeton, TX 75407",Collin,11/1/2024,8/1/2026,"$75,600,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New construction of middle school.,"156,588 ft 2",Princeton Independent School District,"321 Panther Parkway, Princeton, Texas 75407",(469) 952-5400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004312,Claycomb Associates Architects,"6600 LBJ Freeway Suite 200, Dallas, Texas 75240",(972) 233-6100
BOK Financial,TABS2025004306,Granite Park 3,"5601 Granite Parkway, Suite 1300, Plano, TX 75024",Collin,11/30/2024,3/31/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of tenant office space.  Approx 24,785 GSF","24,785 ft 2",Granite Properties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731-2308,Ricki Easley,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004306,KKT Architects,"2200 S. Utica Place, Suite 200, Tulsa, Oklahoma 74114",918.744.4270
FWT Lab,TABS2025004285,Delta Electronics,"601 Data Drive, Plano, TX 75075",Collin,11/25/2024,2/26/2025,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.",Factory Test Lab for product,"10,000 ft 2",Delta Electronics,"601 Data Drive, Plano, Texas 75075",(214) 282-3705,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004285,Alliance Architects,"1600 N. Collins Blvd, Richardson, Texas 75080",(972) 233-0400
BSW Plano Healing Garden Phase 1,TABS2025004268,Baylor Scott and White Plano Regional Hospital,"4700 Alliance Blvd., Plano, TX 75093",Collin,11/11/2024,1/30/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","3,700 SF COURTYARD RENOVATION. UPDATE PLANTING, HARDSCAPE AND SITE FURNISHINGS","3,700 ft 2",Baylor Scott & White Health,"301 N. Washington Avenue, Dallas, Texas 75246",281-733-9801,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004268,TBG Partners,"2001 Bryan Street, Suite 1450, Dallas, Texas 75201",214-744-0757
ARK EVENT CENTER PLANO,TABS2025004266,ARK EVENT CENTER PLANO,"LOT 1  BA Fairview Premier Addition Premier Dr., Plano, TX 75023",Collin,12/15/2024,10/15/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","25000 SF Building with an Event Center, small restaurant, and retail ","25,000 ft 2",CMSK INVESTMENT LLC,"1111 W Mockingbird Ln Ste 930, Dallas, Texas 75247",(945) 444-1107,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004266,,,
CarMax,TABS2025004261,Granite Park 5,"5830 Granite Parkway Suite 950, Plano, TX 75024",Collin,10/25/2024,2/10/2025,"$398,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"13,752 ft 2",Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2300,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004261,ENTOS,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Concentra Frisco,TABS2025004259,Main Street Village,"8756 Teel Parkway Suite 350 & 336, Frisco, TX 75034",Collin,1/23/2025,4/23/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THIS PROJECT IS THE RENOVATION OF AN EXISTING MEDICAL CLINIC TO INCLUDE AN EXPANSION INTO THE ADJACENT TENANT SPACE. THE PROJECT INCLUDES NEW WALLS, DOORS, CEILINGS, MILLWORK, EQUIPMENT, FINISHES, HVAC, PLUMBING, SPRINKLERS, AND LIGHTING AS NEEDED.","7,295 ft 2","Main/Teel SC, Ltd.","3102 Maple Avenue Suite 500, Dallas, Texas 75201",(214) 720-6600,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004259,Little Diversified Architectural Consulting,"615 S College St, Suite 1600, Charlotte, North Carolina 28202",(704) 561-3213
Aneva Skin,TABS2025004233,stonebridgeparcel903,"2751 S. Stonebridge, Mckinney, TX 75071",Collin,10/28/2024,12/2/2024,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant alterations,"1,968 ft 2",Ashlyn Castro,"2751 S. Stonebridge Dr, Suite 2, McKinney, Texas 75071",(214) 909-2757,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004233,,,
"Dual Brand La Quinta/Hawthorne McKinney, TX",TABS2025004223,Dual Brand LaQuinta/Hawthorne by Wyndham,"3991 S Hardin Blvd, Mckinney, TX 75070",Collin,12/2/2024,2/27/2026,"$13,500,000",New Construction,"This project is privately funded, on private land for private use.",4- Story Hotel,"56,589 ft 2",Trinity Texas Hospitality,"2251 S. Bagdad Rd Suite 101, Cedar Park, Tennessee 78613",(214) 680-7575,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004223,"Modus Architecture, PLLC","4040 N. Central Expy Suite 720, Dallas, Texas 75204",(913) 634-3885
Neuromonitoring Associates,TABS2025004218,McKinney Green Building,"4500 Eldorado Parkway Suite 3400, Mckinney, TX 75070",Collin,11/15/2024,1/31/2025,"$224,143",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"7,685 ft 2",Newmark,"2601 Olive Street Suite 1600, Dallas, Texas 75201",972.715.4310,Neuromonitoring Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004218,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646
PNC Bank - Eldorado,TABS2025004189,PNC Bank - Eldorado,"11411 Coit Rd, Frisco, TX 77035",Collin,1/20/2025,8/20/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","This is a ground up retail bank for PNC National Bank. The estimated Building size is 3,070 SQ FT with 1 Drive through ATM/After hours drop with bypass lane. Site improvements include open space requirements and parking space. ","3,070 ft 2","Coit Eldorado Retail, LLC","8235 Douglas Avenue ste 310, Dallas, Texas 75225",(214) 697-1427,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004189,,,
Plano Gateway Medical 2,TABS2025004187,Building 2,"145 Shiloh Rd, Plano, TX 75074",Collin,1/1/2025,1/31/2025,"$1,044,540",New Construction,"This project is privately funded, on private land for private use.",New one story commercial medical office shell building,"9,787 ft 2",Alan Altick,"18484 Preston Rd, Dallas, Texas 75252",(972) 758-9800,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004187,NCA Partners,"5646 Milton St Suite 610, Dallas, Texas 75206",(214) 361-9901
Plano Gateway Medical,TABS2025004182,Building 1,"165 Shiloh Road, Plano, TX 75074",Collin,1/1/2025,1/31/2025,"$1,276,660",New Construction,"This project is privately funded, on private land for private use.",New one story commercial medical office shell building,"10,483 ft 2",Alan Altick,"18484 Preston Rd, Dallas, Texas 75252",(972) 758-9800,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004182,NCA Partners,"5646 Milton St Suite 610, Dallas, Texas 75206",(214) 361-9901
LITTLE CAESARS PIZZA,TABS2025004166,MELISSA RETAIL II,"3310 SAM RAYBURN HIGHWAY  SUITE 300, Melissa, TX 75454",Collin,11/22/2024,1/30/2025,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH-OUT OF A PIZZA DELIVERY / CARRY-OUT UNIT,"1,357 ft 2",STANDRIDGE COMPANIES,"15640 QUORUM DR, ADDISON, Texas 75001",(214) 363-1998,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004166,ZSTUDIO DESIGN,"2225 S 1ST ST., GARLAND, Texas 75041",(972) 897-3966
GOLDEN HORIZON SENIOR LIVING,TABS2025004162,assisted living,"3304 ERWIN DRIVE, Plano, TX 75074",Collin,11/11/2024,1/2/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",CONVERT SINGLE FAMILY HOME TO ASSISTED LIVING FACILITY,"2,000 ft 2",RAJEL EJIGU,"3304 ERWIN DRIVE, PLANO, Texas 75074",(405) 887-4845,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004162,FRED WORLEY ARCHITECT,"5707 BULLARD DR, AUSTIN, Texas 78757",(512) 452-2138
