project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Spur 399 at SH 5,TABS2024022304,CSJ: 0047-05-057,"Spur 399 at SH 5, Mckinney, TX 75069",Collin,12/1/2024,6/1/2027,"$1,885,290",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Reconstruct Spur 399 Interchange and Widen SH 5 ,"172,261 ft 2",TxDOT District: Dallas,"4777 E US 80, Mesquite, Texas 75150",(214) 320-6400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022304,HDR,"17111 Preston Rd, Ste 300, Dallas, Texas 75248",(972) 960-4493,
Best Brains Lot 5 Building C5,TABS2024022293,Building C5,"Coit Road, Frisco, TX 75035",Collin,12/2/2024,6/2/2025,"$600,000",New Construction,"This project is privately funded, on private land for private use.",1 story shell building,"4,952 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022293,East Star Design,"PO Box 53, Forney, Texas 75126",(972) 200-7340,
Meryl Street Apartments,TABS2024022254,Meryl Street Apartments,"900 S. BUDDY HAYES BLVD., Anna, TX 75409",Collin,10/1/2024,10/31/2026,"$52,000,000",New Construction,"This project is privately funded, on private land for private use.",340 apartment units in 9 – 3 story Buildings and 1 4 story Building with Integrated Clubhouse.,"387,306 ft 2",Meryl Steet Apartments Ltd.,"1228 Euclid Avenue 4th Floor, Cleveland, Texas 44115",210.507.0743,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022254,ALTA ARCHITECTS,"723 S FLORES, San Antonio, Texas 78204",210-349-1163,
JLB Glenville,TABS2024022251,JLB Glenville,"2520 North Central Expwy, Richardson, TX 75082",Collin,1/1/2025,7/1/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",New leasing office and restroom with associated parking for new apartment complex,"2,000 ft 2","JLB Partners, LLC","3890 W. Northwest Highway Ste 700, Dallas, Texas 75220",(214) 271-8496,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022251,"Hensley Lamkin Rachel, Inc","6201 W Plano Pkwy Suite 100, Plano, Texas 75093",(972) 726-9400,
7th Floor Common Corridor,TABS2024022242,The Tower at Hall Park,"6605 Warren Pkwy, 7th Floor, Frisco, TX 75034",Collin,7/15/2024,9/30/2024,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New Corridor 1,746 USF","1,746 ft 2",Hall Group,"3000 Internet Blvd #100, Frisco, Texas 75034",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022242,Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485,
6th Floor Common Corridor,TABS2024022239,The Tower at Hall Park,"6605 Warren Pkwy, 6th Floor, Frisco, TX 75034",Collin,7/15/2024,9/30/2024,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New Corridor 932 USF,932 ft 2,Hall Group,"3000 Internet Blvd #100, Frisco, Texas 75034",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022239,Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",214-460-6485,
Best Brains Lot 5 Building C4,TABS2024022233,Building C4,"Coit Road, Frisco, TX 75035",Collin,12/2/2024,6/2/2025,"$900,000",New Construction,"This project is privately funded, on private land for private use.",New one-story shell building,"8,080 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Dr., Frisco, Texas 75068",(214) 784-0638,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022233,East Star Design,"PO Box 53, Forney, Texas 75126",(972) 200-7340,
Informativ Expansion,TABS2024022230,Hall Park II,"2801 Network Blvd #650, Frisco, TX 75034",Collin,7/15/2024,10/31/2024,"$98,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Expansion, Interior renovation and new finishes of 2,334 USF","2,334 ft 2",Hall Group,"3000 Internet Blvd #100, Frisco, Texas 75034",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022230,Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",(214) 460-6482,
Best Brains Lot 5 Building C3,TABS2024022228,Building C3,"Coit Road, Frisco, TX 75035",Collin,12/2/2024,6/2/2025,"$900,000",New Construction,"This project is privately funded, on private land for private use.",New one story shell building,"8,080 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",860-770-0001,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022228,East Star Design,"PO Box 53, Forney, Texas 75126",(972) 200-7340,
Level 4 Tenant Improvements - CES Office HQ,TABS2024022223,Lookout Plaza II,"2505 N Plano Rd. Suite 400, Richardson, TX 75082",Collin,7/15/2024,10/31/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of office space.,"21,000 ft 2","GH Lookout Plaza, Inc.","909 Hidden Ridge Suite 105, Irving, Texas 75038",(972) 523-3601,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022223,"Childress Engineering Services, Inc.","1500 N Greenville Ave Suite 1000, Richardson, Texas 75081",(214) 451-6630,James Dobson
RTG Advisors,TABS2024022215,Hall Park II,"2801 Network Blvd #350, Frisco, TX 75034",Collin,7/15/2024,10/31/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation and new finishes of 3,103 RSF","3,103 ft 2",Hall Group,"3000 Internet Blvd #100, Frisco, Texas 75034",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022215,Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",(214) 460-6482,
"HAIDER, SYED",TABS2024022206,KIDZ & TEEN DENTAL + ORTHODONTICS,"2144 N. FOREST LAKE DR. SUITE 204, Mckinney, TX 75071",Collin,7/23/2024,10/30/2024,"$295,782",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR DENTAL OFFICE ,"2,064 ft 2","AL- HAIDER, LLC","5904 SHOREFRONT LN, MCKIINEY, Texas 75022",940-368-2278,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022206,,,,
Lifepoint Church - New Campus,TABS2024022192,Lifepoint Church,"8001 CO Road 125, Mckinney, TX 75071",Collin,7/24/2024,4/23/2025,"$4,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing pre-engineered metal building into a new church facility.  Interior scope includes lobby, worship space, cafe, restrooms, classrooms and storage.  Exterior scope includes new parking lot and covered entry porch.","22,000 ft 2",Lifepoint Church,"8001 CO Road 125, McKinney, Texas 75071",972-335-3112,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022192,OMNIPLAN,"1845 Woodall Rodgers Freeway, Dallas, Texas 75201",(214) 674-6431,
Best Brains Blk A Lot 5 C2,TABS2024022172,Building C2,"Coit Road, Frisco, TX 75035",Collin,12/2/2024,6/2/2025,"$900,000",New Construction,"This project is privately funded, on private land for private use.",1-story shell building,"9,158 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022172,East Star Design,"PO Box 53, Forney, Texas 75126",(972) 200-7340,
High Point Maintenance Facility Fueling Station Addition,TABS2024022161,High Point Maintenance Facility Fueling Station,"6500 Alma Drive, Plano, TX 75074, Plano, TX 75074",Collin,9/1/2024,12/31/2024,"$3,200,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",new construction ,"27,531 ft 2",CITY OF PLANO,"1520 K AVE 2ND FLR, PLANO, Texas 75074",(972) 941-7190,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022161,WRIGHT GROUP ARCHITECTS PLLC,"S BROADWAY ST. #STE. 1430, CARROLLTON, Texas 75006",(972) 242-1015,
Coit and Main Offices,TABS2024022160,"Coit and Main, Lot 3, Phase 1, Building Four","Nec Coit Road and Main Street, Frisco, TX 75035",Collin,8/15/2024,9/1/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",New shell office building,"7,150 ft 2","Dream Value at Lexington, LLC","12965 Cordellera Lane, Frisco, Texas 75035",972-450-4992,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022160,"Corinthian Design Associates, LLC","10420 Ambergate Lane, Frisco, Texas 75035",(214) 223-4501,
Coit and Main Offices,TABS2024022158,"Coit and Main, Lot 3, Phase 1 Building Three","NEC Coit Road and Main Street, Frisco, TX 75035",Collin,8/15/2024,9/1/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",New shell office Building,"7,150 ft 2",DreamValue at Lexington,"12965 Cordellera Lane, Frisco, Texas 75035",972-450-4992,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022158,"Corinthian Design Associates, LLC","10420 Ambergate Lane, Frisco, Texas 75035",(214) 224-4501,
Crunch Fitness Frisco,TABS2024022156,Crunch Frisco,"3865 Preston Rd., Frisco, TX 75034",Collin,6/2/2024,8/2/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovations for fitness use. Including hit zone and hot yoga,"26,000 ft 2","Frisco Fitness, LP","1831 Commerce St. #103, Corona, California 92878",(714) 516-2444,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022156,"JPlus Architects, Inc","211 Bulen St, Roseville, California 95678",916-601-0000,Mark Girnys
Coit and Main Offices,TABS2024022152,"Coit and Main, Lot 3, Phase 1, Building Two","Nec Coit Road and Main Street, Frisco, TX 75035",Collin,8/15/2024,9/1/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",New shell office building,"7,150 ft 2","DreamValue at Lexington, LLC","12965 Cordellera Lane, Frisco, Texas 75035",972-450-4992,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022152,"Corinthian-Design-Associates, LLC","10420 Ambergate Lane, Frisco, Texas 75035",(214) 224-4501,
ABA Centers,TABS2024022150,Park Ventura,"5085 West Park Blvd Building C, Suite 500, Plano, TX 75093",Collin,7/15/2024,11/7/2024,"$688,663",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out existing suite.,"11,044 ft 2","ESJ Renaissance OB Park Ventura, LLC.","19950 W Country Club Drive #800, Aventura, Florida 33180",(305) 600-5001,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022150,Jones Commercial Interiors,"3900 Willow St. Suite 150, Dallas, Texas 75226",(214) 755-0607,Texas ABA Centers
Coit and Main Offices,TABS2024022149,"Coit and Main, Lot 3, Phase 1, Building Three","Nec Coit Road and Main Street, Frisco, TX 75035",Collin,8/15/2024,9/1/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",New shell office building,"7,150 ft 2","Dream Value at Lexington, LLC","12965 Cordellera Lane, Frisco, Texas 75035",972-450-4992,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022149,"Corinthian-Design-Associates, LLC","10420 Ambergate Lane, Frisco, Texas 75035",(214) 224-4501,
SPEC SUITE 300,TABS2024022127,INTERNATIONAL BUSINESS PARK,"6275 WEST PLANO PKWY. SUITE 300, Plano, TX 75093",Collin,7/1/2024,12/31/2024,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","NON-STRUCTURAL INTERIOR FINISH OUT IN AN EXISTING SHELL SPACE. SCOPE INCLUDED HVAC, ELECTRICAL, PLUMBING.","21,094 ft 2",BILLINGSLEY COMPANY,"1722 ROUTH ST. SUITE 770, DALLAS, Texas 75201",(972) 820-2236,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022127,idGROUP,"2641 IRVING BLVD., DALLAS, Texas 75207",(214) 638-6800,
Best Brains Blk A Lot 5 C1,TABS2024022120,Building C1,"Coit Road, Frisco, TX 75035",Collin,12/2/2024,6/2/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New 1-story wood framed shell building.,"11,470 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022120,East Star Design,"PO Box 53`, Forney, Texas 75126",(972) 200-7340,
Suite 310/312 Interior Shell,TABS2024022053,Lebanon/Legacy Center,"4112 Legacy Drive Suite 310/312, Frisco, TX 75034",Collin,8/1/2024,12/31/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior demolition of existing 5,360 sf retail tenant space. New demising wall construction and utility services for 2 cold dark shell future retail tenant spaces totaling 5,360 sf.","5,360 ft 2",Regency Centers,"3200 Kirby Drive Suite 910, Houston, Texas 77098",(713) 599-3515,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022053,SJE ARCHitects,"3400 Oak Grove Avenue Suite 207, Dallas, Texas 75204",(817) 312-1518,
HAIR ZONE BEAUTY SUPPLY,TABS2024022041,PRINCETON PLAZA,"816 E PRINCETON DR, Princeton, TX 75407",Collin,7/1/2024,10/1/2024,"$57,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"1,400 ft 2",VINJAY HOLDING LLC,"222 MUNICIPAL DR #STE. 138, RICHARDSON, Texas 75080",972-792-9888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022041,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,DENA MEREDITH
