project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
78-Retail,TABS2026010226,78-Retail,"7010 S State Highway 78, Sachse, TX 75048",Collin,3/1/2026,4/30/2027,"$78,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Facade Renovation and conversion into a multi-tenant shell building,"7,771 ft 2",M&A RE Ventures LLC,"1601 Capital Ave, Plano, Texas 75074",(469) 744-7276,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010226,,"STUDIO MAS+ ARCHITECTS, PLLC","3030 Canton, Dallas, Texas 75226",214-669-4684
"Costco Frisco, TX - Hearing Remodel",TABS2026010224,"Costco Frisco, TX","11220 Dallas Pkwy, Frisco, TX 75034",Collin,4/14/2026,6/8/2026,"$419,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Relocate the Hearing Center,"1,500 ft 2",Costco Wholesale Corporation,"11220 Dallas Pkwy, Frisco, Texas 75034",(469) 200-7116,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010224,,,,
Offices at The Apollo Shell Building,TABS2026010170,The Apollo Commercial Shell,"1425 W Brown St, Wylie, TX 75098",Collin,3/2/2026,7/31/2026,"$475,000",New Construction,"This project is privately funded, on private land for private use.",Construction of commercial shell building,"5,695 ft 2","The Apollo Wylie Phase 2, LLC","200 SWISHER RD BLDG B, LAKE DALLAS, Texas 75065",(561) 212-0446,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010170,,,,
My Possibilities Bathroom Addition,TABS2026010139,My Possibilities,"3601 Mapleshade Lane, Plano, TX 75075",Collin,2/1/2026,6/1/2026,"$129,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel to existing interior space into new restroom and changing room,336 ft 2,My Possibilities,"3601 Mapleshade Lane, Plano, Texas 75075",(469) 241-9100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010139,,NCA Partners,"5646 Milton St Suite 610, Dallas, Texas 75203",(214) 361-9901
"Baylor Scott & White - Outpatient Physical Therapy Clinic - Murphy, TX",TABS2026010137,Baylor Scott & White,"511 W FM 544 Suite 208, Murphy, TX 75094",Collin,2/16/2026,3/16/2026,"$60,700",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Renovation incl. casework/countertop demolition & finish upgrades in order to provide more open plan (2,461 SF).","2,461 ft 2",GII SHP EBSW DFW LLC,"707 Westchester Avenue Suite 401, White Plains, New York 10604",(914) 269-0919,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010137,Kevin Hillenbrand,"Robert J Tanay, RA","680 American Avenue Suite 203, King of Prussia, Pennsylvania 19406",(610) 992-7389
QuikTrip #898 Fryer Project,TABS2026010136,QuikTrip #898,"650 K Ave, Plano, TX 75074",Collin,4/12/2026,4/27/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",includes reorganization of existing kitchen equipment and addition of new fryers. Project 300sf,300 ft 2,"QT SOUTH, LLC","4705 S 129th East Ave, Tulsa, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010136,,"DANIEL D. FILUK, ARCHITECT","1747 E. MORTEN AVE SUITE 111, PHOENIX, Arizona 85020",(602) 234-1868
Cooper's Corner,TABS2026010132,Cooper's Corner,"1514 N. McDonald St, Mckinney, TX 75071",Collin,3/16/2026,3/15/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a Kennel facility for the tenants of the facility.,"1,366 ft 2",Samaritan Inn,"1514 N. McDonald St, McKinney, Texas 75071",(972) 841-7276,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010132,,EIKON Consulting Group,"12901 South I-35, Valley View, Texas 76272",(940) 458-7503
Touchdown Tap House,TABS2026010126,"SHOPS AT AVERY POINTE, BLK A, LOT 2","1234 w white st Suite 140, Anna, TX 75409",Collin,1/20/2026,4/30/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing tenant space, work to include but not limited to new fixtures, finishes, equipment and mechanical, electrical and plumbing work.","4,500 ft 2",Novus NDT Realty LLC,"10941 Pattison Drive, Frisco, Texas 75035",(614) 946-2271,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010126,Uday Bobbala,,,
KIDS UNITED,TABS2026010112,KIDS UNITED,"615 MAIN STREET #144, Frisco, TX 76036",Collin,3/2/2026,5/4/2026,"$135,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR TENANT RENOVATION ,"2,805 ft 2",MAIN STX LLC,"8668 JOHN HICKMAN PARKWAY #907, FRISCO, Texas 75034",(972) 989-4468,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010112,,WARD ARCHITECTURE PLLC,"5004 THOMPSON TERRACE, COLLEYVILLE, Texas 76034",(817) 281-5600
John Paul II High School Football Stadium Updates,TABS2026010101,John Paul II Addition,"1000 Coit Road, Plano, TX 75075",Collin,2/1/2026,6/30/2026,"$1,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","15,000 sqft Stadium Seating and Press Box Updates","15,000 ft 2",JOHN PAUL II HIGH SCHOOL BUILDING AND ENDOWMENT FUND,"1000 Coit Road, Plano, Texas 75075",(469) 229-5128,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010101,,"LST Venues, LLC","4514 Traivs Street Suite 350, Dallas, Texas 75205",(317) 691-1331
Social Finance Expansion,TABS2026010094,HALL Park I,"2601 Network, Suite 600, Frisco, TX 75034",Collin,2/1/2026,6/1/2026,"$721,311",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 10,601 rsf of demolition and renovation for existing commercial office expansion.","10,601 ft 2",Hall 2601 Network Associates LLC,"6801 Gaylor Pkwy Ste. 100, Frisco, Texas 75034",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010094,"Tim Maechling, Social Finance",BHA Studio,"3141 Hood Street, suite 420, Dallas, Texas 75219",(214) 521-8500
Good Good,TABS2026010060,600 Industry Way,"600 Industry Way, Prosper, TX 75078",Collin,2/9/2026,4/30/2026,"$1,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out,"10,000 ft 2",Good Good Golf,"600 Industry Way Suite 40, Prosper, Texas 75078",(972) 567-6849,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010060,Alex Puchala,Clark Design Company,"5703 Stage Line Ct., Arlington, Texas 76017",(972) 567-6849
Le Unique Prosper,TABS2026010038,Le Unique SkinLab,"2350 Prosper Trail, Prosper, TX 75218",Collin,2/1/2026,5/1/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish Out,"2,800 ft 2",Eden Elchaiani,"2350 Prosper Trail #40, Dallas, Texas 75218",(518) 466-6966,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010038,,Westlake Architecture and Consulting,"919 Morrell Ave Suite 100, Dallas, Texas 75203",(214) 803-4303
Academy Sports + Outdoors - Fairview,TABS2026010035,Academy Sports + Outdoors,"201 Stacy Rd., Fairview, TX 75069",Collin,3/30/2026,8/28/2026,"$3,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Int. & ext. alteration to former Macy's location, inclusive of interior demo, exterior limited demo & new construction for new Academy Sports lease space. Work inclusive of new partition walls, electrical devices, plumbing, fixtures HVAC new RTUs","65,635 ft 2",FV Stacy Retail LTD,"4550 Travis St. Ste. 250, Dallas, Texas 75205",(214) 334-4811,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010035,,CASCO Diversified Corporation,"12 Sunnen Drive Suite 100, St. Louis, Missouri 63143",(314) 821-1100
"Preston Hickory Office Park, Bldg 16",TABS2026010034,Building 16,"7762 Preston Rd., Frisco, TX 75034",Collin,1/31/2026,1/31/2027,"$200,000",New Construction,"This project is privately funded, on private land for private use.",single story office bldg and related site work,"4,949 ft 2",PRESTON HICKORY OFFICE PARK LLC,"1901 N. Akard St, Dallas, Texas 75201",(214) 871-2640,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010034,,,,
Public Storage Celina,TABS2026009995,Public Storage,"2113 Yucca Flower Place, Celina, TX 75009",Collin,1/14/2026,8/31/2027,"$11,459,688",New Construction,"This project is privately funded, on private land for private use.","One story climate controlled self storage building with rental office ( Bldg A 168174SF) Sis single storage drive up self storage building (Bldg B 4899 SF Bldg C48899  SF, BLdg D 2862 Bldg E 2862 Bldg F 2645 Bldg G 2426 SF)with associated site work","188,769 ft 2",Public Storage (PS LPT Properties Investors),"220 K Ave Ste 200, Plano, Texas 75074",(214) 926-0750,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009995,,O'Brien Architects,"1722 Routh St Ste 122, Dallas, Texas 75201",(972) 788-0750
MOB MCKINNEY,TABS2026009980,MOB MCKINNEY,"2222 ELDORADO PKWY -, Mckinney, TX 75072",Collin,3/1/2026,4/28/2027,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.",NEW 2 STORY OFFICE BLDG ,"20,782 ft 2",KR REALTY INVESTORS,"8104 GREENSBORO DR, PLANO, Texas 75025",(945) 361-0669,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009980,,MASTERPLAN DESIGN,"2916 WOODSIDE ST, DALLAS, Texas 75204",817.440.4800
2012 Plano Pain Treatment Institute,TABS2026009974,Medical Office Building,"2012 Midway Suite 100, Plano, TX 75093",Collin,2/6/2026,5/26/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Design 4020 usf,"4,020 ft 2",2012 Midway LLC,"7668 Eldorado Parkway Suite 200, McKinney, Texas 75070",(214) 762-9084,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009974,,MPI Architects,"4949 Addison Circle, Addison, Texas 75001",972-788-0078
El Dorado Chevrolet Service Shop Remodel,TABS2026009949,El Dorado Chevrolet,"2300 N Central Expy, Mckinney, TX 75070",Collin,4/1/2026,10/31/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Add HVAC Conditioning to existing service shop.,"61,733 ft 2",Reed Remington Graff Trust IV,"3311 Oak Lawn Ave Ste 250, Dallas, Texas 75219",(214) 951-7434,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009949,,"LOMA Architecture, LLC","3838 N Sam Houston Pkwy E Ste 185, Houston, Texas 77032",(832) 506-0984
Spec Suite 450,TABS2026009947,Granite Park 6,"5601 Granite Pkwy Suite 450, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$212,561",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,778","2,778 ft 2",Granite Park VI LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009947,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75024",(972) 770-2222
Spec Suite 440,TABS2026009945,Granite Park 6,"5601 Granite Pkwy Suite 440, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$182,195",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,369","2,369 ft 2",Granite Park VI LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009945,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75240",(972) 770-2222
Spec Suite 430,TABS2026009942,Granite Park 6,"5601 Granite Pkwy Suite 430, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$121,463",Renovation/Alteration,"This project is privately funded, on private land for private use.","1,690","1,690 ft 2",Granite Park VI LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009942,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75240",(972) 770-2222
Akili Clinic,TABS2026009937,Harrington Place,"170 Alma Dr., Plano, TX 75075",Collin,2/9/2026,4/30/2026,"$347,130",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of approximately 1,653 sf.","1,653 ft 2","DHCG 1700 Alma, LLC","1700 Alma Dr., Plano, Texas 75075",(419) 236-6098,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009937,Akili Wellness LLC,Perez Architecture Studio,"PO Box 223, Crandall, Texas 75114",(214) 718-0584
Spec Suite 420,TABS2026009936,Granite Park 6,"5601 Granite Pkwy Suite 420, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$131,585",Renovation/Alteration,"This project is privately funded, on private land for private use.","1,763","1,763 ft 2",Granite Park VI LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009936,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75240",(972) 770-2222
Spec Suite 410,TABS2026009930,Granite Park 6,"5601 Granite Pkwy Suite 410, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$212,561",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,771","2,771 ft 2",Granite Park VI LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009930,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75240",(972) 770-2222
Spec Suite 400,TABS2026009928,Granite Park 6,"5601 Granite Pkwy Suite 400, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$151,829",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,024","2,024 ft 2",Granite Park VI LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009928,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75240",(972) 770-2222
4th Floor Corridor & Lobby,TABS2026009926,Granite Park 6,"5601 Granite Pkwy 4th Floor, Plano, TX 75024",Collin,1/12/2026,5/7/2026,"$166,784",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,490","2,490 ft 2",Granite Park VI LP,"5601 Granite Parkway 4th Floor, Plano, Texas 75024",(972) 731-2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009926,,Entos Design,"5400 LBJ Frwy Suite 125, Dallas, Texas 75240",(972) 770-2222
Horseshoe Park Renovation,TABS2026009925,Horseshoe Park,"4012 Roundrock Trail, Plano, TX 75023",Collin,4/6/2026,2/26/2027,"$3,700,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Park Renovation including grading and drainage, water and sewer services, cricket pitch, perimeter trail, new playground, pre-fabricated restroom building, site lighting, parking lot improvements, irrigation system, shade structures, and landscaping","382,000 ft 2",City of Plano,"5901 Los Rios Boulevard, Plano, Texas 75074",(972) 941-7532,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009925,,"JBI Partners, Inc.","2121 Midway Road, Suite 300, Carrollton, Texas 75006",(214) 912-5055
McKinney Municipal Addition,TABS2026009920,McKinney Municipal Complex,"401 E Virginia St, Mckinney, TX 75069",Collin,2/2/2026,7/1/2026,"$60,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Updating closet to single user restroom and changing toilets to urinals in multi-user restroom. ,105 ft 2,City of McKinney,"222 N Tennessee St, McKinney, Texas 75069",(972) 547-7439,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009920,,Parkhill,"3000 Internet Blvd. Suite 550, Frisco, Texas 75034",972-987-1670
Chicago Title Renovations,TABS2026009915,Legacy Town Center II,"6900 Dallas Parkway, Suite 610, Plano, TX 75024",Collin,1/16/2026,3/27/2026,"$51,524",Renovation/Alteration,"This project is privately funded, on private land for private use.",Approximate 600 SF of renovations within tenant's existing suite.,"6,090 ft 2",KBSIII Legacy Town Center LLC c/o KBS Capital Advisors LLC,"800 Newport Center Dr., Suite 700, Newport Beach, California 92660",949476545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009915,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
McKINNEY NEIGHBORHUB,TABS2026009804,McKINNEY NEIGHBORHUB,"2000 WHITE AVE., Mckinney, TX 75069",Collin,3/9/2026,9/30/2027,"$5,432,250",New Construction,"This project is privately funded, on private land for private use.","NEW BUILDING FOR CATHOLIC CHARITIES. INCLUDES OFFICES, CLINIC, FOOD PANTRY, STORAGE WAREHOUSE.","36,215 ft 2",CATHOLIC CHARITIES DALLAS,"1421 W MOCKINGBIRD LN, DALLAS, Texas 75247",(412) 720-0164,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009804,,FORM STUDIOS,"300 BURNETT ST SUITE 120, Fort Worth, Texas 76102",(817) 426-3006
ARTERIAL CONCRETE REQUIREMENT - 2026,TABS2026009755,PWS 00037 - CITY OF PLANO,"MULTIPLE LOCATIONS, Plano, TX 75075",Collin,4/1/2026,2/28/2030,"$172,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","12,400 SIDEWALK AND 24 BFR","12,400 ft 2",CITY OF PLANO,"625 DIGITAL DR #STE. 200, PLANO, Texas 75075",(972) 769-4140,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009755,,CITY OF PLANO,"625 DIGITAL DR #STE. 200, PLANO, Texas 75075",(972) 769-4140
TEN THOUSAND COFFEE,TABS2026009754,CENTURY SQUARE AT CENTRAL PLANO,"1700 N CENTRAL EXPRESSWAY #STE. 100, Plano, TX 75074",Collin,2/1/2026,6/1/2026,"$2,017,158",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR BUILD OUT ,"1,512 ft 2",1700 N CENTRAL REALTY LLC,"1606 FREDERICKSBURG DR, ALLEN, Texas 75013",(972) 792-9888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009754,SONNY HUYNH,BC STRUCTURAL ENGINEERS,"450 CENTURY PKWY #STE. 250, ALLEN, Texas 75013",(214) 991-5117
KFC Eldorado and Custer aka KFC Openhouse McKinney,TABS2026009751,KFC,"8751 Eldorado Parkway, Mckinney, TX 75070",Collin,1/26/2026,6/27/2026,"$1,800,000",New Construction,"This project is privately funded, on private land for private use.",Construction of new 2700 square foot building for a fast-food restaurant to include site work.,"2,700 ft 2","Abji, LLC","3575 Story Rd. West, Suite 100, Irving, Texas 75038",(214) 682-4886,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009751,Chris Cassano,"Jefferson Browne Architecture, Inc.","150 Huddleston Rd, Suite 1000, Peachtree City, Georgia 30269",770-632-9545
