project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Dos Bros Fresh Mexican Grill Tenant Improvement,TABS2024023348,City Vet Retail Development,"6451 W. University Drive, Ste 600, Mckinney, TX 75071",Collin,9/3/2024,12/9/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","First generation restaurant tenant finish-out of 2,096 SF for Dos Bros Fresh Mexican Grill within the existing City Vet Retail Development shell building. ","2,096 ft 2","Cannon Young Properties, LP","3341 Regent Blvd., Ste 130-295, Irving, Texas 75063",(214) 552-2507,"Partners 26, LLC","550 Reserve Street, Ste 190, Southlake, Texas 76092",(877) 524-5080,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023348,Markand Shah
ALB24015,TABS2024023322,Albertson's,"3001 S. Central Expressway, Mckinney, TX 75070",Collin,8/23/2024,9/6/2024,"$170,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Minor electrical and plumbing work, new equipment, equipment swapping, equipment removal, partition wall construction / demolition",143 ft 2,Chase Bowen,"250 N. Parkcenter Blvd., Boise, Idaho 83706",(817) 796-9645,"PM DESIGN GROUP, INC.","1101 Central Expressway S Suite 100, Allen, Texas 75013",(972) 499-8084,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023322,
Flame Broiler,TABS2024023313,Windsong Ranch Marketplace,"4580 W University Drive, Suite30, Prosper, TX 75078",Collin,7/22/2024,10/21/2024,"$240,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior improvement of retail space,"1,281 ft 2",Northeast 423/380 LTD,"7001 Preston Road, Suite 410, Dallas, Texas 75205",(214) 224-4600,Interprise Design,"14241 Dallas Parkway, Suite 260, Dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023313,
Assembly Park Spec Suite 140,TABS2024023282,Assembly Park,"6200 K AVE PLANO, Suite 140, Plano, TX 75074",Collin,8/5/2024,12/30/2024,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","tenant spec office suite, interior scope only","10,296 ft 2","Plano Mall Owners, LP","3657 Briarpark Dr Suite 300, Houston, Texas 77042",(832) 615-1417,Agent Architecture,"1414 Belleview St Suite 150, Dallas, Texas 75215",(214) 775-0823,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023282,
T3 Chiropractic,TABS2024023265,Stacey Angel Crossing,"1680 E. Stacey Rd. Suite 120, Allen, TX 75002",Collin,9/18/2024,12/18/2024,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",First Generation office build out within Retail building,"1,844 ft 2",Angel/Stacy LLC,"4347 W. Northwest Hwy. Suite 130, Dallas, Texas 75220",(972) 231-8600,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023265,
City of Wylie Traffic Signal Installation,TABS2024023250,N/A,"101 Dominion Drive, Wylie, TX 75098",Collin,11/1/2024,10/1/2025,"$1,500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Traffic signal, sidewalk, and median improvements at the intersections of Sachse Rd/Creek Crossing Ln, McCreary Rd/Hensley Ln, and Woodbridge Pkwy/Hensley Ln. Approximate project area is 36,000 SF.","36,000 ft 2",City of Wylie,"300 Country Club Road, Wylie, Texas 75098",(972)516-6414,"Kimley-Horn and Associates, Inc.","2600 N. Central Expressway, Suite 400, Richardson, Texas 75080",(214)256-4339,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023250,
PRESTONWADE - SUITE 107,TABS2024023176,Prestonwade Professional Building,"6475 Preston Road Suite 107, Frisco, TX 75034",Collin,8/5/2024,11/29/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish out,898 ft 2,Chandra Suthapalli,"12478 Nandina Ln, Frisco, Texas 75035",(925) 709-4591,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023176,
PRESTONWADE - SUITE 105,TABS2024023175,Prestonwade Professional Building,"6475 Preston Road Suite 105, Frisco, TX 75034",Collin,8/1/2024,11/29/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finishout,898 ft 2,Chandra Suthapalli,"12478 Nandina Ln, Frisco, Texas 75035",(925) 709-4591,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023175,
Sephora,TABS2024023171,West Grove,"8701 W. University Drive, Suite 210, Mckinney, TX 75071",Collin,10/21/2024,1/21/2025,"$685,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","SF interior tenant fit-out for Sephora. Work includes but is not limited to construction of interior walls, partitions, wall fixtures, flooring, ceiling, light fixtures, new signs and mechanical, electrical, & plumbing scope.","4,858 ft 2",Entertainment Properties 360 LLC,"4514 Cole Ave, Ste 815, Dallas, Texas 75205",214.750.7688,Sargenti Architects,"234 E. Colorado Blvd. Suite 850, Pasadena, California 91101",(818) 300-3403,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023171,"Sephora USA, INC."
PANJ TARA RESTAURANT,TABS2024023166,SHOPPING CENTER THE VILLAGE AT CAMP BOWIE,"2025 W MCDERMOTT DR, Allen, TX 75013",Collin,8/1/2024,12/1/2024,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"3,000 ft 2",WENDYS AT ALLEN LLC,"8668 JOHN HICKMAN PKWY #STE. 907, FRISCO, Texas 75034",(972) 212-5871,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023166,PANJ TARA LLC
Smoothie Factory + Kitchen,TABS2024023150,Light Farms Shops,"1470 W. Frontier Parkway, Suite 102, Prosper, TX 75098",Collin,7/31/2024,10/31/2024,"$250,000",New Construction,"This project is privately funded, on private land for private use.","The interior finish-out of a 1,135 sqft shell space into a new smoothie restaurant.","1,135 ft 2","LCR Enterprises, LLC.","1470 W. Frontier Parkway, Prosper, Texas 75078",(773) 238-7700,"NuPlan Group, LLC.","7178 Yellowstone Drive, Frisco, Texas 75033",(469) 222-8240,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023150,Lanford Rodgers
Action Behavior Center Prosper 2.0,TABS2024023121,Action Behavior Center Prosper 2.0,"710 North Preston Road, Prosper, TX 75078",Collin,8/1/2024,8/31/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 7,873 square-foot tenant finish-out project in an existing shell for Action Behavior Centers office and therapy clinic.","7,873 ft 2","Prosper Center, LLC","8183 Stone River Drive, Frisco, Texas 75034",971-310-4989,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023121,Connor Coleman
Eldorado Pkwy & Dallas Tollway,TABS2024023108,Starbucks Coffee,"5722 Eldorado Pkwy, Ste. 100, Frisco, TX 75033",Collin,12/3/2024,1/24/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,120sf with new interior partitions, plumbing fixtures, lighting, ducting, ceilings, & finishes.","2,120 ft 2",Malouf Interests,"3811 Turtle Creek Blvd, Ste. 1800, Dallas, Texas 75219",(214) 679-4900,"Design Forum Architects, Inc.","2056 Byers Road, Miamisburg, Ohio 45342",(844) 804-7700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023108,James Miller - Starbucks
PINKBERRY,TABS2024023067,STONEBRIAR CENTER,"2601 PRESTON RD, Frisco, TX 75034",Collin,7/1/2024,10/31/2024,"$79,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"1,021 ft 2",STONEBRIAR MALL LLC,"2601 PRESTON RD, FRISCO, Texas 75034",(469) 920-3186,VIZUAL ARCHITECTURE,"400 N SAINT PAUL ST #STE 1120, DALLAS, Texas 75201",(214) 515-2106,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023067,NICKEY SAJED
KING HOT POT & BBQ,TABS2024023066,WESTGATE SHIPPING CENTER,"159 S CENTRAL EXPY, Mckinney, TX 75070",Collin,8/1/2024,8/1/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"11,162 ft 2",WESTGATE SHOPPING CENTER LTD,"2301 OHIO DR #STE. 139, PLANO, Texas 75093",(214) 207-4630,SUNFLOWER CONSTRUCTION LLC,"3948 SUNFLOWER LN, PLANO, Texas 75025",(817) 789-1214,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023066,YING HUANG
The NOW - McKinney,TABS2024023057,The NOW - McKinney,"4010 W University Drive, Mckinney, TX 75071",Collin,8/1/2024,9/1/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant improvement for 2,175 sf day spa","2,175 ft 2","Mosara Wellness North, LLC","7548 Preston Road, Ste 141 PMB 1371, Frisco, Texas 75034",214 471 5595,Commercial Architecture,"616 14th Street, Modesto, California 95354",(209)571-8158,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023057,Dimeka Jennings
MOBILE DJ,TABS2024023049,Bald Eagle Properties LLC,"6100 K Ave, SUITE 100, Plano, TX 75074",Collin,8/15/2024,11/15/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE PROJECT: CONSIST OF SELECT /INTERIOR DEMOLITION & RENOVATION TO AN EXISTING 5,244 SF RETAIL LEASE SPACE CATEGORIZED AS AN ASSEMBLY (EXHIBIT GALLERY/EVENT SPACE)","5,244 ft 2",Bald Eagle Properties LLC,"P.O. Box 12670, Dallas, Texas 75225",214.734.6611,DORIAN BAHR,"909 BUSINESS PKWY, Richardson, Texas 75081",(214) 698-9936,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023049,Edna Bennett
Striped Box Boutique,TABS2024023015,Lakeside Market,"5809 Preston Road Suite E578A, Plano, TX 75093",Collin,7/30/2024,9/30/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out,"1,577 ft 2",Whitestone REIT,"2600 Gessner Road Suite 500, Houston, Texas 77063",(713) 435-2277,DRAWbridge,"2650 FM 407E Suite 145, #149, Bartonville, Texas 76226",(214) 395-2375,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023015,
Comerica Center Production Room,TABS2024023001,Comerica Center,"2601 Avenue of the Stars,, Frisco, TX 75034",Collin,7/17/2024,8/19/2024,"$65,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Enclosing office room. ,240 ft 2,City of Frisco,"6101 Frisco Square Blvd, 5th Floor, Frisco, Texas 75034",972.292.5104,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023001,
Hmart suite 160,TABS2024022962,Hmart shopping center,"3420 Ave K, Plano, TX 75074",Collin,10/1/2024,2/3/2025,"$220,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",landlord's clean out ,"5,243 ft 2",Retail Plazas,"2929 CARLISLE STREET SUITE 170, DALLAS, Texas 75204",972-250-1486,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022962,
