project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Prestwick Dentistry,TABS2026011221,Prestwick Dentistry,"1925 Prestwick Hollow Dr. Suite 800, Mckinney, TX 75071",Collin,2/27/2026,5/27/2026,"$298,648",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of a cold dark shell ,"1,700 ft 2",Shops at Prestwick Hollow LLC,"3773 Richmond Ave. Suite 800, Houston, Texas 77046",(713) 623-6944,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011221,,,,
MOVEMENT C-STORE # 22,TABS2026011195,MOVEMENT C-STORE # 22,"211 S COIT ROAD, Mckinney, TX 75072",Collin,4/1/2026,7/31/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.","APPROX. 5,334 SQUARE FOOT CONVENIENCE STORE AND TENANT SPACE WITH 6 FUEL DISPENSERS WITH TRADITIONAL FUELING","5,334 ft 2","MOVEMENT HOLDINGS, LLC","1814 RUSTIC HILLS CT., SUGAR LAND, Texas 77479",832-790-4979,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011195,,,,
PISD Transportation Center,TABS2026011184,PISD Transportation Center,"600 Seabrook Drive, Plano, TX 75023",Collin,9/1/2026,1/1/2028,"$13,600,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of existing building and addition of new shop,"43,059 ft 2",Plano ISD,"6600 Alma Drive Suite E, Plano, Texas 75023",(469) 752-1484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011184,,"PBK Architects, Inc.","14001 North Dallas Parkway Suite 400, Dallas, Texas 75240",(972) 233-1323
Encompass Health Rehabilitation Hospital of Prosper - Phase 2,TABS2026011183,Encompass Health Rehabilitation Hospital of Prosper,"1231 Mahard Parkway, Prosper, TX 75078",Collin,8/10/2026,3/15/2027,"$13,350,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Addition of 20 Patient Rooms, Nurse Station, and support space to an existing rehab hospital. ","14,263 ft 2",Encompass Health Corporation,"9001 Liberty Parkway, Birmingham, Alabama 35242",(800) 765-4772,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011183,,GA Studio,"2625 5th Avenue North Building C Building C, Bessemer, Alabama 35020",(205) 447-1575
Camelia Cafe,TABS2026011150,Collin Creek Shopping Center,"1201 N Central Expy #4, Plano, TX 75075",Collin,2/23/2026,6/26/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of coffee shop for the preparation and consumption of drinks and limited food items in an existing strip center building. ,"3,120 ft 2","Collin Creek Associates, LLC","4500 Bissonet St Suite 200, Bellaire, Texas 77401",(713) 306-5161,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011150,Adnan Yildiz,,,
DATCU Celina,TABS2026011079,Celina Branch,"1310 S. Oklahoma Dr., Celina, TX 75009",Collin,4/1/2026,11/1/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","2240 square foot, single story Credit Union with offices and public lobby. Site will be developed to include two drvie-thru ITM lanes and parking.","2,240 ft 2",DATCU,"PO BOX 827, Denton, Texas 76202",(940) 387-8585,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011079,,"Brandstetter Carroll, Inc","100 West Mulberry Street, Denton, Texas 76201",940 387 8182
Sam's Club 4743.1014 Special Project: POS Box,TABS2026011061,Sam's Club 4743,"1200 E. Spring Creek Pkwy., Plano, TX 75074",Collin,4/6/2026,6/29/2026,"$169,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR DEMOLITION, REMODELED SALES AREA, NEW POS  FREEZER, NEW POS COOLER","7,947 ft 2",SAMS REAL ESTATE BUSINESS TRUST,"MAIL STOP 0555 PO BOX 8050, Bentonville, Arkansas 72712",(479) 644-5695,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011061,,Benchmark Group,"1805 N. 2nd Street, Rogers, Arkansas 72756",(479) 636-5004
Puja’s Trendz LLC,TABS2026011044,C1,"Building C1, 10220 Coit Rd. Frisco, TX 75035, Frisco, TX 75035",Collin,2/16/2026,5/15/2026,"$195,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THIS PROJECT IS A FIRST-TIME TENANT INFILL OF A 2,284 SQ. FT. CLOTHING STORE","2,284 ft 2","Suniksha Lexington3, LP","2472 Twin Oaks Dr, Little Elm, TX, Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011044,Mayank Chopra,Design Group LLC,"2494 Bunnels Fork Road, Frisco, Tx 75036, Frisco, Texas 75036",901.603.8765
"Custer Road, K Avenue, Tennyson Pkwy",TABS2026011043,Sidewalk and Retaining Wall Improvements,"Custer Road, K Avenue, Tennyson Pkwy, Plano, TX 75074",Collin,1/5/2026,7/3/2026,"$1,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Sidewalk and Retaining Wall Improvements,"15,300 ft 2",City of Plano,"1520 K Avenue, Plano, Texas 75074",972-941-5387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011043,,Johnson Volk Consulting,"704 Central Parkway East Suite 1200, Plano, Texas 75074",972-201-3100
Robertson Companies,TABS2026011042,Robertson Companies,"5677 W Spring Creek Pkwy Suite 210, Plano, TX 75024",Collin,3/15/2026,6/15/2026,"$230,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish out of general office space for real estate development,"1,770 ft 2",SPRING CREEK OFFICE PLAZA LLC,"16818 Dallas Pkwy Suite 100, Dallas, Texas 75248",972-897-0562,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011042,Bryan Robertson,Ramsey and Reyes,"2235 Ridge Road Suite 350, Rockwall, Texas 75087",972-345-1684
Interior Buildout,TABS2026010947,OrthoDallas,"8810 Collin Mckinney Pkwy, Mckinney, TX 75070",Collin,3/1/2026,6/30/2026,"$340,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of a cold shell new construction (2500 SF),"2,500 ft 2",AP Real Estate Holdings LLC,"8810 Collin McKinney Pkwy, McKinney, Texas 75070",(919) 699-0306,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010947,,"708 Studios, LLC","5000 Eldorado Pkwy Suite 150, Frisco, Texas 75033",214-789-6196
"7-Eleven 42714 Anna, TX",TABS2026010940,"7-Eleven 42714 Anna, TX","Hwy 5 & W. Rosamond Pkwy, Anna, TX 75409",Collin,4/1/2026,11/1/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New construction of one story convenient store with fuel services. Site work and grading included ,"4,816 ft 2",3 Bad Hombres LLC,"6310 Lemmon Ave #202, Dallas, Texas 75209",(469) 853-2039,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010940,Elana Nesbit,The Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400
National Car Wash Solutions,TABS2026010920,HALL Park Lakes II,"2591 Dallas Parkway, Suite 103, Frisco, TX 75034",Collin,2/1/2026,4/1/2026,"$102,155",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 8,526 sft of demolition and renovation for existing commercial office.","8,526 ft 2",Hall Stonebriar Two Associates LLC,"6801 Gaylord Pkwy Ste 100, Frisco, Texas 75034",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010920,"Billy Benson, National Car Wash Solutions",Vaughan Myers Design,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485
Legacy VII - Demising Wall,TABS2026010882,Legacy VII,"5201 Tennyson Pkwy, Plano, TX 75024",Collin,2/1/2026,3/15/2026,"$110,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Addition of a demising wall between two existing suites within an existing building. 21,022","21,022 ft 2",JMCR Legacy LLC,"4550 Travis Street Suite 250, Dallas, Texas 75205",(214) 740-3498,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010882,,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010
HNTB Plano Exp (39-26120-00),TABS2026010853,Granite Park,"5700 Granite Parkway Suite 550, Plano, TX 75024",Collin,3/2/2026,7/15/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish out of 2nd generation space.,"6,674 ft 2",Granite Park NM/GP II LP,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010853,Chris Pollard,DLR Group,"2500 Pacific Ave Suite 1600, Dallas, Texas 75226",(214) 747-2511
Mikiya Plano,TABS2026010842,Makiya Plano,"111 W Spring Creek Pkwy, Suite 148, Plano, TX 75023",Collin,4/1/2026,10/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovations including partitions, MEP and Kitchen equipment from prior restaurant to new restaurant","6,219 ft 2",Spring Creek Retail,"8750 N Central Expressway suite 1740, Dallas, Texas 75231",(214) 223-9788,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010842,,Accolade Design Studio LLC,"2311 Texas Drive Suite 103, Irving, Texas 75062",(972) 360-0608
CHST MCP Lobby Refresh,TABS2026010837,Children's Medical Center Plano,"7601 Preston Rd, Plano, TX 75024",Collin,3/9/2026,8/14/2026,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Project includes a renovation to the existing Children's Surgery waiting space. Work includes a new family lounge area, lactation room, reception desk, as well as finish upgrades.","4,450 ft 2",Children's Health System of Texas,"1935 Medical District Drive, Dallas, Texas 75235",(214) 244-9109,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010837,,GUIDE Architecture,"1108 Quaker Street Suite 130, Dallas, Texas 75207",(214) 960-9773
Star Dental,TABS2026010811,Granite Park 5,"5830 Granite Parkway Suite 780, Plano, TX 75024",Collin,1/16/2026,4/15/2026,"$245,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",11877,"11,877 ft 2",Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010811,,Entos Design,"56400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
