project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
NTKDA Medical Office Finish out,TABS2025020523,1220 Coit Rd. Suite 107,"1220 Coit Rd. Suite 107, Plano, TX 75075",Collin,9/22/2025,1/18/2026,"$200,000",New Construction,"This project is privately funded, on private land for private use.","One story, 1804 sq.ft. interior finish out for a medical office/","1,804 ft 2",NTKDA MCPlano Condo LLC,"4401 Coit Rd. Suite 303, Frisco, Texas 75035",(972) 955-4148,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020523,,,,
"ICONIQUE VENUE LLC, Frisco, TX.",TABS2025020519,Preston PLAZA,"10865 Preston Rd., Frisco, TX 75033",Collin,7/14/2025,11/25/2025,"$490,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Tenant Finsh-out,"6,570 ft 2",SRINIVAS YALAGALA,"4201 Querida Ave., McKinney, Texas 75070",(916) 541-7532,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020519,,CA&D,"2409 Chadwick Ln., Garland, Texas 75044",(214) 236-9289
Greenway Village (Link SFR),TABS2025020510,Greenway Village,"6331 County Rd. 26, Frisco, TX 75033",Collin,1/9/2023,10/9/2025,"$68,058,745",New Construction,"This project is privately funded, on private land for private use.","142 Single Family rental homes, 18 Townhome Bldgs, 215 units total, Leasing office and amenities 331,558 gross s.f.","331,558 ft 2","SW Link SFR Owner, LLC","2515 McKinney Ave Suite 1200, Dallas, Texas 75201",(469) 834-7952,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020510,,OmniPlan Inc,"1845 Woodall Rogers Frwy Suite 1600, Dallas, Texas 75201",(817) 988-0455
SOCIETY SALON,TABS2025020485,SOCIETY SALON,"2803 MCKINNEY STREET, SUITE 200, Melissa, TX 75454",Collin,7/16/2025,10/15/2025,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH-OUT OF A SHELL LEASE SPACE ,"2,000 ft 2",HOPE DEVELOPMENT PARTNERS 3 LLC,"129 NORTH COLLINS ROAD, SUITE 2102, SUNNYVALE, Texas 75182",(214) 457-6493,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020485,,WARD ARCHITECTURE PLLC,"5004 THOMPSON TERRACE, SUITE 107, COLLEYVILLE, Texas 76034",(817) 281-5600
Coyote Meadows - Phase 3,TABS2025020482,NA,"FM2862 (1000 LF West of Duck Lk Lp / FM2862 int.), Anna, TX 75409",Collin,7/14/2025,5/14/2026,"$335,500",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Developer constructed sidewalk and landscape trails within the proposed subdivision. ,"40,000 ft 2",TFCC COYOTE LLC,"970 Lawrence Avenue West, Toronto, ON M6A 3B6",214-693-5378,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020482,,Spiars Engineering and Surveying,"765 Custer Rd. Suite 100, Plano, Texas 75075",(214) 763-8217
Project Plan 3-0,TABS2025020456,N/A,"1700 Summit Ave. Unit 400, Plano, TX 75074",Collin,7/1/2025,5/31/2026,"$3,948,723",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of shell,"52,284 ft 2",UL Solutions,"801 Klein Road Suite 200, Plano, Texas 75074",(972) 509-1321,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020456,,,,
PNC Bank,TABS2025020439,The Mix,"6955 Lebanon Road Building B - Suite, Frisco, TX 75034",Collin,7/1/2025,1/1/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement for a 3,196 sf bank branch.","3,196 ft 2",WP Development Partners LLC,"712 5th Ave Fl 51, New York, New York 10019",214-930-1879,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020439,Felice Leckbee,GPD Group Professional Corporation,"520 S. Main St. STE 2531, Akron, Ohio 44311",330-572-2100
Storybook Ranch,TABS2025020429,Storybook Ranch,"3701 S. Custer Road, Mckinney, TX 75070",Collin,1/9/2023,6/9/2025,"$50,681,363",New Construction,"This project is privately funded, on private land for private use.","245 Single Family rental homes, 280,882 gross s.f.","280,882 ft 2","SW Storybook Owner, LLC","2515 McKinney Ave Suite 1200, Dallas, Texas 75201",(469) 834-7952,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020429,,OmniPlan Inc,"1845 Woodall Rogers Frwy Suite 1600, Dallas, Texas 75201",(817) 988-0455
Visonary Eye,TABS2025020413,Independence Medical Village,"8080 Independence Pkwy, Plano, TX 75025",Collin,6/17/2025,9/30/2025,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 3,693 useable sq. ft. optical tenant finish out within IMV in Plano, Texas. ","4,332 ft 2",Healthcare Realty Trust,"3900 Junius Street Suite 640, Dallas, Texas 75246",(469) 617-0657,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020413,,,,
"3052 McKinney, TX - W University Drive",TABS2025020404,FedEx Office,"4590 W. University Dr, Suite 203, Mckinney, TX 75071",Collin,9/8/2025,10/31/2025,"$347,522",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out of a new FedEx Office including new accessible restrooms and client specific fixtures and equipment.,"1,717 ft 2","BMS Investment Group, LLC","6383 Francis Lane, Frisco, Texas 75035",(214) 986-4538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020404,Molly Westfall,idGroup,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
Prose Aviator,TABS2025020399,Prose Aviator,"6400 County RD. 124, Mckinney, TX 75071",Collin,7/4/2025,7/4/2027,"$46,600,000",New Construction,"This project is privately funded, on private land for private use.","The scope consists of four (3-story apartment buildings), two (4-story apartment buildings), A one-story leasing/clubhouse building with a pool, a pickleball court, a dogwash, and a maintenance building amenity. ","395,204 ft 2",David Dierkes,"4925 Greenville Ave. Suite 1270, Dallas, Texas 75206",(214) 389-2016,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020399,,,,
"Tesla - McKinney, TX",TABS2025020398,Tesla,"1800 N. Graves Street, Mckinney, TX 75237",Collin,7/29/2025,7/27/2026,"$180,000",New Construction,"This project is privately funded, on private land for private use.",electrical infrastructure,"1,200 ft 2","Tesla, Inc.","3500 Deer Creek Road, Palo Alto, California 94304",(504) 812-7053,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020398,,GPD Group Professional Corporation,"520 South Main Street, Suite 2531, Akron, Ohio 44311",(330) 572-3508
McKinney Amphitheatre - Garages,TABS2025020390,McKinney Amphitheatre & Garages,"2000 Gateway Boulevard, Mckinney, TX 75070",Collin,6/13/2025,6/13/2027,"$71,000,000",New Construction,"This project is privately funded, on private land for private use.",New parking garages approx 1.5m SF,"1,500,000 ft 2",VENU,"1755 Telstar Drive Suite 501, Colorado Springs, Colorado 80920",(678) 617-4726,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020390,,BCA Studios,"410 Bradford Street, Gainsville, Georgia 30501",(770) 530-5300
NTTA F! Gleneagles Campus Repairs,TABS2025020389,Building 5900 and Building 5910,"5900 West Plano Parkway, Plano, TX 75093",Collin,8/15/2024,8/15/2025,"$319,544",Renovation/Alteration,"This project is privately funded, on private land for private use.","Scope includes concrete repair and replacement, new accessible ramp and railing, hand, guardrail repair, bollard, fire hydrant, dumpster gate paint, CMU pressure wash.","170,758 ft 2",North Texas Tollway Authority,"5900 West Plano Parkway, Plano, Texas 75093",(214) 224-3080,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020389,,Michael Baker International,"1501 LBJ Fwy; Suite 650, Dallas, Texas 75234",(469) 801-8509
McKinney Amphitheatre,TABS2025020385,McKinney Amphitheatre & Garages,"2000 Gateway Boulevard, Mckinney, TX 75070",Collin,6/13/2025,6/13/2027,"$150,000,000",New Construction,"This project is privately funded, on private land for private use.","New Amphitheater, Seating Bowl, Roof Canopy, Owners Club, Restrooms, Concessions, Ancillary Buildnigs, Concourses etc ","300,000 ft 2",VENU,"1755 Telstar Drive Suite 501, Colorado Springs, Colorado 80920",(678) 617-4726,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020385,,BCA Studios,"410 Bradford Street, Gainsville, Georgia 30501",(770) 530-5300
Public Storage,TABS2025020381,Building D,"County Rd. 370 near Rosamond Pkwy, Anna, TX 75409",Collin,8/1/2025,8/1/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.","Single story drive-up storage building with exterior access doors, incl. associated site work.","2,792 ft 2",Public Storage,"2200 K Ave., Suite 200, Plano, Texas 75074",(469) 409-6197,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020381,,O'Brien Architects,"1722 Routh St., Suite 122, Dallas, Texas 75201",(972) 788-1010
Public Storage,TABS2025020379,Building C,"County Rd. 370 near Rosamond Pkwy, Anna, TX 75409",Collin,8/1/2025,8/1/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.","Single story drive-up storage building with exterior access doors, incl. associated site work.","3,005 ft 2",Public Storage,"2200 K Ave., Suite 200, Plano, Texas 75074",(469) 409-6197,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020379,,O'Brien Architects,"1722 Routh St., Suite 122, Dallas, Texas 75201",(972) 788-1010
Public Storage,TABS2025020376,Building B,"County Rd. 370 near Rosamond Pkwy, Anna, TX 75409",Collin,8/1/2025,8/1/2026,"$350,000",New Construction,"This project is privately funded, on private land for private use.","Single story drive-up storage building with exterior access doors, incl. associated site work.","5,981 ft 2",Public Storage,"2200 K Ave., Suite 200, Plano, Texas 75074",(469) 409-6197,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020376,,O'Brien Architects,"1722 Routh St., Suite 122, Dallas, Texas 75201",(972) 788-1010
Public Storage,TABS2025020371,Building A,"County Rd. 370 near Rosamond Pkwy, Anna, TX 75409",Collin,8/1/2025,8/1/2026,"$9,415,000",New Construction,"This project is privately funded, on private land for private use.","3-story climate controlled self-storage building with rental office, incl. associated site work.","134,186 ft 2",Public Storage,"2200 K Ave., Suite 200, Plano, Texas 75074",(469) 409-6197,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020371,,O'Brien Architects,"1722 Routh St., Suite 122, Dallas, Texas 75201",(972) 788-1010
Area 80,TABS2025020347,Collins Renner Rd.,"3200 Renner Rd., Richardson, TX 75082",Collin,1/1/2026,7/1/2026,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing manufacturing area.,"19,832 ft 2",RTX,"3200 East Renner Rd., Richardson, Texas 75082",503 209 3540,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020347,,MJMc Architects,"2727 LBJ Freeway Suite 1013, Farmers Branch, Texas 75234",(469) 941-0433
PNC Bank ADA Remediation Design - Murphy,TABS2025020288,E669 Murphy,"108 S. Murphy Road, Murphy, TX 75094",Collin,7/1/2025,8/31/2025,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The improvements intend to bring the facility exterior accessible parking/access aisle and accessible pedestrian paths into compliance with current ADA standards. The demolition and replacement of 2,360 SF of asphalt pavement, concrete sidewalk, conc","2,360 ft 2","PNC Bank, N.A.","2801 E Camelback Rd. Suite 350, Phoenix, Arizona 85016",(216) 298-4211,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020288,,Michael Baker International,"100 Airside Drive, Moon Township, Pennsylvania 15108",(412) 269-6300
Molson Coors,TABS2025020264,Apex at Legacy,"5801 Headquarters Drive Suite 1000, Plano, TX 75024",Collin,6/1/2025,10/1/2025,"$640,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement,"8,236 ft 2","Plano Cabosparkles HQ2, LLC c/o Monarch Alternative Capital LP","535 Madison Avenue, New York, New York 10022",(248) 705-9275,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020264,,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",972.277.0222
Auto Lube and Repair,TABS2025020236,Auto Lube and Repair,"105 Eve St, Nevada, TX 75173",Collin,6/13/2025,7/31/2025,"$96,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish-Out of an existing building. Current office areas and restrooms are existing to remain. The use of the facility is to be Auto Lube and Repair.,"1,800 ft 2",Mo Selim,"1830 S JOSEY LN, CARROLLTON, Texas 75006",(214) 609-6666,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020236,,ZSTUDIO DESIGN,"2225 S 1ST ST, GARLAND, Texas 75041",(972) 897-3966
Lantern Studios,TABS2025020223,One Legacy Circle,"7500 Dallas Parkway Suite 650, Plano, TX 75024",Collin,7/1/2025,10/1/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"8,777 ft 2","Land Legacy, LP & Manas Legacy, LP","12222 Merit Drive Suite 280, Dallas, Texas 75251",(972) 770-4400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020223,,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",972.277.0222
