project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Goodnight Ln Warehouse,TABS2026011862,Goodnight Ln,"11229 GOODNIGHT LN, Dallas, TX 75229",Dallas,2/28/2026,2/28/2027,"$3,500,000",New Construction,"This project is privately funded, on private land for private use.","A 35,880 square-foot warehouse.","35,880 ft 2",Kreas Capital Management,"11518 Reeder Road, Dallas, Texas 75229",(817) 377-3612,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011862,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600
"MCD CAMP WISDOM RD - DALLAS, TX",TABS2026011841,"MCD CAMP WISDOM RD - DALLAS, TX","4016 W CAMP WISDOM RD, Dallas, TX 75237",Dallas,9/1/2026,1/31/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New Construction McDonalds,"4,184 ft 2","MCDONALD'S USA, LLC","110 N CARPENTER STREET, CHICAGO, Illinois 60607",(214) 907-4313,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011841,"JAW ARCHITECTS, INC","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387
25097 SanMar TI - MDF and Electrical Room,TABS2026011833,SanMar Walnut Hill,"3400 E Airfield Dr., Dfw Airport, TX 75261",Dallas,2/15/2026,4/15/2026,"$191,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of new MDF room and equipment. New electrical room enclosure. 514 sq ft.,514 ft 2,J & J Walnut Hills LLC,"405 114th Ave SE #300, Bellevue, Washington 98004",(206) 770-5560,SanMar Corporation - Leya Barr,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011833,ATA Architects LLC,"1063 Central Ave, Cincinnati, Ohio 45202",513-241-4422
I-20 Logistics Park - Building 1 - Aviator,TABS2026011814,I-20 Logistics Park - Building 1 - Aviator,"35500 LBJ Freeway, Dallas, TX 75241",Dallas,3/2/2026,7/31/2026,"$5,500,000",New Construction,"This project is privately funded, on private land for private use.","The proposed project is a 17,900 sq.ft tenant improvement that includes office spaces, and 2 remote restrooms within an existing warehouse in Dallas, TX. ","17,900 ft 2",BCIF I20 Logistics Park LLC,"518 17th Street, Floor 17, Denver, Colorado 80202",(469) 571-4470,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011814,GSR Andrade Architects,"2001 North Lamar Street Suite 400, Dallas, Texas 75202",(214) 824-7040
Bubba's 33 - Grand Prairie,TABS2026011781,N/A,"SEQ State Highway 161 & Warrior Trail, Grand Prairie, TX 75052",Dallas,5/18/2026,11/9/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.",New construction for a sit down restaurant,"7,105 ft 2","Strategic Restaurant Enterprises, INC.","6040 Dutchmans Lane Suite 400, Louisville, Kentucky 40205",502-855-5561,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011781,GreenbergFarrow,"251 West 30th Street 10th Floor, New York, New York 10001",(212) 725-9530
Midway- Suite 132 Remodel,TABS2026011771,Midway 132,"4275 Kellway Circle, Addison, TX 75001",Dallas,1/9/2026,4/9/2026,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovations to change the layout. SF is 5,500.","5,500 ft 2","Midway Business Park, LLC","4629 Macro, San Antonio, Texas 78218",(210) 394-8466,John Clark,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011771,Atory,"6405 Nutwood Circle, Dallas, Texas 75252",(214) 326-9589
Country Club Dr Addition,TABS2026011768,10410 Country Club Dr,"10410 Country Club Dr, Dallas, TX 75218",Dallas,2/15/2026,4/15/2026,"$110,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Construct an addition on a residential home and convert said home into a small type B assited living facility,"1,500 ft 2",Leeds RE LLC,"5000 Eldorado Pkwy #622, Frisco, Texas 75033",(469) 400-0791,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011768,,,
CHIN CHIN,TABS2026011766,CHIN CHIN,"8000 WALTON BLVD #STE. 102, Irving, TX 75063",Dallas,6/1/2026,6/1/2027,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,357 ft 2",EASTWEST CAPITAL LLC,"8000 WALTON BLVD, IRVING, Texas 75063",(212) 334-9300,SHIVAKUMAR NAIR,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011766,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038
MILKY WAY,TABS2026011765,MILKY WAY,"8000 WALTON BLVD #STE. 101, Irving, TX 75063",Dallas,6/1/2026,6/1/2027,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,376 ft 2",EASTWEST CAPITAL LLC,"7228 BLANCO DR, IRVING, Texas 75039",(212) 334-9300,SHIVAKUMAR NAIR,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011765,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038
25097 SanMar TI - Mat Foundation,TABS2026011745,SanMar Walnut Hill,"3400 E Airfield Dr., Dfw Airport, TX 75261",Dallas,3/25/2026,7/15/2026,"$5,130,906",Renovation/Alteration,"This project is privately funded, on private land for private use.","Removal of flooring and installation of mat foundation. 136,147 SF","136,147 ft 2",J & J Walnut Hill  LLC,"405 114th Ave SE #300, Bellevue, Washington 98001",(206) 770-5560,SanMar Corporation - Leya Barr,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011745,ATA Architects LLC,"1063 Central Ave, Cincinnati, Ohio 45202",513-241-4422
Select Medical Dallas - Meds Rooms Renovation,TABS2026011722,Baylor Scott & White - Institute for Rehabilitation,"909 N Washington Ave, Dallas, TX 75246",Dallas,2/2/2026,7/17/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF EXISTING MED AND NOURISH ROOMS ON THE 2ND, 3RD, AND 4TH FLOORS.",925 ft 2,Baylor Scott and White,"301 N. Washington, Dallas, Texas 75246",(214) 820-8521,Bryan Wietrzykowski,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011722,,,
MCD HS Cath,TABS2026011717,Medical City of Dallas Heart and Spine,"11990 NORTH CENTRAL EXPRESSWAY, Dallas, TX 75230",Dallas,3/6/2026,8/31/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project consists of first-generation shell finish out of space at the Medical City Dallas Heart and Spine hospital at 11970 North Central Expressway, Dallas, Texas 75230.","1,100 ft 2",Columbia Hospital Medical City Dallas,"PO BOX 80610, Indianapolis, Indiana 46280",972-566-4906,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011717,Guide Architecture,"1108 Quaker St Suite 130, Dallas, Texas 75207",(214) 960-9773
QuikTrip # 853 Fryer Project,TABS2026011705,QuikTrip # 853,"1005 W Pioneer Pkwy, Grand Prairie, TX 75051",Dallas,5/31/2026,6/15/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units. Project 300sf,300 ft 2,"QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011705,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868
L V U Pilates - Fitness studio,TABS2026011698,Inception at Craig Ranch,"5701 S custer Rd. Mckinney Tx 75090 ste. 100, Mckinney, TX 75090",Dallas,2/2/2026,3/15/2027,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","nterior tenant finish out for pilates studio in suite 100. approx 2,173 sqft. Non-structureal remodel including new interior walls/rooms, flooring, paint, lighting, electric, plumbing and HVAC work ","2,173 ft 2",Jarral Ravinder,"14685 STARRY NIGHT LN FRISCO, TX 75035-376, Frisco, Texas 75035",(469) 344-6541,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011698,Blueprints Texas,"8500 N. Stemmons Fwy, Dallas, Texas 75050",(817) 791-1151
PAUSE,TABS2026011672,PAUSE,"5643 W. LOVERS LN, Dallas, TX 75209",Dallas,4/1/2026,9/1/2026,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR TENANT IMPROVEMENT OF EXISTING SPACE INCLUDING WALL, FINISHES, MECHANICAL, ELECTRICAL, AND PLUMBING","3,772 ft 2",WILLINGHAM PROPERTY COMPANY,"8525 FERNDALE RD SUITE 204, DALLAS, Texas 75238",(214) 553-0000,CAROLYN PITTMAN,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011672,SARGENTI ARCHITECTS,"461 FROM RD, PARAMUS, New Jersey 07652",(201) 701-5537
Remodel Car Wash Building to Auto Repair Shop,TABS2026011659,Proposed Auto Repair Shop,"9513 Bruton rd, Dallas, TX 75227",Dallas,3/30/2026,8/1/2026,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel existing car wash building to an auto repair shop.,"5,009 ft 2",Khaled Ali Al Refaie,"811 Darcy Dr, Mansfield, Texas 76063",(469) 735-8568,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011659,,,
Kroger #529 Remodel,TABS2026011650,Kroger 529,"4241 Capitol Ave, Dallas, TX 75024",Dallas,6/1/2026,9/4/2026,"$724,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior remodel of an existing grocery store. Interior scope of work consists of new and relocated equipment/fixtures. ,"61,026 ft 2",Kroger Texas LP,"1014 Vine St 7th Floor, Cincinnati, Ohio 45202",(469) 645-7945,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011650,Heights Venture Architects LLP,"5741 Legacy Dr., Suite 320, Plano, Texas 75024",(281) 854-6100
Stewart Law,TABS2026011630,One Arts Plaza,"1722 ROUTH STREET Suite 745, Dallas, TX 75201",Dallas,2/3/2026,8/3/2026,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Non-structural interior finish-out in an existing single floor suite. Scope includes HVAC and electrical. ,"7,816 ft 2",CW15 Land LTD,"1722 Routh Street, Dallas, Texas 75201",214.270.0942,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011630,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
"WALMART #3224-1029 GARLAND, TX - TENANT",TABS2026011615,WALMART SUPERCENTER #3224,"555 W IH 30, Garland, TX 75043",Dallas,8/2/2026,11/19/2026,"$215,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Dunkin Tenant interior remodel 204167 existing sq ft; 720 remodel sq ft,720 ft 2,WALMART STORES TEXAS LLC,"PO BOX 8050 BENTONVILLE, ARKANSAS 72712, BENTONVILLE, Arkansas 72713",(800) 876-5309,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011615,CYNTERGY,"810 S. Cincinnati Avenue, TULSA, Oklahoma 74119",918-877-6000
"WALMART #3224-1029 GARLAND, TX",TABS2026011614,WALMART SUPERCENTER #3224,"555 W IH 30, Garland, TX 75043",Dallas,8/2/2026,11/19/2026,"$3,000,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Interior and exterior remodel with expansion 204167 total existing sq ft;  7473 remodel sq ft;  5240 expansion sq ft,"12,713 ft 2",WALMART STORES TEXAS LLC,"PO BOX 8050 BENTONVILLE, ARKANSAS 72712, BENTONVILLE, Arkansas 72713",(800) 876-5309,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011614,CYNTERGY,"810 S. Cincinnati Avenue, TULSA, Oklahoma 74119",918-877-6000
8th Floor Corridor and Restrooms,TABS2026011592,5950 Sherry,"5959 Sherry Lane, Dallas, TX 75225",Dallas,2/16/2026,6/1/2026,"$299,773",Additions to Existing Building,"This project is privately funded, on private land for private use.",Tenant Improvement,"1,211 ft 2","5950 Sherry Property, LLC","5950 Sherry Lane 110, Dallas, Texas 75225",(214) 530-0253,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011592,Entos Design,"5400 LBJ FREEWAY SUITE 125, Dallas, Texas 75240",(972) 770-2222
Spec Suite 850,TABS2026011578,5950 Sherry,"5959 Sherry Lane 850, Dallas, TX 75225",Dallas,2/16/2026,6/1/2026,"$318,171",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,505 ft 2","5950 Sherry Property, LLC","5950 Sherry Lane 110, Dallas, Texas 75225",(214) 530-0253,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011578,Entos Design,"5400 LBJ FREEWAY SUITE 125, Dallas, Texas 75240",(972) 770-2222
UT SOUTHWESTERN RADIATION ONCOLOGY CT -1 REPLACEMENT,TABS2026011575,UT SOUTHWESTERN MEDICAL CENTER - RADIATION ONCOLOGY,"2280 Inwood Rd, Dallas, TX 75235, Dallas, TX 75235",Dallas,1/5/2026,2/23/2026,"$9,937,150",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION OF EXISTING 1ST FLOOR CT ROOM. EQUIPMENT WILL BE REPLACED IN SAME LOCATION LIKE FOR LIKE. EXISTING FINISHES WILL BE TOUCHED UP AS NECESSARY. ,608 ft 2,SODEXO SERVICES OF TEXAS LTD,"2280 INWOOD RD DALLAS, Dallas, Texas 75235",(214) 645-3716,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011575,Imangine Unlimited,"9155 Sterling #120 Irving,, Dallas, Texas 75063",817-808-2617
ONDA,TABS2026011572,5950 Sherry,"5959 Sherry Lane 800, Dallas, TX 75225",Dallas,2/16/2026,6/1/2026,"$793,429",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"9,583 ft 2","5950 Sherry Property, LLC","5950 Sherry Lane 110, Dallas, Texas 75225",(214) 530-0253,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011572,Entos Design,"5400 LBJ FREEWAY SUITE 125, Dallas, Texas 75240",(972) 770-2222
Midway - Suite 218 Remodel,TABS2026011571,Midway Business Park,"16160 Midway Rd Suite 218, Addison, TX 75001",Dallas,2/1/2026,3/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of an existing commercial tenant suite to subdivide the space into two independent tenant suites, including the design and construction of a new demising wall and associated architectural modifications","9,026 ft 2",Midway Business Park LLC,"4629 Macro, San Antonio, Texas 78218",(210) 394-8466,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011571,Atory,"6405 Nutwood Cir, Dallas, Texas 75252",(214) 326-9589
1460 N Glenville dr,TABS2026011564,TeraHop,"1460 N Glenville dr, Richardson, TX 75081",Dallas,3/1/2026,7/1/2026,"$2,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant improvement for clean room and office,"120,000 ft 2",TERAHOP PHOTONICS,"2307 BERING DR, SAN JOSE, California 95131",(408) 623-5072,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011564,,,
Premier Aesthetics Dallas,TABS2026011545,MacArthur Vista Center,"670 N MacArthur Blvd. Suite 160, Coppell, TX 75019",Dallas,2/16/2026,6/15/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Exterior and Interior restoration and renovation of existing office.,"4,873 ft 2","MACARTHUR 670, LLC","10523 Steinbeck Lane, Irving, Texas 75063",(650) 274-7434,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011545,Daniels & Lovelady Architecture,"669 Airport Freeway Suite 101, Hurst, Texas 76053",(817) 510-6730
SS 366 (CSJ: 0196-07-034),TABS2026011535,CSJ: 0196-07-034,"From: W. of Akard Street To: St. Paul Street, Dallas, TX 75201",Dallas,8/3/2026,8/3/2028,"$100,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Extension of existing Klyde Warren Park Deck Plaza (Structure Only).,"3,987 ft 2",Woodall Rodgers Park Foundation,"909 Woodall Rodgers Fwy, Ste 403, Dallas, Texas 75201",(214) 716-4500,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011535,"Jacobs Engineering Group, Inc","1999 Bryan Street, Suite 3500, Dallas, Texas 75201",(214) 638-0145
F&F Japanese Grill,TABS2026011534,F&F Japanese Grill,"2654 N. Belt Line Rd 2654 N. Belt Line Rd, Irving, TX 75062",Dallas,3/10/2026,6/10/2026,"$280,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Remodeling By Tenant,"1,857 ft 2",Philip Kim,"2654 N Belt Line Rd, Irving, Texas 75062",(337) 308-6258,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011534,,,
Ross #2817 Richardson TX,TABS2026011524,Ross Dress For Less,"1332 S. Plano Road, Suite 200, Richardson, TX 75081",Dallas,6/15/2026,11/15/2026,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Ross TI Work,"25,417 ft 2",TBP Buckingham LLC,"PO BOX 20555, New York, New York 10011",(646) 688-3010,Kevin Costa,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011524,CASCO Diversified Corporation,"12 Sunnen Dr Ste. 100, St. Louis, Missouri 63143",(314) 821-1100
Eleven Western Builders TI,TABS2026011515,Hillcrest Oaks,"6600 Lyndon Baines Johnson Freeway, Suite 275, Dallas, TX 75240",Dallas,2/23/2026,4/1/2026,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior only tenant improvement 2,964 SF for existing suite 275. Includes construction of non-load bearing walls for new offices and storage/copy rooms, ceiling tiles and lighting.","2,964 ft 2",PSC Hillcrest LLC,"15 Walker Avenue, #200, Baltimore, Maryland 21208",443-940-0793,Jennifer Gosselin,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011515,Hillside Architecture,"345 W Bobwhite Ct Suite 150, Boise, Idaho 83706",2-06--949-9614
Alfaro Garage,TABS2026011508,Alfaro Garage,"2028 Airport St., Grand Prairie, TX 75050",Dallas,4/1/2026,4/1/2027,"$800,000",New Construction,"This project is privately funded, on private land for private use.","Construct a new 5,886 sf automotive garage on a vacant lot. The garage shall have 4 working bays, 1 office, 1 ADA restroom, and a new parking lot. ","5,886 ft 2",Juan C Alfaro,"18013 Saddlehorn Lane, Mansfield, Texas 76060",(469) 556-5003,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011508,Architecture Underground Inc.,"6406 Redstone Drive, Arlington, Texas 76001",(817) 965-0763
"BSW BUMC (Dallas, TX) - LDR Waiting Renovation",TABS2026011489,Baylor University Medical Center,"3535 Worth St, Dallas, TX 75246",Dallas,2/1/2026,8/1/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation of shell space into healthcare occupancy (waiting room),850 ft 2,Baylor University Medical Center,"2001 Bryan St, STE 2200, Dallas, Texas 75201",(214) 820-8521,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011489,"HDR Architecture, I","8750 N Central Expressway, Suite 100, Dallas, Texas 75231",(972) 960-4081
SIGNET CORPORATE OFFICE,TABS2026011486,SIGNET CORPORATE OFFICE,"9797 ROMBAUER ROAD 2ND FLOOR, Coppell, TX 75019",Dallas,5/2/2026,6/2/2026,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of existing Signet office — 1st floor (3,371 sq ft) and 2nd floor (8,300  sqft). Create new office spaces, conferemnce room and update cubical spaces. New partition walls, finishes and fixtures.","11,671 ft 2",CWO6 LAND LTD,"1722 ROUTH ST STE 770, Dallas, Texas 75201",214-270-1000,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011486,JENCEN ARCHITECTURAL LLC.,"2850 EUCLID AVE, Cleveland, Ohio 44115",216-781-0131
Lifted Trucks- Garland-Photobooth,TABS2026011476,Lifted Trucks,"11675 Lyndon B Johnson Fwy, Garland, TX 75041",Dallas,3/1/2026,6/1/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project is submitted for a Tenant Improvement for a vehicle sales showroom. Scope of work includes minor mechanical, plumbing and electrical work with main changes to millwork and finishes to follow the brand standards of Lifted Trucks","9,797 ft 2","CARS-DB10, L.P.","8484 WESTPARK DRIVE, SUITE 200, McClean, Virginia 22102",(703) 776-9794,Lifted Trucks LLC,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011476,Type- X Design Studio,"1641 W Mountain View Dr., Mesa, Arizona 85201",520-891-4207
SMU Dedman Center for Lifetime Sports Renovation,TABS2026011466,Dedman Center or Lifetime Sports,"6000 Bush Ave, University Park, TX 75205",Dallas,3/1/2027,8/30/2028,"$15,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","56,000 sf interior renovation of fitness areas with spin studios, weight lifting, showers, locker rooms, yoga studio, and mechanical equipment","56,000 ft 2",Southern Methodist University,"6115 North Central Expressway, Suite 808, Dallas, Texas 75206",(214) 768-6721,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011466,"SmithGroup, Inc.","3333 Welborn Street, Suite 100, Dallas, Texas 75219",214-559-4851
DISD - West Dallas STEM School - Resource Center,TABS2026011463,West Dallas STEM School,"2200 Dennison Street, Dallas, TX 75212",Dallas,4/1/2026,9/1/2026,"$600,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Minor changes throughout and the addition of a demonstration table kitchen in the existing building.,"5,787 ft 2",Dallas ISD,"9400 North Central Expy. Suite 1520, Dallas, Texas 75231",(972) 925-7303,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011463,"PBK Architects, Inc.","14001 North Dallas Parkway Suite 400, Chicago, Illinois 75240",(972) 233-1323
