project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Osler Dr Suite 125,TABS2024011705,Osler Drive,"2801 Osler Drive Suite 125, Grand Prairie, TX 75051",Dallas,3/5/2024,7/1/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish-out,"1,326 ft 2","Wells Asset Management, Inc.","4139 Centurion Way Suite 500, Addison, Texas 75001",(972) 458-2588,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011705,ADG Architecture,"1551 Oakmont Drive, Allen, Texas 75002",(972) 672-5150,
RIM Logistics,TABS2024011698,RIM Logistics,"3550 N. HWY 161, Grand Prairie, TX 75050",Dallas,3/25/2024,4/29/2024,"$465,505",Renovation/Alteration,"This project is privately funded, on private land for private use.",install high-pile pallet rack,"74,500 ft 2",RIM Logistics,"920 Minters Chapel Road Suite 300, Grapevine, Texas 76051",(817) 310-8740,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011698,,,,
THD Perot Canopy,TABS2024011683,Texas Health Dallas,"8200 Walnut Hill Lane, Dallas, TX 75231",Dallas,5/25/2024,10/31/2024,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Replace existing canopy, add new elevator in parking garage","3,500 ft 2",Texas Health Resources,"612 E. Lamar Blvd., Arlington, Texas 76011",(214) 345-6210,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011683,HKS Inc.,"350 N. St. Paul St. Suite 100, Dallas, Texas 75201",(215) 969-5599,
"MCDONALD'S N SHILOH & ARAPAHO - GARLAND, TX",TABS2024011669,"MCDONALD'S N SHILOH & ARAPAHO - GARLAND, TX","NEAR CORNER OF N SHILOH RD & ARAPAHO, Garland, TX 75044",Dallas,5/1/2024,10/31/2024,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New Construction McDonald's,"3,850 ft 2",MCDONALD'S USA LLC,"110 N. CARPENTER STREET, CHICAGO, Illinois 60607",(281) 352-5388,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011669,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD SUITE 200, FORT WORTH, Texas 76116",(817) 705-3387,
Building C1 Storefront Improvements,TABS2024011666,Toyota Music Factory,"340 W Las Colinas, C1-100, C1-110, C1-120, Irving, TX 75039",Dallas,3/25/2024,11/1/2024,"$1,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Remodeling multiple restaurant tenant storefronts and patios. Combined 5,000sf","5,000 ft 2",City of Irving,"PO Box 152288, Irving, Texas 75015",(972) 721-2353,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011666,"Design & Construction Integration, LLC","1 Information Way, Ste. 300, Little Rock, Arkansas 72202",(501) 376-0017,Kevin Lillis
"811 S Hampton Rd, Phase 2",TABS2024011664,Extra Space Storage,"811 S Hampton, De Soto, TX 75115",Dallas,6/1/2024,6/1/2025,"$3,300,000",New Construction,"This project is privately funded, on private land for private use.","Three (3) new, 1-story, S-1 (Moderate Hazard Storage) self-storage buildings; two (2) climate-controlled and one (1) non-climate controlled; all sprinkled of Type 2B construction. Totaling 30,094 GSF.","30,094 ft 2",Extra Space Storage 2,"2795 E Cottonwood Pkwy, Suite #400,, Salt Lake City, Utah 84121",(480) 256-5263,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011664,SGW Architecture & Design,"444 N Michigan Ave, Suite 1850, Chicago, Illinois 60611",(312) 988-7412,
Sylvia Mendez CREW Leadership Academy,TABS2024011602,Dallas Independant School District,"1515 N. Jim Miller Road, Dallas, TX 75217",Dallas,7/8/2025,5/8/2026,"$2,900,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Architectural scope is the renovation of  26,884sf that includes a new detached entry canopy, new digital marquee signage, new typ. millwork in all classrooms, new ADA ramp to bldg. entrance, new fire alarm sys. and new sec. cameras.","26,884 ft 2",Dallas ISD,"9400 North Central Expressway, Dallas, Texas 75231",(972) 925-7244,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011602,"McAfee3 Architecture, Inc","9535 Forest Lane, Suite 213, Dallas, Texas 75243",469-903-6444,
Henry B Gonzalez Personalized Learning Academy,TABS2024011599,Dallas Independant School District,"6610 Lake June Road, Dallas, TX 75217",Dallas,7/8/2025,4/8/2026,"$629,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Architectural scope includes a new secured visitors vestibule approx. 115sf and new digital marquee signage. MEP includes ext. lighting & controls, power at the vestibule, security cameras & replacement of the fire alarm system.",115 ft 2,Dallas ISD,"9400 North Central Expressway, Dallas, Texas 75231",(972) 925-7244,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011599,"McAfee3 Architecture, Inc","9535 Forest Lane, Suite 213, Dallas, Texas 75243",469-903-6444,
7th Floor Corridor,TABS2024011591,Cypress Waters,"2999 Olympus Dr., Dallas, TX 75219",Dallas,3/6/2024,5/8/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of corridor in existing shell building space. ,"1,826 ft 2",CW13 Land LTD,"1722 Routh Street, Suite 770, Dallas, Texas 75201",(214) 270-0942,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011591,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,
Basement Renovation at Irving Arts Center,TABS2024011590,Irving Arts Center,"3333 N. MacArthur Blvd, Ste 300,, Irving, TX 75062",Dallas,6/1/2024,8/31/2024,"$1,087,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of approximately 6200 sq-ft Basement and dressing room areas in order to modernize the amenities and bring the area up to current code requirements.,"6,200 ft 2",City of Irving,"3333 N. MacArthur Blvd, Ste 300, Irving, Texas 75062",(972) 252-7558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011590,KOMATSU Architecture,"3880 Hulen St Ste 300, Fort Worth, Texas 76107",(817) 332-1914,
American Bank - Dallas Branch Exterior Remodel,TABS2024011586,American Bank - Dallas Branch Exterior Remodel,"2707 West Northwest Highway, Dallas, TX 75220",Dallas,4/1/2024,8/1/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Exterior renovation - Non occupiable space with no addition to interior square footage ,170 ft 2,"American Bank, NA","1785 State Highway 26, Suite #400, Grapevine, Texas 76051",(214) 491-8095,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011586,MG Architects,"14333 Grisby Rd, Houston, Texas 77079",(713) 552-0707,
Vance Street Capital,TABS2024011582,Douglas,"8235 Douglas Avenue Suite 1325, Dallas, TX 75225",Dallas,3/1/2024,5/15/2024,"$240,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing office space in high-rise office building.,"2,148 ft 2",GRANITE,"5601 GRANITE PARKWAY SUITE 1200, Plano, Texas 75024",214.679.3119,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011582,Go Studio,"1201 Main St Suite 1370, Dallas, Texas 75202",(214) 420-4646,VANCE STREET CAPITAL - JOHN LEROSEN
Dallas Associated Dermatology,TABS2024011555,Landry Tower,"411 N Washington Suite 4000, Dallas, TX 75246",Dallas,3/1/2024,6/30/2024,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to existing tenant suite for new tenant occupancy,"7,300 ft 2","Healthcare Realty Services, LLC","3900 Junius Street Suite 640, Dallas, Texas 75246",(469) 617-0657,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011555,Schwabauer Design,"1600 N Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,
DISCOUNT TIRE #1281,TABS2024011551,Discount Tire,"3524 Inwood Rd, Dallas, TX 75209",Dallas,7/1/2024,10/9/2024,"$497,500",Renovation/Alteration,"This project is privately funded, on private land for private use.","REMODEL OF DISCOUNT TIRE STORE. UPDATE SALES AREA AND FINISHES. APPROX. 1,357 SQ FT REMODEL AREA","1,357 ft 2",DISCOUNT TIRE CO OF TX INC,"20225 N SCOTTSDALE ROAD, SCOTTSDALE, Arizona 85255",480-909-6811,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011551,DESIGN FORUM,"2056 BYERS ROAD, MIAMISBURG, Ohio 45342",844-804-7700,
HARBOR FREIGHT TOOLS - TENANT IMPROVEMENT,TABS2024011539,HARBOR FREIGHT TOOLS - DALLAS,"2223 BUCKNER BLVD, Dallas, TX 75227",Dallas,5/13/2024,7/30/2024,"$1,450,586",Renovation/Alteration,"This project is privately funded, on private land for private use.","INT BUILD OUT OF AN EXISTING SPACE. INT ALT CONSTRUCTION OF NEW VESTIBULE, OFFICES, BREAK ROOM, EGRESS CORRIDOR AND RESTROOMS. EXT PARTIAL SIDEWALK REPLACEMENT WITH NEW ACCESSIBLE RAMPS, NEW BI-PARTING DOOR, NEW SALES AREA HOLLOW METAL EGRESS DOOR, ","15,010 ft 2",ELAINE KHAN,"120 E FM 544 STE 72-544, MURPHY, Texas 75094",(469) 732-8132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011539,ADA ARCHITECTS,"17710 DETROIT AVE, LAKEWOOD, Ohio 44107",216-521-5134,KYLE NIX
"Wendy's - Desoto, TX",TABS2024011529,Wendy's,"TBD Parkerville Road, Desoto, TX 75115",Dallas,4/1/2024,7/31/2024,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a 2,490 sq ft Wendy's. ","2,490 ft 2",916 Foods,"500 N Akard, Suite 2550, Dallas, Texas 75201",(214) 673-8551,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011529,Franz Architects,"4055 International Plaza, Suite 100, Fort Worth, Texas 76109",(817) 737-9922,
Garland 10 Renovation,TABS2024011528,Garland Fire Station 10,"1555 Provence Blvd, Garland, TX 75044",Dallas,9/1/2024,1/1/2025,"$700,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovating Sleeping Quarters,"1,360 ft 2",City of Garland,"200 North 5th Street, Garland, Texas 75040",(972) 205-2889,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011528,,,,
Garland 9 Renovation,TABS2024011525,Garland Fire Station 9,"4320 O Banion Rd, Garland, TX 75043",Dallas,9/1/2024,1/1/2025,"$700,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovating Sleeping Quarters,"2,619 ft 2",City of Garland,"200 North 5th Street, Garland, Texas 75040",(972) 205-2889,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011525,,,,
Garland 4 Renovation,TABS2024011523,Garland Fire Station 4,"4931 Gatewood Rd, Garland, TX 75043",Dallas,9/1/2024,1/1/2025,"$700,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovating Sleeping Quarters,"1,361 ft 2",City of Garland,"200 North 5th street, Garland, Texas 75040",(972) 205-2889,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011523,,,,
Ravi Mehta,TABS2024011521,Ravi Mehta,"1214 & 1302 W. Miller Rd., Garland, TX 75041",Dallas,5/21/2024,3/25/2025,"$463,100",New Construction,"This project is privately funded, on private land for private use.",Multi-Family Apartments with a standalone Clubhouse,"4,631 ft 2",Ravi Mehta,"125 E. John Carpenter Freeway, Irving, Texas 75062",(817) 307-9251,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011521,"Cross Architects, PLLC","879 Junction Drive, Allen, Texas 75013",(972) 398-6644,
Pecan Tree,TABS2024011495,Lakewood Tower,"6301 Gaston Ave. Suite 750, Dallas, TX 75214",Dallas,2/13/2024,9/13/2024,"$443,100",Renovation/Alteration,"This project is privately funded, on private land for private use.",a non-structural interior finish-out in an existing single floor suite.,"4,431 ft 2",August Real Estate,"4153 Commerce St., Dallas, Texas 75226",(440) 539-0632,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011495,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,
Omni Vision Dallas - Hotel to Apartments Conversion,TABS2024011464,Vision Apartments,"7800 Alpha Rd, Dallas, TX 75240",Dallas,4/1/2024,4/1/2025,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Add kitchens to each room (5,112sf) and partially renovate a few rooms (1,236sf), convert/renovate 1st floor to building amenities (32,493sf).  Total SF = 38,841","38,841 ft 2",Omni Vision Dallas LLC,"9420 Wilshire Blvd, Ste. 400, Beverly Hills, California 90212",(424) 284-4914,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011464,LA+D,"10400 State Route 662 West, Newburgh, Indiana 47630",(812) 890-2237,
Gateway South - Spec Office,TABS2024011463,Gateway South,"5320 W. Airport Fwy, Irving, TX 75062",Dallas,3/1/2024,8/15/2024,"$450,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a 3000 SF spec office suite in a recently complete warehouse facility,"3,000 ft 2","Global Mail Inc., d/b/a DHL eCommerce","1210 South Pine Island Road, 2nd Floor, Plantation, Florida 33324",(954) 494-7091,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011463,5G Studio Industrial,"1217 Main Street, Suite 500, Dallas, Texas 75202",(214) 272-0864,
HPA Design,TABS2024011451,Heritage Two,"5001 LBJ Freeway Suite 750, Farmers Branch, TX 75244",Dallas,2/16/2024,5/16/2024,"$254,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"8,181 ft 2",LBJ Heritage,"621 SW Alder Suite 800, Portland, Oregon 97205",503-221-4040,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011451,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
STV,TABS2024011411,Galleria Tower Three,"13155 Noel Road Suite 200, Dallas, TX 75240",Dallas,2/14/2024,6/28/2024,"$407,100",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"10,120 ft 2",Piedmont Office Reality Trust,"13355 Noel Road Suite 320, Dallas, Texas 75240",(214) 939-7137,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011411,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,
SW-48COP - Coppell TX (Coppell Market Center) Tenant Improvement,TABS2024011410,Swig,"760 N Denton Tap Rd Suite 100, Coppell, TX 75019",Dallas,4/1/2024,9/24/2024,"$550,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",(TI) Tenant Improvement for a Swig Facility in an existing building provided by others. The main purpose of this facility is to prepare and serve gourmet soda drinks.,"1,805 ft 2",COPPELL STATION LLC,"11501 NORTHLAKE DR C/O PHILLIPS EDISON & COMPANY L, CINCINNATI, Ohio 45249",513-338-2748,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011410,Babcock Design,"52 Exchange Place, Salt Lake City, Virginia 84111",(801) 433-4309,Lexi Venuti
Ked's-Irving,TABS2024011401,Ked's-Irving,"825 W. Royal Ln.  Suite 120, Irving, TX 75039",Dallas,3/1/2024,4/15/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","2490 s.f.  Interior finish out/new flooring, paint & cosmetic changes.","2,490 ft 2","LCR Commercial Ventures, LLC","17776 Preston Rd.  Suite 100, Dallas, Texas 75252",(972) 322-3777,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011401,"Integrated Design and BIM Solutions, LLC","5000 Cedar Elm Dr., McKinney, Texas 75070",214-930-1216,Rupal Somaya
Hexagon Purus: Office and Production Floor Buildout,TABS2024011393,Landmark at East Meadows - Building 1,"2401 East Meadows Boulevard, Mesquite, TX 75150",Dallas,4/10/2024,8/31/2024,"$12,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Buildout/ Finish-out of existing empty concrete tilt wall spec building, to include new office area and new production floor area for Hexagon Purus to accommodate installation of lithium ion battery packs into trucks.","216,000 ft 2",Landmark Companies,"21500 Biscayne Blvd., Suite 402, Aventura, Florida 33180",(317) 809-6960,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011393,"MJDII Architects, Inc.","16479 N. Dallas Parkway, Suite 400, Addison, Texas 75001",(972) 630-6062,Ben Parker
Eastside Community Church Renovation,TABS2024011391,Eastside Community Church,"7730 Abrams Road, Dallas, TX 75231",Dallas,4/15/2024,11/1/2024,"$4,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of existing facility including worship spaces, new restrooms, offices, with a new elevator at existing building shaft enclosure.","31,850 ft 2",Eastside Community Church,"7730 Abrams Road, Dallas, Texas 75231",(214) 349-6043,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011391,,,,
Oversized Opening,TABS2024011366,Northgate 14,"3845 Grader, Garland, TX 75041",Dallas,3/11/2024,5/31/2024,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Enlarge overhead door opening in existing wall and adding ramp for opening.,560 ft 2,Prologis LP,"2021 McKinney Ave. Suite 1050, Dallas, Texas 75021",(972) 884-9210,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011366,Childress Engineering Services Inc.,"1500 N Greenville Ave. Suite 1000, Richardson, Texas 75081",(214) 451-6630,Jac Crawford
Signature Flight Services Terminal 1 Renovation,TABS2024011359,Signature Flight Services,"8001 Lemmon Avenue, Dallas, TX 75209",Dallas,3/1/2024,9/1/2024,"$1,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of approx. 11,000 s.f. New flooring, doors, elevator, bathrooms, staircase.","11,000 ft 2",Signature Flight Support,"13485 Veterans Way, Ste.500, Orlando, Florida 32827",(214) 956-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011359,Campbell & Van Dusen,"255 South Orange Ave., Ste #1240, Orlando, Florida 32801",407.930.6016,
"Wiss, Janney, Elstner Associates, Inc.",TABS2024011349,Las Colinas Corporate Center II,"6363 North State Highway 161 Suite 300, Irving, TX 75038",Dallas,2/15/2024,6/30/2024,"$1,244,707",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"12,155 ft 2",Piedmont Office Realty Trust,"13355 Noel Road Suite 320, Dallas, Texas 75240",(214) 939-7137,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011349,ENTOS,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
Spec Suite,TABS2024011340,Valwood Business Park,"1313 Valwood Suite 150, Carrollton, TX 75006",Dallas,3/1/2024,5/1/2024,"$117,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation of tenant space,"9,938 ft 2",Link Logistics Real Estate,"13727 Noel Rd. Suite 750, Dallas, Texas 75240",(469) 839-6222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011340,Optimal Space Designs LLC,"PO BOX 250893, Plano, Texas 75025",(972) 697-1536,
