project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
22nd Floor Corridor,TABS2025022629,23 Springs,"2323 Cedar Springs 22nd Floor, Dallas, TX 75201",Dallas,7/2/2025,11/1/2025,"$151,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",capital improvement,"1,621 ft 2",Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022629,
4th Floor Corridor,TABS2025022622,23 Springs,"2323 Cedar Springs 14th floor, Dallas, TX 75201",Dallas,7/2/2025,11/1/2025,"$151,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",capital improvement,"1,399 ft 2",Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022622,
SCS Retail Shell,TABS2025022606,SCS Retail Shell,"10340 Scyene Rd, Dallas, TX 75227",Dallas,9/1/2025,12/1/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",Construction of cold dark shell retail building for future tenant finish out,"7,500 ft 2",SCS Estates & Property LLC,"2520 Triangle Leaf Drive, Fort Worth, Texas 76244",(817) 891-8049,RR Consulting Engineers LLC,"2231 Christopher Ln, Euless, Texas 76040",(903) 316-0524,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022606,
SMU Ignited Monument,TABS2025022589,Southern Methodist University,"3100 McFarlin Blvd, Dallas, TX 75205",Dallas,8/1/2025,10/1/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.",New 10ft x 22ft (220sf) dedication monument,220 ft 2,Southern Methodist University,"6116 N Central Expressway Ste 808, Dallas, Texas 75206",(972) 514-2085,FBT Architects,"3500 Maple Ave, Ste 1020, Dallas, Texas 75219",469985542,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022589,
Project 08 - Egress Corridor Refresh,TABS2025022588,Federal Home Loan Bank of Dallas,"8500 Freeport Parkway South, Irving, TX 75063",Dallas,8/1/2025,9/30/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Updating finishes on a common corridor, with the expansion of one side to make it wider","1,290 ft 2",Federal Home Loan Bank of Dallas,"8500 Freeport Parkway South, Irving, Texas 75063",(844) 345-2265,MJDII Architects,"16479 Dallas Parkway Suite 400, Addison, Texas 75001",(972) 866-8600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022588,
Chalk Hill Hotel/Condo,TABS2025022569,Chalk Hill Towers,"3031 N. Harwood St., Dallas, TX 75201",Dallas,12/1/2025,12/1/2028,"$200,000,000",New Construction,"This project is privately funded, on private land for private use.","22 Level Hotel/Condo Tower, Core/Shell & Interiors (1 Lobby Level/Amenity Level/8 Levels Hotel/13 Levels Condo)","470,000 ft 2","KDP CH Investors, LP.","2601 Olive Street, Suite 1420, Dallas, Texas 75201",214.414.3810,"BOKA Powell, LLC","8080 Park Lane, Suite 800, Dallas, Texas 75231",972.701.9000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022569,
Suite 1950 White Box,TABS2025022568,2828 Harwood,"2828 N. Harwood St. Suite No: 1950, Dallas, TX 75201",Dallas,8/6/2025,10/13/2025,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"7,650 ft 2","2828 North Harwood Owner, LP","Steuart Tower 1050 1 Market Plz, San Francisco, California 94105",(415) 222-7428,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022568,
7th floor spec suite,TABS2025022564,parkway office center,"14160 dallas parkway, suite 745, Dallas, TX 75254",Dallas,7/21/2025,10/24/2025,"$109,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space ,"1,997 ft 2","parkway towers, llc","14160 north dallas parkway, dallas, Texas 75254",(432) 934-6973,interprise design,"14241 dallas parkway, suite 260, dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022564,
Chalk Hill Office Building,TABS2025022562,Chalk Hill Towers,"3131 N. Harwood St., Dallas, TX 75201",Dallas,12/1/2025,12/1/2028,"$110,000,000",New Construction,"This project is privately funded, on private land for private use.","17 Level Office Building, Core & Shell (Level 1 Lobby, 16 Levels Office)","458,000 ft 2","KDP CH Investors, LP.","2601 Olive Street, Suite 1420, Dallas, Texas 75201",214.414.3810,"BOKA Powell, LLC","8080 Park Lane, Suite 800, Dallas, Texas 75231",972.701.9000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022562,
Suite 1600 White Box,TABS2025022561,2828 Harwood,"2828 N. Harwood St. Suite No: 1600, Dallas, TX 75201",Dallas,6/30/2025,9/24/2025,"$195,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"19,788 ft 2","2828 North Harwood Owner, LP","Steuart Tower 1050 1 Market Plz, San Francisco, California 94105",(415) 222-7428,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022561,
6th Floor Speculative Suites,TABS2025022560,Parkway Office Center,"14180 Dallas Parkway, Suites 610, 612, 615, 620, Dallas, TX 75254",Dallas,7/21/2025,10/24/2025,"$515,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space,"9,233 ft 2","parkway towers, llc","14160 north dallas  parkway, dallas, Texas 75254",(432) 934-6973,interprise design,"14241 dallas parkway, suite 260, dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022560,
Eagleridge Energy Expansion,TABS2025022558,Parkside Tower,"3500 Maple Avenue Suite 1400, Dallas, TX 75219",Dallas,7/8/2025,10/31/2025,"$79,195",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/ Alteration,"2,516 ft 2",TR 3500 Maple Corp % LPC Realty Advisors I LP,"N La Salle Street, 120 Suite 2900, Chicago, Illinois 60602",(214) 526-0060,Interprise Design,"14241 Dallas Parkway Suite 260, Dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022558,
Lamberti's Ristorante,TABS2025022556,Gables Water Street,"5238 N. O'Connor Blvd #134, Irving, TX 75039",Dallas,7/11/2025,12/16/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A FIRST FINISH OUT OF THE GROUND FLOOR SUITE WITH RESTAURANT, KITCHEN AND MEZZANINE IN EXISTING MIXED-USE BUILDING TOTALLING 3351 SF.","3,351 ft 2",Water Street O'Connor LP,"2323 Victory Ave #1550, Dallas, Texas 75219",(214) 252-2638,"Stephen Zepeda Architecture, LLC","2611 Bomar Ave, Dallas, Texas 75235",(214) 528-6750,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022556,David Lameberti
Bond 2020 – ORG#059 L.V. Stockard Middle School,TABS2025022553,L.V. Stockard Middle School,"2300 S. Ravinia Drive, Dallas, TX 75211, Dallas, TX 75211",Dallas,11/3/2025,11/3/2026,"$9,654,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Install secure entry vestibule, upgrade fire alarm system, add security cameras, card readers, and door sensors. Renovate admin and clinic areas, refresh interior finishes in corridors and classrooms, and improve some amenities for accessibility.","115,230 ft 2",Dallas Independent School District (Dallas ISD),"9400 N. Central Expressway, Dallas, Texas 75231",(972) 925-3700,KAI Design,"5010 Riverside Dr. Bldg 4., Ste 250, Irving, Texas 75039",(214) 742-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022553,
"PDRE Manufacturing, LLC",TABS2025022541,The Design District,"106-110 Manufacturing St., Dallas, TX 75207",Dallas,7/28/2025,12/31/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"11,176 ft 2",QIP,"123 Manufacturing St. Suite 3700, Dallas, Texas 75207",(214) 674-1533,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022541,
SWEET HUT BAKERY & CAFE,TABS2025022535,CALI SAIGON MALL,"3212 N JUMPITER RD #STE. 112, Garland, TX 75044",Dallas,8/1/2025,12/31/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"5,900 ft 2",CALI SAIGON MALL,"3212 N JUPITER RD, GARLAND, Texas 75044",(626) 744-1645,BC STRUCTURAL ENGINEERS,"450 CENTURY PKWY #STE. 250, ALLEN, Texas 75013",(214) 991-5117,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022535,
Toca Madera Dallas,TABS2025022534,Toca Madera Dallas,"2207 Commerce Street, Dallas, TX 75201",Dallas,9/1/2025,7/15/2026,"$2,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of 16,714 square foot existing building consisting of 2 above grade floors and 1 below grade floor.","16,714 ft 2","Ghost Sign Development, LLC","400 N Ervay, Suite 150, Dallas, Texas 75201",214-499-5458,The Johnson Studio,"91 Peachtree Street NE, Suite 2400, Atlanta, Georgia 30303",678-539-4648,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022534,Jill O'Connor
AMORINO GELATO TENANT FINISH OUT,TABS2025022533,THE SHOPS AT LACANTERA,"2916 Woodside St, San Antonio, TX 75204",Dallas,8/18/2025,10/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATE AND REFINISH OF EXISTING DINING SPACE AND EXISTING UNISEX ACCESSIBLE RESTROOM, INCLUDE INSTALLING A NEW WALK-IN COOLER, AND CUSTOMER SERVICE FRONT COUNTER.",852 ft 2,LA CANTERA RETAIL LTD PRTNRSHP,"PO BOX 101042, CHICAGO, Illinois 60610",817-932-2737,Masterplan Design,"2916 Woodside St, Dallas, Texas 75204",(214) 718-9119,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022533,
Sopris Capital,TABS2025022508,Parkland Hall,"3889 Maple Ave., Suite 650, Dallas, TX 75219",Dallas,7/7/2025,10/10/2025,"$130,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing interior office space.,"4,586 ft 2",Old Parkland Unit G,"3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8269,BHA,"3141 Hood Street, Suite 420, Dallas, Texas 75219",(214) 521-8500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022508,
Pecan Grove Park,TABS2025022497,Pecan Grove Park,"3443 W. Kiest Boulevard, Dallas, TX 75233",Dallas,8/18/2025,4/17/2026,"$502,781",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Playground Renovation Including Demolition, New Playground Border, Sidewalk Paving, Playground Equipment, Playground Surfacing and Miscellaneous Items.","10,000 ft 2",City Of Dallas Park and Recreation Department,"1500 Marilla Street, 6FS, Dallas, Texas 75201",(214) 671-9089,"JBI Partners, Inc.","2121 Midway Road, Suite 300, Carrollton, Texas 75006",(214) 912-5055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022497,
Park In the Woods,TABS2025022491,Park In the Woods,"7480 W. Wheatland Road, Dallas, TX 75249",Dallas,8/18/2025,4/17/2026,"$587,437",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Playground Renovation Including Demolition, Playground Equipment, Grading and Drainage, Playground Equipment and Shade Structure over Playground","7,500 ft 2",City Of Dallas Park and Recreation Department,"1500 Marilla Street, 6FS, Dallas, Texas 75201",(214) 671-9089,"JBI Partners, Inc.","2121 Midway Road, Suite 300, Carrollton, Texas 75006",(214) 912-5055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022491,
Blue Bird Park,TABS2025022484,Blue Bird Park,"4139 W. Red Bird Lane, Dallas, TX 75237",Dallas,8/18/2025,4/17/2026,"$562,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Playground Construction Including Grading, Drainage, Sidewalk and Pedestrian Paving, Playground Equipment, Playground Surfacing, Site Furnishings, Site Lighting, Shade Structure over Playground and Miscellaneous Items.","20,000 ft 2",City Of Dallas Park and Recreation Department,"1500 Marilla Street, 6FS, Dallas, Texas 75201",(214) 671-9089,"JBI Partners, Inc.","2121 Midway Road, Suite 300, Carrollton, Texas 75006",(214) 912-5055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022484,
Bank of America - Preston & Royal,TABS2025022482,Bank of America - Preston & Royal,"10830 Preston Road, Dallas, TX 75230",Dallas,7/15/2025,12/31/2025,"$60,000",New Construction,"This project is privately funded, on private land for private use.",Adding a new Drive up ATM,300 ft 2,Bank of America,"14100 North 83rd Avenue Suite B-190, Peoria, Arizona 85381",(623) 876-2792,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",214.273.1536,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022482,Luke Lichtenberger
Quest Diagnostics,TABS2025022441,Wheatland Health Plaza,"3920 W. Wheatland Road Suite 128, Desoto, TX 75115",Dallas,8/1/2025,11/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior improvement to an existing office space, approx. 1,513 s.f. consisting of minor modifications to existing partitions, ceiling and utilities. ","1,513 ft 2",GA HC REIT II DeSoto Mob LLC,"Po Box 847, Carlsbad, California 92018",(512) 751-9997,Eric T Slazyk,"716 NW 177th Ave, Pembroke Pines, Florida 33029",(954) 552-0836,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022441,Tom Salamone
ICU Medical Racking,TABS2025022429,ICU Medical,"2901 N. Houston School Road, Lancaster, TX 75134",Dallas,8/4/2025,8/29/2025,"$542,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of high-pile racking,"604,108 ft 2",Colliers,"100 N. Field Drive, Lake Forest, Illinois 66045",(847) 384-2832,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022429,
Star Retina,TABS2025022426,Harris Parkway Medical Plaza Suite 270,"6551 Harris Parkway, Suite 270, Fort Worth, TX 75225",Dallas,7/1/2025,10/1/2025,"$385,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation,"2,838 ft 2",Michael Hershman,"P.O. Box 12670, Dallas, Texas 75225",(214) 734-6611,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022426,Dr. Courtney Crawford
3rd Floor Spec Suites,TABS2025022411,6565 MacArthur,"6565 MacArthur Suites 300, 320, 350, Irving, TX 75039",Dallas,7/2/2025,10/31/2025,"$1,248,829",Renovation/Alteration,"This project is privately funded, on private land for private use.",capital improvement,"11,262 ft 2",Piedmont Office Reality Trust,"13355 Noel Road Suite 320, Dallas, Texas 75240",(214) 939-7137,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022411,
2nd Floor Spec Suites,TABS2025022399,Interlink II,"6363 North State Highway 161 2nd Floor, Irving, TX 75038",Dallas,7/2/2025,10/31/2025,"$988,878",Renovation/Alteration,"This project is privately funded, on private land for private use.",capital improvement,"7,838 ft 2",Piedmont Office Reality Trust,"13355 Noel Road Suite 320, Dallas, Texas 75240",(214) 939-7137,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022399,
Fifth Third Bank,TABS2025022366,8333 Douglas,"8333 Douglas Suite 130, Dallas, TX 75225",Dallas,7/7/2025,11/7/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation / tenant improvement,"2,045 ft 2","Douglas Center HP, LP","8333 Douglas, Dallas, Texas 75225",(214) 369-7287,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",972-770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022366,
The Gateway at Trinity Forest Ph. 1,TABS2025022363,The Gateway at Trinity Forest Ph. 1,"2200 Dowdy Ferry Rd, Dallas, TX 75217",Dallas,1/1/2026,12/1/2027,"$100,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction of 330-unit affordable apartments. ,"393,371 ft 2","LDG The Gate at Trinity Forest, LP","545 South 3rd Street, Louisville, Kentucky 40202",(502) 638-0534,ARRIVE Architecture Group,"2344 Highway 121 Suite 100, BEDFORD, Texas 76021",(817) 514-0584,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022363,
Johnson Hardwood Dallas Renovation,TABS2025022357,Johnson Hardwood - Farmers Branch,"13920 Senlac Drive, Suite 100, Farmers Branch, TX 75234",Dallas,7/14/2025,9/1/2025,"$129,200",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovate office and warehouse: demo walls to expand showroom, paint, install new flooring and cabinets, update restrooms, and add a receiving office in the warehouse for Johnson Hardwood.","1,900 ft 2",TR LONESTAR INDUSTRIAL PORTFOLIO LLC,"801 Grand Avenue, Des Moines, Iowa 50392",(972) 381-3207,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022357,Billy Ko
2nd Floor Spec Suites,TABS2025022354,1010 Arapaho,"1010 ARAPAHO ROAD SUITES 230 AND 240, Richardson, TX 75081",Dallas,6/30/2025,12/30/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE SCOPE OF THIS PROJECT IS A NON-STRUCTURAL INTERIOR FINISH-OUT IN AN EXISTING SINGLE FLOOR SUITE. SCOPE INCLUDES HVAC, ELECTRICAL, PLUMBING.","5,058 ft 2",Transwestern,"14180 Dallas Parkway Suite 210, Dallas, Texas 75254",(972) 385-3580,idGroup,"2641 Irving Blvd., Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022354,
"PARKLAND HEALTH - DORIS NELSON, RN TRIAGE FACILITY & PHARMACY WORKROOM",TABS2025022342,Parkland Memorial Hospital,"5200 HARRY HINES BLVD, Dallas, TX 75235",Dallas,11/1/2025,4/1/2026,"$1,690,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","SELECTIVE DEMOLITION AND RENOVATION OF AREAS 'B' AND 'E': IN AREA 'B', A NEW ENCLOSED ROOM FOR A PHARMACY WORKROOM. IN AREA 'E', THE CORRIDOR WILL BE EXTENDED TO ACCOMMODATE (3) NEW TRIAGE, (2) NEW EXAM, AND (1) NEW PHLEBOTOMY STATION","3,000 ft 2",PARKLAND HEALTH,"5200 HARRY HINES BLVD, DALLAS, Texas 75235",(214) 590-9552,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022342,
St. John's Episcopal School Enclosed Pergola,TABS2025022320,St. John's Episcopal School,"848 Harter Road, Dallas, TX 75218",Dallas,8/1/2025,4/30/2026,"$950,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Building an conditioned enclosure around an existing outdoor sitting area.,"2,100 ft 2",St. John's Episcopal School,"848 Harter Road, Dallas, Texas 75218",(214) 328-9131,Kirksey Architecture,"143 Manufacturing Street, Dallas, Texas 75207",(214) 522-1100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022320,
St. John's Episcopal School Hillcrest Patio,TABS2025022317,St. John's Episcopal School,"848 Harter Road, Dallas, TX 75218",Dallas,8/1/2025,4/30/2026,"$1,200,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Addition of a Conference Room and Offices to an existing school,"1,800 ft 2",St. John's Episcopal School,"848 Harter Road, Dallas, Texas 75218",(214) 328-9131,Kirksey Architecture,"143 Manufacturing Street, Dallas, Texas 75207",(214) 522-1100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022317,
Chipotle #5579 Wynnewood TI,TABS2025022310,Chipotle Mexican Grill,"671 W. Illinois Ave, Dallas, TX 75224",Dallas,6/8/2026,10/26/2026,"$610,000",New Construction,"This project is privately funded, on private land for private use.",New tenant finish out,"2,500 ft 2",Brixmor Property Group,"3259 Preston Rd Ste 2, Frisco, Texas 75034",(214) 618-6510,Rogue Architects,"513 Main St Ste 300, Fort Worth, Texas 76102",817.529.6882,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022310,
Inwood Senior Living,TABS2025022308,3700 Inwood,"3700 Inwood Road, Dallas, TX 75209",Dallas,10/1/2025,5/31/2027,"$45,000,000",New Construction,"This project is privately funded, on private land for private use.","The project will be a Senior Living community, the program includes 138 Living Units and 24 Memory Care Units within three levels of light gauge metal framing, plus Amenity and Common areas.","298,686 ft 2",HARBERT SOUTH BAY,"4514 Cole Avenue Suite 1500, Dallas, Texas 75205",214-370-2632,"Arcadis, Inc","300 S.  Pearl Expressway Suite 650, Dallas,, Texas 75201",(972) 419-0330,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022308,
