project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Spec Suite 650,TABS2025017502,2626 Cole,"2626 Cole Avenue Suite 650, Dallas, TX 75204",Dallas,5/1/2025,7/31/2025,"$219,745",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,562 ft 2","Talon 2626 Cole, LLC","2626 Cole Avenue Suite 500, Dallas, Texas 75204",(214) 971-8776,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017502,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALLAS, Texas 75240",972-770-2222
Spec Suite 500,TABS2025017497,2626 Cole,"2626 Cole Avenue Suite 500, Dallas, TX 75204",Dallas,5/1/2025,7/31/2025,"$152,079",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"1,936 ft 2","Talon 2626 Cole, LLC","2626 Cole Avenue Suite 500, Dallas, Texas 75204",(214) 971-8776,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017497,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALLAS, Texas 75240",972-770-2222
MD Progressive Care Expansion,TABS2025017492,3500 Oak Lawn,"3500 Oak Lawn Avenue, Suite 700, Dallas, TX 75219",Dallas,4/25/2025,7/31/2025,"$464,776",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space ,"4,146 ft 2","Westdale 3500 Oak Lawn, LP","4131 North Central Expressway, Suite 840, dallas, Texas 75204",(214) 559-7230,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017492,Interprise Design,"14241 Dallas Parkway, Suite 260, Dallas, Texas 75254",(972) 385-3991
Project Mustang,TABS2025017491,Project Mustang,"6001 W. Campus Circle Dr., Irving, TX 75063",Dallas,4/17/2025,7/31/2025,"$6,250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovating office area and building to house a data center,"113,406 ft 2","Vesgro LP, c/o Lone Star Data Partners, LLC","500 W. 6th Street, Suite 1722, Fort Worth, Texas 76102",(817) 269-1863,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017491,LEO A DALY,"3232 McKinney Ave., Suite 800, Dallas, Texas 75204",(214) 526-1144
Irving ISD - Baby University North,TABS2025017488,Baby University North,"4200 Pleasant Run Rd., Irving, TX 75038",Dallas,6/2/2025,6/2/2026,"$10,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New educational facility serving students from birth thru 3 yrs old.,"15,500 ft 2",Irving Independent School District,"2621 W Airport Fwy, Irving, Texas 75062",(972) 600-5000,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017488,WRA Architects,"6000 Headquarters Dr., Plano, Texas 75024",(405) 315-0800
Texas Health Resources Ambulatory IT Service Delivery,TABS2025017479,Texas Health Dallas PB4,"8440 Walnut Hill Ln, Suites LL-10 and LL-20, Dallas, TX 75231",Dallas,5/27/2025,8/19/2025,"$199,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement,"4,170 ft 2",Texas Health Resources,"8440 Walnut Hill Ln, Suite 120, Dallas, Texas 75231",(214) 345-8728,Jim Dryden,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017479,DLR Group,"2500 Pacific Ave., Suite 1600, Dallas, Texas 75226",(214) 747-2511
RISD Greenwood Hills ES - Renovations,TABS2025017478,RISD Greenwood Elementary School,"1313 W SHORE, Richardson, TX 75080",Dallas,6/1/2025,8/1/2025,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE PROJECT INVOLVES THE RENOVATION OF CLASSROOMS TO ACCOMMODATE THE NEW ""BIZ-TOWN""  EDUCATION CURRICULUM. KEY IMPROVEMENTS INCLUDE: DEMOLITION OF PARTITIONS, INSTALLATION OF  NEW CEILINGS AND LIGHT FIXTURES, NEW DOORS, PAINT AND FLOORING.","12,142 ft 2",Richardson Independent School District,"1123 S. Greenville Avenue, Richardson, Texas 75081",469-593-0172,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017478,,,
JD Sports 1466 - MacArthur Park,TABS2025017476,JD Sports at MacArthur Park,"7505 North MacArthur Boulevard Unit 290, Irving, TX 75063",Dallas,6/16/2025,9/19/2025,"$675,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","7156 SQFT. INTERIOR TEANT IMPROVEMENT. INCLUDES ARCHITECTURAL, MECHANICAL, ELECTRICAL, AND PLUMBING IN SCOPE","7,156 ft 2",Edwns,"4801 Woodway Drive Suite 450 E, Houston, Texas 77056",(713) 860-4931,Jeff Forney,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017476,MCG ARCHITECTURE,"7100 E. PLEASANT VALLEY ROAD SUITE  320, CLEVELAND, Ohio 44131",(415) 974-6002
Lincoln HS phase 2,TABS2025017473,Lincoln High School,"2826 Elsie Faye Heggins St., Dallas, TX 75215",Dallas,5/1/2026,7/1/2027,"$16,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of Lincoln High School under Dallas ISD. Renovation scope involves alterations to the portions of the exterior and interior of the main and annex buildings.,"41,000 ft 2",Dallas Independant School District,"9400 N Central Expressway, Dallas, Texas 75231",(972) 925-7244,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017473,Corgan Associates,"401 N Houston St, Dallas, Texas 75202",(214) 757-1859
Slyde's Car Wash,TABS2025017472,Slyde's Car Wash,"2300 W Ledbetter Dr., Dallas, TX 75224",Dallas,5/1/2025,5/1/2026,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.",A new car wash facility,"8,228 ft 2",BYM Investments LLC,"6105, Parker, Texas 75002",(972) 697-8788,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017472,A Plus Design Group,"2653 Sagebrush Dr. #200, Flower Mound, Texas 75028",972-724-4440
Frito Lay Tenant Improvement,TABS2025017441,Mountain Creek Building 3,"3636 Mountain Creek Pkwy, Dallas, TX 75236",Dallas,4/30/2025,6/30/2025,"$430,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",THE ADDITION OF ROOMS WITHIN AN EXISTING 5969 SF OFFICE SPACE AND ADDING A 411 SF DRIVER CHECK IN AREA  TO PREVIOUSLY PERMITTED SHELL WAREHOUSE BUILDING. THE TENANT FOR THE OFFICE IS FRITO LAY. ,"6,380 ft 2",Prologis,"2021 McKinney Ave Suite 1050, Dallas, Texas 75201",(972) 884-9200,Frito Lay,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017441,,,
Blue Fire Commissary Kitchen,TABS2025017440,Blue Fire Commissary Kitchen,"4748 Algiers St., Suite 100, Dallas, TX 75207",Dallas,6/1/2025,12/31/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement in an existing shell building to accommodate a commercial commissary kitchen, staff offices and support spaces.","8,638 ft 2","Blue Fire Catering, llc","12700 Hillcrest Rd, Suite 274, Dallas, Texas 75230",(214) 282-6714,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017440,,,
North Garland Commons #2,TABS2025017438,North Garland Commons,"5710 N. Garland Avenue, Garland, TX 75043",Dallas,5/1/2025,5/1/2026,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.","New construction of 12,190sf retail shell building, monument sign, dumpster enclosure, pedestrian circulation surfaces, vehicle circulation surfaces, and other site improvements.","12,190 ft 2",North Garland Investment,"22 Lochleven, Richardson, Texas 75082",(214) 649-7980,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017438,Telamon Design LLC,"5418 Victor Street, Dallas, Texas 75214",(469) 867-6040
Jersey Mike's Carrollton,TABS2025017434,Josey Ranch Shopping Centre,"2150 N Josey Lane unit 122, Carrollton, TX 75006",Dallas,6/24/2025,7/24/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant finish out of a new retail shell strip centre space into a New Jersey Mike’s Subs restaurant with new kitchen equipment, interior walls, mechanical, electrical & plumbing work & finishes.","1,417 ft 2",TSCA-229 Limited Partnership,"301 S Sherman St Suite 100, Richardson, Texas 75081",469-769-0888,Lee Snodgrass,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017434,AEP America,"PO Box 123655, Fort Worth, Texas 76121",(214) 702-1528
"The Capital Grille - Dallas, TX (Catwalk)",TABS2025017417,The Capital Grille,"500 Crescent Ct Suite 135, Dallas, TX 75201",Dallas,5/12/2025,5/26/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remove a drop ceiling, install a new structural ceiling, and mount the existing HVAC units on the new ceiling. We will also need to relocate some of the sprinkler heads",400 ft 2,CAPITAL GRILLE HOLDINGS INC,"1000 Darden Center Dr, Orlando, Florida 32837",(469) 931-7418,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017417,"Ronald A. Roberts Associates, Inc.","2948 N. Stemmons Freeway, Dallas, Texas 75247",(214) 637-6299
Wells Fargo Crescent Court Suite 1400,TABS2025017416,Crescent Court,"100 Crescent Court, Suite 1400, Dallas, TX 75201",Dallas,7/1/2025,9/1/2025,"$224,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of portion of existing lease space,"2,001 ft 2",GPIF TC Owner LLC,"200 Crescent Court, Suite 250, Dallas, Texas 75201",(214) 880-4515,John Lord,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017416,"SGDesign, Inc","3311 Elm Street Suite 105, Dallas, Texas 75226",469-865-1910
Alterations,TABS2025017410,Beard Integrated Systems,"1501 Kings Road, Garland, TX 75042",Dallas,5/12/2025,11/10/2025,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of existing warehouse. 39,567 sf office. 140,253 sf warehouse. 39,460 sf fabrication","219,280 ft 2",FIVF-III-TX1 LLC,"111 River Street Suite 1010, Hoboken, New Jersey 07030",(469) 532-0901,Stuart Self,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017410,Richard Wright Architects,"6154 Vanderbilt Avenue, Dallas, Texas 75214",214-505-5262
Rodeo Bar Dallas,TABS2025017406,Rodeo Bar at The Adolphus,"1321 Commerce St, Dallas, TX 75202",Dallas,6/2/2025,7/31/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of an existing restaurant space located in the Adolphus Hotel. Majority of scope of work is comprised of 'Front of House'. New bar with equipment, finishes, fixtures and furnishings. Guestrooms, restaurant, meeting spaces and fitness center a","3,811 ft 2",Rockbridge Capital,"4124 Worth Ave, Columbus, Ohio 43219",(614) 246-2400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017406,Design Collective,"151 E Nationwide Blvd, Columbus, Ohio 43215",(614) 464-2880
REAP Capital,TABS2025017402,Tower at Park Central 8,"12770 Merit Drive Suite 850, Dallas, TX 75251",Dallas,5/5/2025,8/1/2025,"$330,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,241 ft 2","MCM PARK CENTRAL DALLAS II, LLC","12770 MERIT DRIVE SUITE 330, DALLAS, Texas 75251",(301) 542-2064,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017402,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALAS, Texas 75240",972-770-2222
Parkland Hall Corridor,TABS2025017397,Parkland Hall,"3889 Maple Ave., 6th Floor, Dallas, TX 75219",Dallas,6/1/2025,9/1/2025,"$141,606",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing office space to provide new multi-tenant corridor.,"8,483 ft 2",Old Parkland Unit G,"3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8269,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017397,BHA,"3141 Hood Street, Suite 420, Dallas, Texas 75219",(214) 521-8500
TTHSC Classroom 450 & Storage,TABS2025017395,Texas Tech Health Sciences Center - Dallas Campus Classroom 450 & Storage,"5920 Forest Park Rd, Dallas, TX 75235",Dallas,4/24/2025,8/31/2025,"$100,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of a classroom on the 4th floor and five storage rooms,"4,274 ft 2",Texas Tech University Health Sciences Center,"3601 4th Street Stop 9088 System Administration Building, Lubbock, Texas 79430",(806) 743-9127,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017395,"Page Southerland Page, Inc.","1800 Main Street, Suite 123, Dallas, Texas 75201",(214) 522-3900
DSW-Designer Shoe Warehouse,TABS2025017393,Mesquite Center,"1515 N. Town East Blvd., Suite 117, Mesquite, TX 75150",Dallas,7/7/2025,10/9/2025,"$325,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","12,143 SqFt tenant improvement of an existing mercantile space to new mercantile space including demolition of existing and construction of new including restrooms, lounge, office, receiving and sales area. New plumbing, HVAC, electrical, sprinkler","12,143 ft 2",Market East Associates LLC,"4500 Bissonnet Street, Suite 200, Belaire, TX, Texas 77401",(713) 693-1494,"Jennifer Gibson, DSW",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017393,"Wellogy, LLC","6767 Longshore St, Suite 540, Dublin, Ohio 43017",(614) 785-0505
Walmart Spark Shop Dallas,TABS2025017392,Walmart #7634-1000,"13739 N Central Expy, Dallas, TX 75243",Dallas,5/20/2025,7/1/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Add sales gondolas, refrigerated cases & self checkouts to sales floor","11,703 ft 2",Walmart Real Estate,"2608 SE J Street, Bentonville, Arkansas 72716",(918) 740-3269,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017392,"BRR Architecture, Inc.","8131 Metcalf Avenue, Suite 300, Overland Park, Kansas 66204",(913) 236-3342
3rd Floor Spec Suites,TABS2025017391,Maple Terrace,"3001 Maple Avenue Suites 310, 320 and 330, Dallas, TX 75201",Dallas,5/10/2025,9/30/2025,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,395 ft 2",3001 Maple LP,"2700 Commerce Street Suite 1600, Dallas, Texas 75226",(903) 268-1010,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017391,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Explore Capital,TABS2025017384,Maple Terrace,"3001 Maple Avenue Suite 305, Dallas, TX 75201",Dallas,5/10/2025,9/30/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,823 ft 2,3001 Maple LP,"2700 Commerce Street Suite 1600, Dallas, Texas 75226",(903) 268-1010,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017384,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
The Related Companies,TABS2025017379,Maple Terrace,"3001 Maple Avenue Suite 800, Dallas, TX 75201",Dallas,5/10/2025,9/30/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,222 ft 2",3001 Maple LP,"2700 Commerce Street Suite 1600, Dallas, Texas 75226",(903) 268-1010,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017379,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Hugs Cafe - Meadows Foundation,TABS2025017368,Meadows Foundation,"2918 Live Oak St., Dallas, TX 75204",Dallas,6/1/2025,9/15/2025,"$550,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovations to existing one story building for use as Hugs Cafe,"3,053 ft 2",Meadows Foundation Inc.,"3003 Swiss Ave, Dallas, Texas 75204",(214) 826-9431,Eric Weinhagen,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017368,MSC Design LLC,"10935 Estate Lane Ste 300, Dallas, Texas 75238",469 855 3800
Geico Phase 1,TABS2025017350,Galatyn Commons,"2375 N. Glenville Drive, Richardson, TX 75082",Dallas,5/1/2025,7/11/2025,"$2,890,400",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to existing business occupancy,"90,454 ft 2",Ben Goodsir,"5 Bryant Park 28th Floor, New York, New York 10019",(917) 714-8780,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017350,Entos Design,"5400 LBJ Freeway, Dallas, Texas 75240",(972) 770-2222
KC Construction Spec Office,TABS2025017344,KC Construction,"2001 McKinzie Drive, Carrollton, TX 75006",Dallas,6/1/2025,9/1/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish out for Spec Office Building,"2,750 ft 2","KC Construction Services, Inc.","2221 MANANA DRIVE #110, DALLAS, Texas 75220",(972) 759-1400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017344,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400
Foundry Commercial - Gateway Commerce - Building 2,TABS2025017336,Gateway Commerce - Building 2,"Commerce Drive and Gateway Drive, Las Colinas, TX 75063",Dallas,1/5/2026,12/25/2026,"$4,421,825",New Construction,"This project is privately funded, on private land for private use.","New speculative 102,242 SF distribution facility.","102,242 ft 2","SDCO Gateway Commerce I & II, Inc.","420 S, Orange Avenue, Suite 400, Orlando, Florida 32801",(214) 601-2009,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017336,GSR Andrade Architects,"2001 North Lamar Street, Suite #400, Dallas, Texas 75202",(214) 824-7040
Foundry Commercial - Gateway Commerce - Building 1,TABS2025017334,Gateway Commerce - Building 1,"Shorthorn Drive and Gateway Drive, Las Colinas, TX 75063",Dallas,1/5/2026,12/25/2026,"$4,086,573",New Construction,"This project is privately funded, on private land for private use.","New speculative 82,036 SF distribution facility.","82,036 ft 2","SDCO Gateway Commerce I & II, Inc.","420 S, Orange Avenue, Suite 400, Orlando, Florida 32801",(214) 601-2009,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017334,GSR Andrade Architects,"2001 North Lamar Street, Suite #400, Dallas, Texas 75202",(214) 824-7040
M2G Oakdale Industrial Park - Building 2,TABS2025017302,M2G Oakdale Industrial - Building 2,"1440 W. Oakdale Rd, Grand Prairie, TX 75050",Dallas,8/11/2025,6/26/2026,"$7,250,000",New Construction,"This project is privately funded, on private land for private use.","78,230 SF Shell Warehouse","78,230 ft 2",M2G 2901 Oakdale LP,"710 Main St Ste. 200, Fort Worth, Texas 76104",(817) 600-5809,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017302,GMA Architects,"7930 Clayton Road 3rd Floor, Richmond Heights, Missouri 63117",(314) 265-1148
M2G Oakdale Industrial Park - Building 1,TABS2025017300,M2G Oakdale Industrial - Building 1,"1430 W. Oakdale Rd, Grand Prairie, TX 75050",Dallas,8/11/2025,6/26/2026,"$5,750,000",New Construction,"This project is privately funded, on private land for private use.","61,375 SF Shell Warehouse","61,375 ft 2",M2G 2901 Oakdale LP,"710 Main St Ste. 200, Fort Worth, Texas 76104",(817) 600-5809,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017300,GMA Architects,"7930 Clayton Road 3rd Floor, Richmond Heights, Missouri 63117",(314) 265-1148
PartnerComm,TABS2025017295,4311 Oak Lawn,"4311 Oak Lawn, Suite 570, Dallas, TX 75219",Dallas,5/1/2025,7/31/2025,"$85,953",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,710 ft 2",4311 Partners Ltd,"4809 Cole Avenue, Suite 347, Dallas, Texas 75205",(214) 521-9293,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017295,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
CHRISTUS SVP Remodel,TABS2025017293,CHRISTUS Headquarters,"5101 N. O'Connor Blvd., Irving, TX 75062",Dallas,6/2/2025,9/19/2025,"$6,700,000",New Construction,"This project is privately funded, on private land for private use.",Interiors Remodel,"21,517 ft 2",CHRISTUS Healthcare,"5101 N. O'Connor Blvd., Irving, Texas 75062",865.368.6769,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017293,"BOKA Powell, LLC","8080 Park Lane, Suite 800, Dallas, Texas 75231",972.701.9000
11th Floor Corr and RR,TABS2025017284,The Crescent,"200 Crescent Crout 11th Floor, Dallas, TX 75201",Dallas,4/20/2025,6/15/2025,"$329,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",CAPITAL IMPROVEMENT,"1,748 ft 2","GPIF TC Owner, LLC","200 Crescent Court Ste 250, Dallas, Texas 75201",(817) 321-1159,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017284,Entos Design,"5400 LYNDON B JOHNSON FWY 125, DALLAS, Texas 75240",(972) 770-2222
Phase 3 Storm Drain Replacement,TABS2025017282,City of University Park - Colgate Ave. & Airline Rd.,"Blocks 22 & 58 of Colgate Ave and along Airline Rd between Colgate Ave/Wentwood Dr., University Park, TX 75225",Dallas,8/1/2028,12/31/2028,"$244,760",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Paving, water, waste water, and storm drain improvement. Roughly 15,740 SF of sidewalk/ ramp improvements. New paving- sidewalk improvements only within City of University Park City limits and does not extend into City of Dallas limits","15,740 ft 2",City of University Park,"4420 Worcola St, Dallas, Texas 75206",214-987-5401,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017282,"Huitt-Zollars, Inc.","5430 Lyndon B Johnson Freeway, Suite 1500, Dallas, Texas 75240",214-871-3311
HTPN Ortho / Metabolic Weight Loss,TABS2025017280,The Pyramids,"9101 N. Central Expressway Suite 370, Dallas, TX 75231",Dallas,4/23/2025,7/31/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior medical office renovation,"1,447 ft 2","BSF1 Pyramids OpCo, LLC","4849 Greenville Ave Suite 1270, Dallas, Texas 75206",(469) 949-8296,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017280,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
