project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Digital Realty DFW37 Suite 105/205,TABS2026000646,DFW37,"1502 Ferris Road, Garland, TX 75044",Dallas,10/1/2025,10/1/2026,"$136,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","110,916 SF interior fit-out of existing 2 story facility with steel structure and tilt up concrete panel facade. Interior fit-out of suites 105 and 205 to become data hall white floor space with associated electrical, mechanical rooms for support. ","110,916 ft 2",Digital Realty,"907 Security Row, Suite 250, Richardson, Texas 75081",(214) 789-6339,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000646,,JHET Architects,"2554 Elm Street, Suite 230, Dallas, Texas 75226",(214) 628-1062
Selene Finance,TABS2026000626,3501 Olympus Blvd,"3501 Olympus Blvd Suite 500, Dallas, TX 75019",Dallas,9/10/2025,3/10/2026,"$325,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",The scope of this project is an interior finish out in an existing single floor suite.,"16,696 ft 2",Selene Finance,"PO Box 9217, Coppell, Texas 75019",(469) 356-5902,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000626,,idGroup,"2641 Irving Blvd., Dallas, Texas 75207",(214) 638-6800
Mesquite Heritage Trail Phase 2,TABS2026000610,Mesquite Heritage Trail Phase 2,"2150 Towne Centre Dr, Mesquite, TX 75150",Dallas,6/3/2024,9/30/2025,"$6,845,385",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New construction of hike and bike trail. (Paving 6647 SY, Drainage, Bridge, & Retaining Wall)","6,647 ft 2",City of Mesquite,"1515 N Galloway Ave, Mesquite, Texas 75149",972-329-8535,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000610,,"BGE, Inc","2595 Dallas Parkway, Suite 101, Frisco, Texas 75034",972-464-4822
Equinox Fitness,TABS2026000590,Equinox Park Place Inc,"4023 Oak Lawn, Dallas, TX 75219",Dallas,10/27/2025,1/26/2026,"$350,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of an existing fitness facility ,"1,953 ft 2",Equinox Park Place Inc,"1 Park Ave, New York, New York 10016",212.774.6391,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000590,,,,
6225,TABS2026000554,161 Corporate Center,"6225 N State Hwy 161, Suite 425, Irving, TX 75038",Dallas,9/15/2025,1/30/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Build-out of dentist office: demolition of a few walls within existing suite, framing, adding plumbing, updating electrical and A/C, installing new floor, ceiling tiles, walls, dental chairs...","6,917 ft 2",161 Corporate Center LLC,"801 Cherry St, sTE 1800 ., Fort Worth, Texas 76102",(817) 752-4028,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000554,Darian Kaar,,,
Longhorn Ballroom Redevelopment Project - Cornith Street,TABS2026000504,Corinth Street,"216 Cornith Street, Dallas, TX 75207",Dallas,10/1/2025,5/15/2026,"$3,900,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Paving, Drainage, Streetscape and Landscape Improvements to Corinth Street from South Riverfront Boulevard to Union Pacific Railroad.","152,075 ft 2",City of Dallas,"1500 Marilla Street, Dallas, Texas 75201",(214) 948-4638,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000504,,"DSGN Associates, Inc.","115 West Greenbriar Lane, Dallas, Texas 75208",(214) 746-2704
Renovation of Nature Trail Improvements - Cedar Valley Campus,TABS2026000498,Cedar valley Campus,"3030 North Dallas Avenue, Dallas, TX 75134",Dallas,4/15/2025,8/1/2025,"$450,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Maintenance repair to nature trail, including wood replacement. Approximately 1,590 sqft","1,590 ft 2",Dallas County Junior College District,"2121 Main Street Suite 100, Dallas, Texas 75201",(972) 761-6899,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000498,,"IN2 Architecture, Inc.","12222 Merit Drive Suite 1140, Dallas, Texas 75251",(972) 427-1222
University of Texas Southwestern Medical Center Bomar Parking Lot,TABS2026000464,Bomar Parking Lot,"2400 Bomar Ave, Dallas, TX 75235",Dallas,10/1/2025,3/1/2026,"$2,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construction of an parking lot with approximately 600 spaces at the Intersection of Bomar Avenue and Forest Park. ,"6,000 ft 2",University of Texas Southwestern Medical Center,"5323 Harry Hines Blvd, Dallas, Texas 75930",(214) 648-7127,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000464,,"HDR Architecture, Inc.","8750 North Central Expressway, Suite 100, Dallas, Texas 75231",972-960-4000
New Leaf,TABS2026000458,Waterway Tower,"433 E. Las Colinas Blvd. Suite No: 900, Irving, TX 75039",Dallas,9/8/2025,12/31/2025,"$159,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant improvement,"9,505 ft 2",Sun Life Assurance Company of Canada,"1201 Third Avenue Suite 3000, Seattle, Washington 98101",(206) 964-8862,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000458,,ENTOS Design,"5400 Lyndon B Johnson Fwy Suite 125, Dallas, Texas 75240",(972) 770-2222
Eva Airways,TABS2026000455,Waterway Tower,"433 E. Las Colinas Blvd. Suite No: 940, Irving, TX 75039",Dallas,9/8/2025,12/31/2025,"$128,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant improvement,"1,822 ft 2",Sun Life Assurance Company of Canada,"1201 Third Avenue Suite 3000, Seattle, Washington 98101",(206) 964-8862,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000455,,ENTOS Design,"5400 Lyndon B Johnson Fwy Suite 125, Dallas, Texas 75240",(972) 770-2222
