project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Stonelake Skyport Building 1,TABS2025012356,Stonelake Skyport Building 1,"850 S. Royal Ln., Coppell, TX 75019",Dallas,4/1/2025,5/1/2026,"$8,030,000",New Construction,"This project is privately funded, on private land for private use.","New Shell Warehouse Construction building of 117,608 SF that consists of slab on grade, concrete tilt-up panels, etc.","117,608 ft 2","SL7 DFW Industrial, LP","100 Crescent Court, Suite 850, Dallas, Texas 75201",214-220-7297,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012356,,Alliance Architects,"1600 N. Collins Blvd. #1000, Richardson, Texas 75080",(972) 233-0400
AG&E Structural Engenuity Expansion,TABS2025012353,Bank of America Plaza,"901 Main Street Suite 5020, Dallas, TX 75202",Dallas,2/24/2025,5/20/2025,"$89,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to an existing building.,"9,111 ft 2",Dallas Main LP,"455 N. Cityfront Plaza Dr. Suite 2400, Chicago, Illinois 60611",(312) 416-9130,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012353,,ENTOS Design,"5400 Lyndon B Johnson Suite 125, Dallas, Texas 75240",(972) 770-2222
Trinity Forest Golf Club Fitness Center,TABS2025012346,Trinity Forest Golf Club,"5000 S GREAT TRINITY FOREST WAY, Dallas, TX 75217",Dallas,4/1/2025,5/30/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Small gym addition in existing basement with a variety of types of equipment. Addition of wood panels, lighting, and floor tile in adjacent exit stairwell.","1,150 ft 2","The Company of Trinity Forest Golfers, Inc.","1601 Elm Street Suite 3110, Dallas, Texas 75201",214.302.0052,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012346,,Beck Architecture,"1601 Elm Street Suite 2800, Dallas, Texas 75201",(214) 303-6200
Sidley Austin,TABS2025012335,23 Springs,"2323 Cedar Springs Road, Dallas, TX 75201",Dallas,2/28/2025,2/28/2026,"$20,500,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish-out of 4.5 floors of a first generation space for a law firm.,"102,500 ft 2",Granite Properties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731 2308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012335,Stephen Dempsey,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",(214) 273-1500
Wilmer-Hutchins Elementary School,TABS2025012334,Wilmer-Hutchins Elementary School,"7475 J J Lemmon Rd, Dallas, TX 75241",Dallas,6/2/2025,5/15/2026,"$5,139,420",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Security Upgrades, New Fire Alarm, Exterior lighting, New Marquee sign, Grease trap replacement, Geothermal removal, New Gym Flooring, Misc. Exterior cleaning.","104,710 ft 2",Dallas Independent School District,"9400 Central Expressway, Dallas, Texas 75231",(972) 925-7303,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012334,,Alliance Architects,"1600 N Collins Blvd, Suite 1000, Richardson, Texas 75080",972-233-0400
Beverage 4 U,TABS2025012317,Beverage 4 U,"10938 Elam Rd, Balch Springs, TX 75180",Dallas,3/1/2025,7/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Extend building to take total area 8,100 s/f","8,100 ft 2",Mario Afifi,"10938 Elam Rd, Balch Spring, Texas 75180",(214) 727-8829,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012317,,UB Design and Construction,"7113 Yardley Ln, Plano, Texas 75024",(972) 802-4173
Titanium Transportation,TABS2025012306,The Summit at Las Colinas,"545 E. John Carpenter Freeway Suite 1540, Las Colinas, TX 75062",Dallas,2/24/2025,4/18/2025,"$168,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to suite 1540,"2,427 ft 2",Rosemont Summit Operating LLC,"545 E. John Carpenter Freeway Suite 1650, Las Colinas, Texas 75062",(214) 574-4450,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012306,,ENTOS DESIGN,"5400 LBJ FWY #125 Entos Design, Dallas, Texas 75240",(972) 770-2222
Northwood Club,TABS2025012299,Terrace Dining Remodel,"6524 Alpha Road, Dallas, TX 75240",Dallas,4/1/2025,12/1/2025,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel and expansion of existing ground floor dining room. Renovate existing restrooms and kitchen, add roof canopy for covered outdoor seating. Miscellaneous landscape and hardscape improvements.","7,141 ft 2",Northwood Club,"6524 Alpha Road, Dallas, Texas 75240",(972) 239-1366,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012299,,"Marsh & Associates, Inc.","15900 La Cantera Parkway Suite 19205, San Antonio, Texas 78256",210-561-8814
International Capital,TABS2025012281,Prestonwood Tower,"Prestonwood Tower, Dallas, TX 75254",Dallas,3/15/2025,5/31/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement,"1,500 ft 2","Prestonwood Tower Land, LLC","5151 Belt Line Road, Suite 650, Dallas,, Texas 75254",972-960-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012281,Rayna Small,"Thompson Consulting Services, Inc.","12024 Golden Meadow Lane, Dallas, Texas 75254",972-564-5252
SPRINGHILL SUITES BY MARRIOTT DESOTO TX,TABS2025012271,SPRINGHILL SUITES BY MARRIOTT DESOTO TX,"1324 WINTERGREEN COURT, De Soto, TX 75115",Dallas,4/10/2025,6/10/2026,"$6,500,000",New Construction,"This project is privately funded, on private land for private use.",NEW HOTEL PROJECT,"53,448 ft 2",SHIV HOSPITALITY,"2529 WATERSTONE LANE, ROCKWALL, Texas 75032",(214) 783-2637,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012271,,RSS ARCHITECTS LLC,"PO BOX 67, FLINT, Texas 75762",(817) 538-9258
MILANO NAIL SPA (PRESTON),TABS2025012267,PRESTON FOREST VILLAGE,"11661 PRESTON RD #STE. 105, Dallas, TX 75225",Dallas,6/1/2024,6/20/2024,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,500 ft 2",KIMCO,"2600 WEST 7TH, FORT WORTH, Texas 76107",(972) 638-5254,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012267,,BC STRUCTURAL ENGINEERS,"957 FALCON DR, ALLEN, Texas 77401",(214) 991-5117
"MC Siepiela Yoga For Every Body, LLC",TABS2025012258,"Pavilion on Lovers Lane, LP","5600 W. Lovers Lane, Suite 148, Dallas, TX 75209",Dallas,3/17/2025,6/13/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation - Finish-out of existing building - 1745 Square Feet,"1,745 ft 2","Pavilion on Lovers Lane, LP","7501 Inwood Road,, Dallas, Texas 75209",214 353-0221,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012258,Christina Siepiela,Jocymara Nicolau Arqyitetura,"Rua Quenos Aires, 441-St 111, email -jocymara@jonicolau.arq br, Curitiba, PR 80250-070",011 55 41 99996-124
Bird's Bookstore and Arthouse,TABS2025012253,Bird's Bookstore and Arthouse,"6025 Royal Lane suite 207, Dallas, TX 75230",Dallas,4/3/2025,10/15/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",remodel of an existing leases space ,"1,910 ft 2",Brynne Grisham,"4801 Woodway Drive, Houston, Texas 77056",(713) 860-4931,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012253,Andrew Dawson-Birds Bookstore & Arthouse,ID Studio 4,"6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288
Miller 635 Distribution Center Building 1B,TABS2025012252,Building one B,"10851 Miller Road, Dallas, TX 75238",Dallas,4/15/2025,2/28/2026,"$13,600,000",New Construction,"This project is privately funded, on private land for private use.","New construction one story speculative cold dark shell warehouse. 225,530 SF FT Single loaded warehouse with future offices ","225,530 ft 2",IDI Logistics,"2300 North Field Street #2060, Dallas, Texas 75201",972-560-7002,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012252,,Ware Malcomb,"3090 Nowitzki Way #300, Dallas, Texas 75219",281.661.4790
Miller 635 Distribution Center Building 1A,TABS2025012248,Building one A,"10851 Miller Road, Dallas, TX 75238",Dallas,3/15/2025,1/28/2026,"$11,800,000",New Construction,"This project is privately funded, on private land for private use.",New construction one story speculative cold dark shell warehouse. 182180 SF FT Single loaded warehouse with future offices,"182,180 ft 2",IDI Logistics,"2300 North Field Street #2060, Dallas, Texas 75201",972-560-7002,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012248,,Ware Malcomb,"3090 Nowitzki Way #300, Dallas, Texas 75219",281.661.4790
BP Pulse EV Charging Station - Irving,TABS2025012243,"BP Pulse - Irving, TX","4241 N. State Hwy 161, Irving, TX 75038",Dallas,4/15/2025,9/15/2025,"$1,600,000",New Construction,"This project is privately funded, on private land for private use.","APPLICANT IS PROPOSING TO TAKE THE VACANT SITE LOCATED AT 4241 N STATE HWY 161, IRVING, TX 75038 WITH AN AREA OF 7,456 S.F. OR 0.171 ACRES AND DEVELOP EV CHARGING PARKING THROUGHOUT THE SITE ","7,456 ft 2","Extra Space Properties Two, LLC","2795 E. Cottonwood Pkwy, Suite #400, Salt Lake City, Utah 84121",(801)562-5556,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012243,,"CoreStates Construction Services, Inc.","110 N 11th St, Ste 101, Tampa, Florida 33602",(813) 319-8747
Town of Addison Conference Centre Renovation,TABS2025012228,Addison Conference Centre,"15650 Addison Rd, Addison, TX 75001",Dallas,3/3/2025,10/31/2025,"$1,400,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Interior renovations of existing space to include new open office areas, meeting rooms and dedicated office spaces. Updates to the MEP systems and interior finishes.","14,500 ft 2",Town of Addison,"P.O> Box 9010, Addison, Texas 75001",(972) 450-7016,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012228,,,,
Marcelo M Campon Agency LLC,TABS2025012210,N/A,"310 W Second St, Irving, TX 75060",Dallas,3/15/2025,9/15/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.","New construction of two-story office building (approx 1,692 sf ground floor and 1,692 sf second floor, for total 3,385 sf).","3,385 ft 2","Marcelo M Campon, Kari A Campon","2637 Valleywood Dr, Grapevine, Texas 76051",(817) 480-3967,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012210,,"ECIS, Inc.","1303 W Walnut Hill Ln Suite 285, Irving, Texas 75038",214-591-3100
Select Tilt wall panel repair.,TABS2025012179,Freeport Dist Ctr 3,"8904 N Royal Ln., Irving, TX 75063",Dallas,3/1/2025,7/31/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Repair damaged concrete tilt wall panels due to impact.,"2,500 ft 2",Prologis,"2021 McKinney Ave. Suite 1050, Dallas, Texas 75201",(972) 884-9238,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012179,,"Childress Engineering Services, Inc.","2505 N Plano Rd. Suite 4000, Richardson, Texas 75082",(214) 451-6630
Cross Roads Baptist Church,TABS2025012172,Cross Roads Baptist Church,"7900 Chiesa Road, Rowlett, TX 75089",Dallas,3/1/2025,6/1/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","moving interior partitions, adding two restrooms, adding paving, mep rework","3,000 ft 2",Cross Roads Baptist Church,"7900 Chiesa Road, Rowlett, Texas 75089",(972) 475-1678,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012172,,"Don B. Hill, Architect, Inc.","106 CR 3271, Mineola, Texas 75773",(903) 569-5204
Montgomery Law Office,TABS2025012168,Montgomery Law Office,"7901 John Carpenter Freeway, Dallas, TX 75247",Dallas,4/1/2025,8/29/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel,"9,950 ft 2",Sadat Montgomery,"2777 N Stemmons Freeway #1525, Dallas, Texas 75207",214-720-6090,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012168,,,,
"FXG NETWORK 2.0 W. DALLAS, TX",TABS2025012149,FEDEX GROUND,"3901 ADLER DR, Dallas, TX 75211",Dallas,6/9/2025,7/31/2025,"$430,101",Renovation/Alteration,"This project is privately funded, on private land for private use.","ADDING A SINGLE 10'-0"" X 10'-0"" DOCK DOOR AND DOCK EQUIPMENT THAT GOES WITH IT. ON THE INTERIOR A FXE CAGE IS TO BE ADDED. THE HARDWARE TO AN EXISTING MAIN DOOR ON THE NORTH WALL TO BE CHANGED. SOME DEMO IS EXPECTED. THERE WILL BE NO CHANGES TO THE O",100 ft 2,"FEDEX GROUND PACKAGE SYSTEM, INC.","13727 NOEL ROAD, SUITE 750, Dallas, Texas 75240",(469) 990-6833,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012149,"Todd Roberts, SRM","Cortland Morgan Architect, AIA","711 N. Fielder Road, Arlington, Texas 76012",(817) 635-5696
Arista Advanced Pet Care - Dallas,TABS2025012136,Arista Advanced Pet Care - Dallas,"12330 Inwood Road, Dallas, TX 75244",Dallas,4/1/2025,10/31/2025,"$3,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This project consists of the build-out of a new 24/7 emergency care animal clinic for small animals (cats & dogs) within an existing one-story shell building.,"16,280 ft 2",Ryan Betz,"5707 Willow Lane, Dallas, Texas 75230",469-682-2212,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012136,Jay Alexander,Peacock Partnership,"5500 Interstate North Parkway Suite 500, Atlanta, Georgia 30328",(470) 867-1509
SunTx,TABS2025012130,Lincoln Centre Two,"5420 LBJ Freeway Suite 950, Dallas, TX 75240",Dallas,2/18/2025,6/13/2025,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant finish out, remodel","11,257 ft 2",Nuveen,"4675 MacArthur Court 115th Floor, Newport Beach, California 92660",949.826.3953,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012130,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Mr. Fuel Travel Center 1108 EV,TABS2025012122,Mr. Fuel Travel Center 1108,"3206 W. Trinity Blvd. Grand Prairie, TX 76155, Grand Prairie, TX 76155",Dallas,9/25/2025,10/27/2025,"$200,000",New Construction,"This project is privately funded, on private land for private use.","Installation of 2 electric vehicle charging stations, a small equipment yard adjacent to the stations, new electrical distribution, minor site work to install the conduits, equipment pads, screening around the equipment yard","1,200 ft 2",Pilot Travel Centers LLC,"5508 Lonas Drive, Knoxville, Tennessee 37909",(865) 209-6801,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012122,,Phillip Jaminet The Oscar W. Larson Company DBA OWL Services,"6235 Southern Blvd, Youngstown, Ohio 44512",(330) 716-2705
Jefferson Industrial,TABS2025012099,Jefferson Industrial,"3010 W. Jefferson Blvd,, Dallas, TX 75051",Dallas,4/1/2025,1/1/2026,"$15,000,000",New Construction,"This project is privately funded, on private land for private use.","Shell Warehouse with Spec office - 260,056 SF","206,056 ft 2",CT Realty Partners,"2100 McKinney Avenue #1050, Dallas, Texas 75204",214-888-2349,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012099,,O'Brien Architects,"8560 Belleview Dr #310, Plano, Texas 75024",972-788-1010
CYBERFORCE,TABS2025012092,XFORCE GALAXY,"230 W. JOHN CARPENTER FWY. BLD 200 SUITE 100, Irving, TX 75039",Dallas,4/23/2025,8/25/2025,"$463,870",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISHOUT FOR OFFICE ,"4,297 ft 2","ADITYA & AARUSH ENTERPRISES, LLC","1475 BENT TRAIL CIRCLE, SOUTHLAKE, Texas 76092",972-342-0073,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012092,,,,
UHaul Mesquite,TABS2025012067,UHaul Mesquite Self Storage,"2350 E US Hwy 80 2300 E US Hwy 80, Mesquite, TX 75249",Dallas,5/1/2025,5/30/2026,"$15,000,000",New Construction,"This project is privately funded, on private land for private use.","New ground up self storage project with a 5-story conditioned self storage building, with loading and unloading, retail management space and a high bay single story storage building for large container storage, no occupancy. ","144,000 ft 2",Amerco Real Estate Company,"2727 N Central Ave, Phoenix, Arizona 85004",(337) 249-6893,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012067,,"FJ Collaborative, LLC","2829 Willing Avenue, Fort Worth, Texas 76110",(214) 952-3758
Constellation REP - Hard Rock RD,TABS2025012058,Constellation REP - Hard Rock RD,"4000 Hard Rock Road, Grand Prairie, TX 75050",Dallas,7/7/2025,8/7/2026,"$19,733,586",New Construction,"This project is privately funded, on private land for private use.",New Shell WHSE,"285,994 ft 2","Constellation Real Estate Partners, LLP","2021 McKinney Ave, Suite 300 Dallas, TX 75201, Dallas, Texas 75201",214.814.4312,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012058,,"Meinhardt & Associates Architects, P.L.L.C.","14643 DALLAS PARKWAY | STE 636, Dallas, Texas 75254",972.980.8980
Gabe Nesbitt Park and Apex Centre Improvements,TABS2025012049,Gabe Nesbitt Park and Apex Centre,"3003 Alma Rd, Mckinney, TX 75070",Dallas,5/1/2025,5/1/2026,"$1,650,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Two new entry signs to park, grading, turf, and irrigation for sports practice field, and new sidewalks and fence enclosing outdoor space next to Apex Centre.","821,742 ft 2","City of McKinney, Parks and Recreation Department","401 E. Virginia St, McKinney, Texas 75069",(972) 547-7489,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012049,,Studio Outside,"824 Exposition Avenue Ste. 5, Dallas, Texas 75226",(214) 954-7160
