project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Spec Suite 538,TABS2025014751,Lakewood Tower,"6301 Gaston Ave. Suite # 538, Dallas, TX 75214",Dallas,5/1/2025,8/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",A non-structural interior finish-out in an existing single floor suite.,"1,513 ft 2",August Real Estate,"4153 Commerce St., Dallas, Texas 75226",(440) 539-0632,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014751,,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
22282 - Garland Industrial Blg - Moshin BTS,TABS2025014749,Moshin BTS,"200 N. Country Road, Garland, TX 75040",Dallas,5/15/2025,4/10/2026,"$7,800,000",New Construction,"This project is privately funded, on private land for private use.",New shell and T.I Office ,"59,956 ft 2",Willian Zhou,"1432 Wainwright Way, Carrollton, Texas 75007",(469) 815-8600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014749,,"Meinhardt & Associates Architects, P.L.L.C.","14643 Dallas Parkway, Dallas, Texas 75254",(972) 980-8980
Lou Huff Park,TABS2025014725,Lou Huff Park,"515 E. Ave B, Garland, TX 75040",Dallas,6/1/2025,6/30/2026,"$5,800,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Demolition of building and other park elements. Construction of pavilion, art installation, monument signage, multi-use trails & sidewalks, pedestrian bridge, restroom, drinking fountains, benches picnic tables, & sports courts. ","741,518 ft 2","City of Garland, TX","634 Apollo Rd, Garland, Texas 75040",(972) 205-2897,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014725,,TNP,"5237 N. Riverside Drive, Suite 100, Fort Worth, Texas 76137",(817) 665-7121
Starbucks - Royal Lane & I-635 - Shell,TABS2025014711,Starbucks,"10130 Royal Lane, Dallas, TX 75238",Dallas,9/1/2025,6/1/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.",New Coffee Shop shell and sitework (with drive-thru and pick-up only).,"1,282 ft 2","Victory Real Estate Group (Jumana Retail, LLC)","2911 Turtle Creek Blvd, Suite 700, Dallas, Texas 75219",972-707-9555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014711,,Hodges Architects,"13642 Omega, Dallas, Texas 75244",972-387-1000
Multi-Tenant Restaurant Building (Jewel Box),TABS2025014700,Wynnewood Village,"655 West Illinois Avenue, Dallas, TX 75224",Dallas,5/1/2025,5/1/2026,"$900,000",New Construction,"This project is privately funded, on private land for private use.",New construction for Wynnewood Village,"3,526 ft 2",Brixmor Property Group,"3211 Preston Road Suite 1, Frisco, Texas 75034",(214) 618-6531,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014700,,OTJ Architects,"2811 McKinney Avenue Suite 225, Dallas, Texas 75204",(806) 470-7803
Dollar Tree,TABS2025014651,Ferguson Shopping Center,"8686 Ferguson Road Suite 230, Dallas, TX 75228",Dallas,5/26/2025,8/7/2025,"$448,161",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing tenant retail space.,"8,878 ft 2","SLJ Company, LLC","4311 W Lovers Ln Ste 200, Dallas, Texas 75209",240-476-0064,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014651,,CASCO,"12 Sunnen Dr. Suite 100, Saint Louis, Missouri 63143",(314) 821-1100
Performance Home Health,TABS2025014625,Eastside Atrium,"800 East Campbell, Suite 399, Richardson, TX 75081",Dallas,4/1/2025,5/31/2025,"$330,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing office space.,"14,730 ft 2","AFS Eastside Atrium, Ltd.","18111 Preston Road, Suite 1000, Dallas, Texas 75252",(972) 458-7585,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014625,Brandyn Cutts,"Thompson Consulting Services, Inc","12024 Golden Meadow Lane, Forney, Texas 75126",972-564-5252
TX Health Family Care,TABS2025014624,Rowlett MOB,"5501 Gordon Smith Drive Suite 500, Rowlett, TX 75089",Dallas,3/25/2025,6/12/2025,"$333,778",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expansion of an outpatient medical clinic,"3,400 ft 2","GA HC REIT II Rowlett MOB, LLC","500 North Hurstbourne Pky Suite 200, Louisville, Kentucky 40222",(312) 268-4172,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014624,,ANPH Architects,"5499 Glen Lakes Dr Suite 110, Dallas, Texas 75231",(214) 369-9066
"Revantage, partial-floor tenant improvement, level 3",TABS2025014590,The QUAD,"2699 Howell Street, Dallas, TX 75204",Dallas,5/14/2025,10/21/2025,"$3,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial floor project on 3rd floor of building.  Work to include new partitions, glass office fronts, electrical, plumbing, mechanical, ceilings, lighting and finishes.  Project area is approx. 13,555 SF","13,555 ft 2","SRPF B/Quadrangle Property, LLC","2001 Ross Avenue Suite 400, Dallas, Texas 75201",(214) 202-7550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014590,,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",(214) 866-2474
Tenant Improvements - Chick-Fil-A #00601,TABS2025014577,Chick-Fil-A,"5350 N MacArthur Boulevard, Irving, TX 75038",Dallas,4/30/2025,6/30/2025,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Modify drive-thru cockpit and serving counter. Replace drive-thru window with Tormax Door. New access door at dining area. Remove vestibule and remodel dining lay-out. Remove existing stair and landscape area at drive-thru lane. Add retaining wall an,"1,400 ft 2",Chick-Fil-A,"5200 Buffington Road, Atlanta, Georgia 30349",(404) 308-0570,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014577,,Little Diversified Architectural Consulting,"1300 Dove Street Suite 100, Newport Beach, California 92660",(949) 698-1400
8th Floor Spec Suites,TABS2025014568,Harwood Center,"1999 Bryan Street 8th Floor, Dallas, TX 75201",Dallas,3/24/2025,7/15/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel,"7,712 ft 2",COMM 2014-UBS5 Harwood center LLC,"900 19th Street NW 8th Floor, Washington, Washington D.C 20006",(202) 715-9541,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014568,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Speculative Suite 970,TABS2025014562,125 East John Carpenter,"125 East John Carpenter Freeway Suite 970, Irving, TX 75062",Dallas,3/21/2025,6/15/2025,"$402,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"5,766 ft 2","KORE 125 John Carpenter, LLC","3200 Park Center Dr. Suite 700, Costa Mesa, California 92626",(949) 630-0752,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014562,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
The Wash,TABS2025014546,Shops at Promenade,"400 N Coit Rd #1902, Richardson, TX 75080",Dallas,4/1/2025,8/1/2025,"$445,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of existing suite space into a laundromat ,"3,262 ft 2",121 Associates LLC,"430 N Coit Rd #100, Richardson, Texas 75080",(972) 697-8808,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014546,David Collyer,Sky Contractors,"9305 Whitehall Ln, Dallas, Texas 75232",(469) 309-1892
Tenant improvement,TABS2025014531,Fulfillment Tenant Facility,"2218 Corner Ridge, STE 148, San Antonio,, San Antonio, TX 78219",Dallas,7/17/2025,9/11/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Commercial Interior Tenant Finish-out for a Fulfillment Center,"1,400 ft 2",PillPack LLC,"410 Terry Ave N, Seattle, Washington 98109",(689) 356-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014531,,Atlantic - AE,"1415 Pro shop Ct., Davenport, Florida 33896",939.366.0415
Tenant Improvement,TABS2025014522,Fulfillment Tenant Facility,"4445 Rock Quarry Road Suite 200, Dallas, TX, Dallas, TX 78728",Dallas,6/5/2025,7/31/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Commercial Interior Tenant Finish-out for a Fulfillment Center,"1,400 ft 2",PillPack LLC,"410 Terry Ave N, Seattle, Washington 98109",(689) 356-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014522,,Atlantic - AE,"1415 Pro shop Ct. Davenport, FL, Davenport, Florida 33896",939.366.0415
Parkland Garland COPC - Eye Lane and Specialty Clinic Renovation,TABS2025014517,Parkland's Garland Health Center,"802 Hopkins Street, Garland, TX 75040",Dallas,6/2/2025,12/12/2025,"$600,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",See SG general sheet description; word description,"5,000 ft 2",Parkland Health,"5233 Tex Oak, Dallas, Texas 75235",(214) 455-3271,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014517,,SmithGroup,"3333 Welborn Street, Suite 100, Dallas, Texas 75219",214-599-4851
"MCD HOUSTON SCHOOL RD - LANCASTER, TX",TABS2025014503,"MCD HOUSTON SCHOOL RD - LANCASTER, TX","4400 N HOUSTON SCHOOL RD, Lancaster, TX 75134",Dallas,6/1/2025,9/30/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New Construction McDonalds,"3,846 ft 2","MCDONALD'S USA, LLC","110 N CARPENTER STREET, CHICAGO, Illinois 60607",(214) 907-4313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014503,,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387
"TX240456 - Target T1032 - Irving, TX",TABS2025014498,Electrify America EVCS,"7845 North Macarthur Boulevard, Irving, TX 75063",Dallas,7/11/2025,11/14/2025,"$500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construct/Install new EV Charging facility to include dispenser and power units,"2,000 ft 2",Target Corporation,"1000 Nicollet Mall, Minneapolis, Minnesota 55403",(612) 304-5434,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014498,Electrify America (Brian Powers Black & Veatch),,,
Methodist Woman's Health Specialists - Dallas,TABS2025014476,Methodist Dallas Medical Center - Pavilion II,"221 W. Colorado Blvd. Suite #644, Dallas, TX 75203",Dallas,4/7/2025,5/30/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Combining and renovating two existing suites in an existing medical office building.,"3,481 ft 2",Methodist Health System,"403 W. Campbell Rd. Suite #205, Richardson, Texas 75080",(469) 204-6704,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014476,,Lincoln Property Company,"8140 Walnut Hill Ln. Suite #700 / Mailbox #8, Dallas, Texas 75231",(214) 461-2305
MDMC Schenkel Level 7 Renovation,TABS2025014475,Methodist Dallas Medical Center,"1441 N Beckley Ave, Dallas, TX 75203",Dallas,6/2/2025,1/16/2026,"$9,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Major interior renovation of the medical/surgical patient floor 7 within an existing hospital. Level 7 will convert to an intermediate care model with 24 patient rooms.,"19,500 ft 2",Methodist Health System,"401 West Campbell Road, Richardson, Texas 75080",(469) 204-6703,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014475,,Perkins&Will,"2218 Bryan Street, Dallas, Texas 75201",(214) 283-8700
Galleria Dallas Party Room,TABS2025014470,Galleria Dallas,"13350 N Dallas Parkway Suite 420, Dallas, TX 75240",Dallas,4/15/2025,7/31/2025,"$975,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of second generation space, combining two separate suites. ","2,082 ft 2",GMV (MALL) OWNER LLC,"13350 DALLAS PARKWAY #3080, Dallas, Texas 75240",(972) 702-7171,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014470,,Perrin Projects,"1973 W Grey, Suite 3, Houston, Texas 77019",(713) 244-6655
Davis Craig Law,TABS2025014451,Galleria Tower One,"13355 Noel Road, suite 2018, Dallas, TX 75240",Dallas,5/5/2025,6/28/2025,"$199,929",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"8,495 ft 2",Piedmont Office Realty Trust,"13355 Noel Road, Suite 350, Dallas, Texas 75240",(214) 882-8201,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014451,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
GREENBELT RETAIL,TABS2025014446,GREENBELT RETAIL,"6302 GREENBELT PARKWAY, Garland, TX 75043",Dallas,5/1/2025,11/1/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",SHELL ONLY CONSTRUCTION,"11,629 ft 2","H&H One Group, LLC","924 Horseshoe Bend, Richardson, Texas 75081",469 231 6550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014446,,"R.T. CHANG ARCHITECTS, INC.","5834 WINDMIER LANE, DALLAS, Texas 75252",(214) 663-4735
Exterior remodel 1620 Handly Drive Building,TABS2025014430,1620 Handly Drive Building,"1620 Handly Drive, Dallas, TX 75208",Dallas,4/1/2025,5/5/2025,"$188,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel exterior wall of building,"3,240 ft 2",Peter Kavanagh,"305 W. Greenbriar lane, Dallas, Texas 75208",(214) 941-4440,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014430,,Jordan Architects LLC,"402 W Wheatland rd Suite 102, Duncanville, Texas 75116",(972) 572-6777
GW II - Spec Suite 630,TABS2025014411,Greenway Plaza II,"2400 Lakeside Blvd Suite 630, Richardson, TX 75082",Dallas,3/31/2025,5/16/2025,"$92,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing interior office space.,"2,136 ft 2","JP-2400 Lakeside, LP","12770 Coit Road Suite 200, Dallas, Texas 75251",(972) 385-7676,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014411,,Interprise Design,"14241 Dallas Parkway Suite 260, Dallas, Texas 75254",(972) 385-3991
Amazon IAH1 RELO - PH. 1,TABS2025014404,Amazon IAH1 RELO,"Southlink Logistics Center, 9155 Southlink Drive, Dallas, TX 75241",Dallas,5/1/2025,11/1/2025,"$7,800,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Tenant renovation of offices, breakrooms, toilet rooms, training rooms, conference rooms, reconfiguration of main entrance and security, and addition and upgrades to material handling equipment.","719,000 ft 2",Southlink Owner LLC,"9 W 57TH ST STE 4200, NEW YORK, New York 10019",(713) 853-7687,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014404,,Stantec Architecture Inc.,"600 Grant Street Suite 4940, Pittsburgh, Pennsylvania 15219",(412) 670-1531
GW II - Spec Suite 725,TABS2025014403,Greenway Plaza II,"2400 Lakeside Blvd Suite 725, Richardson, TX 75082",Dallas,3/31/2025,5/16/2025,"$162,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Renovation to existing interior office space.,"2,675 ft 2","JP-2400 Lakeside,LP","12770 Coit Road Suite 200, Dallas, Texas 75251",(972) 385-7676,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014403,,Interprise Design,"14241 Dallas parkway Suite 260, Dallas, Texas 75254",(972) 385-3991
Dallas Plastic Surgery Institute - Dr. Armijo,TABS2025014402,The Pyramids at Park Lane - South Tower,"9101 North Central Expressway Suite 600, Dallas, TX 75225",Dallas,4/1/2025,7/1/2025,"$137,169",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out existing suite.,"1,052 ft 2","BSF1 Pyramids Opco, LLC","4849 Greenville Avenue Suite 1270, Dallas, Texas 75206",(817) 881-5807,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014402,,Jones Commercial Interiors,"3900 Willow Street, Dallas, Texas 75226",(972) 690-3400
Carrollton Boardroom Renovation,TABS2025014400,n/a,"1728 BRIERCROFT CT. CARROLLTON, Carrollton, TX 75006",Dallas,4/1/2025,6/1/2025,"$355,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of conference and office space within a corporate office building. ,"2,367 ft 2",Sonja Grady,"1728 Briercroft Ct, Carrollton, Texas 75006",(214) 542-8165,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014400,,MODUS Architecture,"4040 North Central Expy. Suite 720, Dallas, Texas 75204",(314) 302-6864
Gresham Smith Expansion,TABS2025014380,Ross Tower,"500 N. Akard, Suite 3210, Dallas, TX 75201",Dallas,3/24/2025,7/1/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","8,451 SF of tenant improvement with small expansion.","8,451 ft 2",ROSS TOWER SCHPI lp,"500 N. Akard, Suite 2020, Dallas, Texas 75201",(214) 954-3300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014380,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Action Behavior Center Balch Springs,TABS2025014379,Action Behavior Center Balch Springs,"355 Rodeo Center Boulevard, Suite 100, Mesquite, TX 75149",Dallas,4/1/2025,3/31/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 7,500 square-foot tenant finish-out project in an existing shell for Action Behavior Centers office and therapy clinic.","7,500 ft 2","MM Mesquite Retail 3, LLC","1800 Valley View Ln., Farmers Branch, Texas 75234",(469) 892-7212,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014379,Connor Coleman,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600
Shipley Do-Nuts,TABS2025014376,Shipley Do-Nuts,"516 Belt Line Rd. #600, Cedar Hill, TX 75104",Dallas,4/1/2025,6/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1,679 square foot interior build out of a donut shop including MEP.","1,679 ft 2",Cedar Hill Paradigm JV LLC,"5999 Custer Rd. #110-311, Frisco, Texas 75035",(512) 507-7969,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014376,Jawad Rawra,"Excel Engineering, Inc","100 Camelot Dr, Fond du Lac, Wisconsin 54935",920-926-9800
Sunique Rack Install,TABS2025014366,Parkway Distribution Center,"739 S Parkway Drive, Grand Prairie, TX 75051",Dallas,4/14/2025,5/15/2025,"$228,503",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installing storage racks into an existing warehouse. ,"36,291 ft 2",First Industrial Texas LP,"5310 Harvest Hill Rd., Suite 270, Dallas, Texas 75230",(972) 419-5727,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014366,Yuyao Han,Smiley Structural Engineering,"410 Peachtree Parkway Suite 4245, Cumming, Georgia 30041",(678) 720-8189
Quick Quack car Wash,TABS2025014358,Quick Quack car Wash,"3625 Northwest Hwy, Dallas, TX 75220",Dallas,7/30/2025,6/5/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New ground up construction of a car wash facility  ,"4,225 ft 2",Metro Pacific Equities Inc,"8400 Westchester Dr Ste 300, Dallas, Texas 75225",(214) 361-1155,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014358,Lonestar Builders-Kaleb Parker,ID Studio 4,"6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288
STUDIO B,TABS2025014337,MOCKINGBIRD COMMONS,"6333 E. MOCKINGBIRD LANE SUITE 126, Dallas, TX 75214",Dallas,4/1/2025,6/30/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing tenant space,"4,990 ft 2",Regency Centers,"3200 Kirby Drive #910, Houston, Texas 77098",(713) 599-3515,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014337,Bessie Waddill Fox,Steve Waddill,"6953 Dalhart Lane, Dallas, Texas 75214",(214) 533-4575
