project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Chipotle #6083 Cartwright Mesquite TI,TABS2026017929,Chipotle #6083 Cartwright Mesquite TI,"3201 E Cartwright Rd., Mesquite, TX 75181",Dallas,8/1/2026,12/20/2026,"$650,000",New Construction,"This project is privately funded, on private land for private use.",Tenant fit out of shell,"2,385 ft 2",LF Gateway LP,"5952 King William Dr. Suite 300, Plano, Texas 75093",(214) 558-0800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017929,,,,
Martin Marietta Office Build Out,TABS2026017926,Williams Square - East Tower,"5221 N O'Connor Blvd suite 700, Irving, TX 75039",Dallas,6/1/2026,10/1/2026,"$2,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION ON LEVEL 7 OF AN EXISTING OFFICE BUILDING. THE PROJECT INCLUDES OPEN OFFICE AREAS, ENCLOSED OFFICES, ACCESSORY MEETING ROOMS, SINGLE USE RESTROOMS, ONE MOTHER'S ROOM AND A PANTRY WITH SEATING. ","18,329 ft 2",AGRE WILLIAMS SQUARE HOLDINGS LLC,"625 W ADAMS ST STE 1715, CHICAGO, Illinois 60661",(972) 867-5900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017926,DAVID GLOVER,HOK,"717 N HARWOOD ST SUITE 2850, Dallas, Texas 75201",(214) 231-5823
Royalty Row,TABS2026017906,Royalty Row - Owner Occupied,"3201 Royalty Row, Irving, TX 75062",Dallas,4/23/2026,6/23/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","6,391 Square Footage - Interior Renovation ","6,391 ft 2","3201 Royalty Row Partners, LLC","2215 Cedar Springs Rd Apt 2103, Dallas, Texas 75201",214.514.7733,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017906,,Jessica Stewart Lendvay Architects,"155 Classen Drive, Dallas, Texas 75218",214.893.5080
Primoris Premier PV,TABS2026017885,Premier PV LLC,"4715 Mountain Creek Pkwy, Dallas, TX 75236",Dallas,4/2/2026,7/30/2026,"$5,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant improvements including a new office expansion build-out (38,097 SF) within an existing building with associated F-1 manufacturing (173,495 SF) and S-1 storage (53,728 SF) areas.","265,320 ft 2","CanTex Mountain Creek, LLC","107 Pittsburg Street Suite 122, Dallas, Texas 75207",(214) 785-2452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017885,Drake Schrage,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",(972) 788-1010
Sammons Industrial,TABS2026017841,10550 N Stemmons Freeway,"10550 N. Stemmons Freeway, Dallas, TX 75220",Dallas,4/20/2026,10/30/2026,"$1,943,396",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovate existing building for new tenant's use,"13,988 ft 2",Sammons Industrial,"14241 Dallas Parkway Suite 880, Dallas, Texas 75254",(469) 601-7616,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017841,,USgreenDESiGN,"9720 Coit Road Suite 220-217, Plano, Texas 75025",(214) 450-6875
MCD Bi-Plane Renovation P1,TABS2026017833,Medical City Dallas,"7777 Forest Lane, Dallas, TX 75230",Dallas,5/1/2026,1/1/2027,"$4,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE SCOPE OF WORK INCLUDES DESIGN, DOCUMENTATION, AND CONSTRUCTION ADMINISTRATION SERVICES FOR THE RENOVATION OF THE EXISTING SPECIAL PROCEDURE SUITE ON THE 2ND LEVEL OF THE HOSPITAL TO CREATE A NEW BI-PLANE SPECIAL PROCEDURE ROOM AND ASSOCIATED SUPP","1,000 ft 2",HCP DR MCD LLC,"PO Box 1504, Nashville, Texas 37202",(214) 404-9298,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017833,,"GUIDE Architecture, Inc.","1108 Quaker Street Suite 130, Dallas, Texas 75207",(214) 960-9773
Midway Rd. Animal Clinic Expansion,TABS2026017831,Midway Rd. Animal Clinic,"12700 Midway Rd. Suite #160, Dallas, TX 75244",Dallas,4/16/2026,4/16/2027,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Improvement of existing space.,"1,200 ft 2",Willingham WW Family LP No. 2,"8525 Ferndale Rd. Suite # 204, Dallas, Texas 75244",(214) 553-0000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017831,Natasha Shah,REK Architect,"5851 Legacy Circle Suite #600, Plano, Texas 75024",(214) 235-2646
OLIVERA LANDING,TABS2026017814,Olivera Landing,"1901 W IRVING BLVD, Irving, TX 75061",Dallas,6/8/2026,4/30/2027,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","new 10,000 sf building with new electrical, plumbing, hvac and fire sprinkler system","10,000 ft 2",Olivera Landing LLC,"2216 High Point Dr, Carrollton, Texas 75007",(972) 626-1320,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017814,,,,
Richardson West Middle School,TABS2026017810,Richardson West Middle School,"1309 Holly Dr,, Richardson, TX 75080",Dallas,6/1/2026,8/31/2026,"$54,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New Construction of a 3-Story 201,285 s.f. middle school and baseball field","201,285 ft 2",Richardson Independent School District,"400 S. Greenville Ave, Richardson, Texas 75081",469.593.0000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017810,,Glenn Partners,"5646 Milton Street, Suite 426, Dallas, Texas 75206",469-930-7655
DFW RCC Garage Re-Allocation - Enterprise Tenant Improvement,TABS2026017798,DFW Rental Car Center,"2424 E 38th Street 2424 E 38th Street, Irving, TX 75261",Dallas,5/6/2026,5/31/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The tenant improvement project includes removal and relocation of proprietary equipment, signage, vehicle security devices, selective pavement markings, selective vehicle barriers, and exit/customer service booths. ","573,825 ft 2",City of Dallas,"2424 E 38th St., Dallas, Texas 75261",(832) 229-5770,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017798,Ryan Kelly Enterprise Mobility,Gresham Smith,"500 North Akard St Suite 3210, Dallas, Texas 75201",214-366-6542
Baylor Scott & White - Irving,TABS2026017794,Baylor Scott & White,"7701 Las Colinas Ridge Suite 110, Irving, TX 75063",Dallas,4/1/2026,6/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant fit out for outpatient physical therapy new location, 4,631 SF","4,631 ft 2",CRE Holdings Sub 2 LLC,"11 W 42nd ST, New York, New York 10036",(212) 461-5230,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017794,Kevin Hillenbrand,"Robert J. Tanay, RA","680 American Ave Suite 203, King of Prussia, Pennsylvania 19406",(610) 992-7135
Log Flume Area Redevelopment Plan,TABS2026017784,Fair Park (Texas State Fairgrounds),"3500 S FITZHUGH AVE, Dallas, TX 75210",Dallas,5/13/2026,8/31/2026,"$300,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",This is located on the Midway of the State Fair.  The scope is new pedestrian paving and sub-grade utility work to prep area for new configuration of rides/vendors/attractions.,"34,000 ft 2",City of Dallas,"1500 Marilla St, Dallas, Texas 75201",(214) 670-8400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017784,,,,
ADLER WAREHOUSE,TABS2026017777,N/A,"4814 ALGIERS ST, Dallas, TX 75209",Dallas,5/1/2026,5/1/2027,"$1,750,000",New Construction,"This project is privately funded, on private land for private use.",NEW BUILDING FOR WAREHOUSE STORAGE AND SMALL OFFICE SPACE,"11,373 ft 2","ADLER PROPERTY COMPANIES, LLP","PO BOX 7007, DALLAS, Texas 75209",(214) 534-8888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017777,,Droese Raney,"2120 Sylvan Ave., Dallas, Texas 75208",(214) 987-1902
Journeys Kidz,TABS2026017773,Town East Mall,"2063 North Town East Blvd Space #2016, Mesquite, TX 75150",Dallas,6/1/2026,7/30/2026,"$404,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",3165,"3,165 ft 2","Town East Mall, PS C/O Brookfield PPTY Retail","P.O. Box 101042 Chicago, Chicago, Illinois 60610",972-591-2930,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017773,Clayton Graves,Jencen Architecture,"2850 Euclid Avenue, Cleveland, Ohio 44115",216-781-0131
Mr. Fun,TABS2026017765,na,"1001 S Sherman Street, Richardson, TX 75081",Dallas,5/15/2026,12/15/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel,"4,557 ft 2",Sammy Jibrin,"1625 Ferris Road, Garland, Texas 75044",(214) 215-1186,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017765,,,,
Dallas ISD Org 208 Seagoville Elementary Addition,TABS2026017754,Dallas ISD Seagoville Elementary School,"304 N KAUFMAN ST, Seagoville, TX 75159",Dallas,11/22/2026,4/28/2028,"$6,500,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.",New building addition and secured vestibule,"8,800 ft 2",Dallas Independent School District,"9400 N. Central Expressway Suite 1520, Dallas, Texas 75231",(972) 925-7244,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017754,,"RGM Architects, LLC","2001 North Lamar Street Suite 200, Dallas, Texas 75202",(214) 718-5650
Freeman Mathis & Gary,TABS2026017737,Park Place on Turtle Creek,"2911 Turtle Creek Suite 500, Dallas, TX 75219",Dallas,4/20/2026,6/15/2026,"$77,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements,"6,235 ft 2","Piedmont Park Place, LP","PO Box 20197, Atlanta, Georgia 30342",(214) 939-7139,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017737,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Sunnyvale Bldg. 200 Restroom Expansion,TABS2026017715,Building 2,"200 Planters Road, Sunnyvale, TX 75128",Dallas,6/15/2026,9/7/2026,"$270,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovations to existing building,"1,864 ft 2",Sunnyvale Owner II LLC,"2401 Cedar Springs Rd Ste 100, Dallas, Texas 75201",(551) 223-3161,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017715,,,,
Stream Data Centers,TABS2026017705,Trammell Crow Center,"2001 Ross Ave Suite 500, Dallas, TX 75201",Dallas,4/15/2026,6/30/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"3,761 ft 2",ROF V Ross Investment LLC,"12100 Wilshire Blvd. Suite 1750, Los Angeles, California 90025",(214) 863-4142,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017705,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Feast Events & Catering,TABS2026017700,The Aberdeen,"14841 North Dallas Parkway Suite 140, Dallas, TX 75254",Dallas,4/15/2026,8/31/2026,"$191,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Non-structural interior finish out in an existing single floor suite. ,"2,065 ft 2",JP Aberdeen Partners LP,"14841 Dallas parkway Suite 450, Dallas, Texas 75254",(214) 851-5435,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017700,,IdGroup,"2641 Irving Blvd, Dallas, Texas 75207",214.638.6800
12th Floor Restrooms & Public Corridor,TABS2026017673,2000 Mckinney,"2000 Mckinney Avenue, Dallas, TX 75201",Dallas,4/27/2026,11/20/2026,"$323,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of an existing public restroom and corridor in a high rise building.,"1,374 ft 2","GPIF 2000 Mckinney, LLC","3230 Camp Bowie Blvd, Suite 500, Fort worth, Texas 76107",(817) 321-1159,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017673,,Go Studio,"1201 Main Street, Dallas, Texas 75202",(214) 420-4646
Yardstick Dog Hotel,TABS2026017667,Yardstick Dog Hotel,"12835 Preston Rd., Dallas, TX 75230",Dallas,5/15/2026,10/15/2026,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finishout ,"7,181 ft 2","PV 635 Preston, LTD","11700 Preston Road STE 660 #185, Dallas, Texas 75230",(214) 476-3532,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017667,"Yardstick Opco, Inc.","GSO Architects, Inc.","5310 Harvest Hill Rd. Suite 226, LB. 156, Dallas, Texas 75230",(972) 385-9651
"7-Eleven 42785 Lancaster, TX",TABS2026017666,"7-Eleven 42785 Lancaster, TX","100 Telephone Rd, Lancaster, TX 75241",Dallas,6/15/2026,12/15/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a one story convenient store with fueling services,"4,816 ft 2","HSM Hwy 342 & Telephone Rd, LP","5151 Belt Line Rd, Dallas, Texas 75254",(972) 419-4073,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017666,CANDACE BUONO,The Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400
Assembly of God Dallas,TABS2026017662,Assembly of God Dallas,"1313 Oates Drive, Mesquite, TX 75150",Dallas,4/20/2026,6/30/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of office building to a place of worship without structural changes. ,"14,000 ft 2",Assembly of God Dallas,"1837 South Carrier Parkway, GRAND PRAIRIE, Texas 75051",(972) 523-1024,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017662,,,,
CT Equipment Replacement,TABS2026017624,Scottish Rite for Children,"2222 Wellborn St., Dallas, TX 75219",Dallas,5/18/2026,9/21/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The replacement of CT Equipment - 1,000sf","1,000 ft 2",Texas Scottish Rite Hospital,"2222 Welborn St, Dallas, Texas 75219",214-559-8663,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017624,,HKS,"350 N Saint Paul St. Suite 100, Dallas, Texas 75201",214-969-5599
Ares Management - Phase 2,TABS2026017612,The Link At Uptown,"2601 Olive Street, Dallas, TX 75201",Dallas,4/20/2026,6/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Modifying the offices in the existing tenant space. ,"1,957 ft 2",Cousins 2601 Olive LLC,"5950 Sherry Lane, Suite 110, Dallas, Texas 75225",(214) 530-0253,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017612,,BOKA Powell,"8080 Park Lane Suite 800, Dallas, Texas 75231",(972) 701-9000
SHINJUKU STATION REVOLVING SUSHI BAR,TABS2026017595,N/A,"2 OLD DENTON RD, Carrollton, TX 75006",Dallas,5/15/2026,8/30/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish-out Remodeling,"6,500 ft 2",Old Denton-Crowley Property LLC,"PO BOX 112250, CARROLLTON, Texas 75011",469-945-6888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017595,LIWEI JIANG,Amoi Group,"8750 N Central Expressway, STE 800,, Dallas, Texas 75231",972-908 9558
The Gem,TABS2026017579,Rosewood Court,"2101 Cedar Springs Road, Suite R115, Dallas, TX 75201",Dallas,6/1/2026,9/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1,042 sf Renovation of an existing tenant space into a new juice bar.","1,042 ft 2","Rosewood Court, LLC","2101 Cedar Springs Road, Suite 1600, Dallas, Texas 75201",(972) 977-6209,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017579,Leslie Needleman,Mitchell Garman Architects,"3525 Cedar Springs Road, Suite 204, Dallas, Texas 75219",214-443-8189
"Hangar B, Office Alteration",TABS2026017548,Business Jet Center,"8611 Lemmon Ave, Dallas, TX 75209",Dallas,4/27/2026,5/31/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovate 904sf of existing office space into back of house space for Business Jet Center employees.,903 ft 2,Chris Wright,"8611 Lemmon Ave, Dallas, Texas 75209",469-426-2255,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017548,,,,
KPV Facade Adjustments,TABS2026017540,Knox Park Village,"3001 Knox St, Dallas, TX 75205",Dallas,6/1/2026,12/31/2026,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Facade and storefront work.,500 ft 2,"Knox Park Village, LLC","5950 Berkshire Lane #800, Dallas, Texas 75225",(214) 220-3426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017540,,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 226-7485
Roots Chicken Shak,TABS2026017535,Roots Chicken Shak,"3743 South Highway 161, Building 3, Suite 100, Grand Prairie, TX 75052",Dallas,6/8/2026,9/7/2026,"$390,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1st gen. space: interior tenant build-out of a new Roots Chicken Shak restaurant in a new shell building, work includes: New partition walls, new accessible restrooms, new interior finishes throughout space, new electrical, new plumbing, mechanical.","2,357 ft 2",Grand Prairie SLX Holding. LLC,"5830 Granite Parkway Suite 100-215 Suite 4000, Plano, Texas 75024",(682) 456-9490,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017535,,Interplan LLC,"1 East 22nd Street, Suite 400, Lombard, Illinois 60148",(630) 932-2336
Avalon Bay Communities,TABS2026017529,One Hanover Park,"16633 N Dallas Parkway Suite 475, Dallas, TX 75001",Dallas,5/1/2026,7/31/2026,"$470,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"5,397 ft 2",MSSDFOFCB Hanover LLC,"51 Maddison Avenue, New York, New York 10010",(800) 225-5695,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017529,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
BONTON FARMS-CAFE RENOVATION,TABS2026017509,BONTON FARMS,"6911 BEXAR ST., Dallas, TX 75215",Dallas,5/15/2026,12/15/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH-OUT,"1,938 ft 2",CITYBUILD COMMUNITY DEV CORP,"2162 VALENTINE ST. -, DALLAS, Texas 75215",(469) 275-1544,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017509,,ESTUDIO RICARDO TORRES,"3300 MAIN ST. Dallas, TX 75227, Dallas, Texas 75226",(915) 541-5746
ANGADI,TABS2026017498,ANGADI,"9458 N MACARTHUR BLVD, Irving, TX 75063",Dallas,9/1/2026,6/1/2027,"$200,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,148 ft 2",VILLAGE AT VR LLC,"6220 CAMPBELL RD #104, DALLAS, Texas 75248",(972) 365-0155,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017498,,BEAR DESIGN,"2695 VILLA CREEK DR #110, DALLAS, Texas 75234",469-682-7038
Culinaire Commissary Kitchen Remodel Phase II - Cold Kitchen,TABS2026017488,Culinaire,"8303 Elmbrook Drive Phase II - Cold Kitchen, Dallas, TX 75247",Dallas,6/1/2026,9/14/2026,"$218,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish remodel in an existing building.,"2,735 ft 2",NOF RE ELMBROOK LLC,"8303 Elmbrook Drive Suite 3100, Dallas, Texas 75247",(214) 754-1880,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017488,Johan Vermeer,Carrell Partners & Yost Architecture,"10830 North Central Expressway Suite 450, Dallas, Texas 75231",(214) 793-7051
IVX (LAS COLINAS),TABS2026017453,IVX HEALTH,"5910 N MACARTHUR BLVD #140, Las Colinas, TX 75039",Dallas,5/11/2026,8/11/2026,"$432,750",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"2,120 ft 2",WHITESTONE LAS COLINAS VILLAGE LLC,"2600 S GESSNER RD STE 500, HOUSTON, Texas 77063",469.207.9043,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017453,,,,
Crete Carrier Corp. Storage Shelter,TABS2026017451,Storage Shelter,"400 East Pleasant Run Road, Wilmer, TX 75172",Dallas,5/11/2026,8/17/2026,"$100,000",New Construction,"This project is privately funded, on private land for private use.","Pre-engineered metal building consisting of covered storage area, covered seating area for employees, and enclosed storage room. Ceiling fans, outlets, and lights. No mechanical or plumbing.","1,450 ft 2",Crete Carrier Corporation,"400 NW 56th St., Lincoln, Nebraska 68528",(402) 479-2755,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017451,,Sinclair Hille Architects,"700 Q St, Lincoln, Nebraska 68508",(402) 476-7331
CFA 3586 Prestonwood FSU,TABS2026017446,Chick-fil-A,"15235 Montfort Rd, Dallas, TX 75248",Dallas,6/12/2026,6/14/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New team member access door, Tormax Drive-thru Door, new split system HVAC and electric heater and new air curtain.",98 ft 2,"Chick-fil-A, Inc.","5200 Buffington, Atlanta, Georgia 30349",(770) 891-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017446,,,,
Renovation of Park and Recreation Center Facilities,TABS2026017442,John C Phelps Recreation Center,"3030 Tips Blvd (DCAD Shows 3561 E Overton Rd), Dallas, TX 75216",Dallas,5/28/2026,3/29/2027,"$720,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","GENERAL INTERIOR AND EXTERIOR RENOVATIONS - 4,600 SF","4,600 ft 2",City of Dallas Park and Recreation Department,"1500 Marilla Street, Suite 6FN, Dallas, Texas 75201",214.670.1805,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017442,,Grace Design Studios,"200 Bailey Avenue, Suite 200, Fort Worth, Texas 76107",817-921-5928
