project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Match Group,TABS2026009626,Tower at Park Lane,"8750 North Central Expressway Suite 1400, Dallas, TX 75231",Dallas,1/12/2026,3/6/2026,"$1,165,655",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior TI to enhance finishes and office function. Demo/infill of existing internal/non-egress required stair to level 15 to give back space to LL. Enhancement of meeting spaces and break room.,"24,980 ft 2","RCS - Park Lane, LLC c/o Real Capital Solutions","371 Centennial Pkwy Ste 200, Louisville, Colorado 80027",(303) 533-1647,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009626,M Moser,"455 Bush St Ste 500, San Francisco, California 94105",(303) 726-9045
"MiniLuxe Remodel - Dallas, TX",TABS2026009623,MiniLuxe Remodel,"2019 Abrams Pkwy, Dallas, TX 75214",Dallas,3/1/2026,5/31/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Scope of work is for a remodel of an existing 2,605 sq ft building.","2,605 ft 2",LAKEWOOD HARRELL,"2525 MCKINNON ST, STE 710, Dallas, Texas 75201",214-572-0777,Bridgette Barbato,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009623,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922
Jubal Media,TABS2026009621,Central Park Business Center,"1900 Firman, Suite 800, , TX 75081, Richardson, TX 75081",Dallas,1/12/2026,3/6/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant finish-out remodel of an existing 4,140 SF office/warehouse space. ","4,140 ft 2",AVISTONE CENTRAL PARK LLC,"400 INVERNESS PKWY STE 160, NGLEWOOD, Colorado 80112",(858) 480-7131,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009621,DRAWbridge LLC,"2650 FM 407 E, Suite 145, #149, Bartonville, Texas 76226",(214) 738-1560
Plummer ES Reno,TABS2026009616,Plummer Elementary School,"1203 S Clark Rd, Cedar Hill, TX 75104",Dallas,2/18/2026,12/16/2026,"$7,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",renovation,"60,775 ft 2",Cedar Hill ISD,"202 Beltline Rd. #500, Cedar Hill, Texas 75104",972-291-1581,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009616,Huckabee,"801 Cherry St. #500, Ft. Worth, Texas 76102",(800) 687-1229
Chase Trinity Relo,TABS2026009596,Chase Trinity Relo,"1808 Sylvan Ave, Dallas, TX 75208",Dallas,5/11/2026,11/2/2026,"$2,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of a 1-Story Retail Banking Center w/ Drive-Up ATM - (2,738 sq ft)","2,738 ft 2","CH Retail Fund II/Dallas Sylvan Thirty, L.P.","3819 Maple Avenue, Dallas,, Texas 75219",(214) 661-8362,"Joe Hernandez, Chase",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009596,"Rouch Architects, LLC","1201 Main Street, Suite 1750, Dallas, Texas 75202",(214) 997-6029
V3 & DTA,TABS2026009585,8828 Greenville Ave.,"8828 Greenville Ave., Dallas, TX 75243",Dallas,1/9/2026,7/31/2026,"$375,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",3960SF Interior Renovation,"3,960 ft 2",8808 8828 GREENVILLE HOLDINGS LLC,"9125 LOMA VISTA DR, Dallas, Texas 75243",972-643-8814,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009585,Q Architecture + Design,"10440 E Northwest Hwy #301, Dallas, Texas 75238",214-738-5540
V3 & DTA,TABS2026009581,8808 Greenville Ave.,"8808 Greenville Ave., Dallas, TX 75243",Dallas,1/9/2026,7/31/2026,"$375,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",4080SF Interior Renovation,"4,080 ft 2",8808 8828 GREENVILLE HOLDINGS LLC,"9125 LOMA VISTA DR, Dallas, Texas 75243",972-643-8814,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009581,Q Architecture + Design,"10440 E Northwest Hwy #301, Dallas, Texas 75238",214-738-5540
Roche Coffee,TABS2026009577,*,"17062 Preston Rd, Dallas, TX 75248",Dallas,1/8/2026,10/5/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.",1680 SF TI,"1,680 ft 2",Dallas PC Partners LP,"4809 Cole Ave, #330, Dallas, Texas 75205",(214) 393-1833,quyen luu,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009577,New Space Design,"3331 North Berkeley Lake Rd Ste 130, Duluth, Georgia 30096",(404) 217-3458
THE ATHLETE'S FOOT,TABS2026009570,THE ATHLETE'S FOOT,"1815 RANGE DR, Mesquite, TX 75206",Dallas,1/5/2026,2/1/2026,"$335,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH,"3,177 ft 2",CA MESQUITE LLC,"8350 N CENTRAL EXPY STE 1313, Dallas, Texas 75206",214 561 6501,MALEK SARAH,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009570,ROBERT QUINTANA ARCHITECT,"16415 ADDISON RD STE 430, ADDISON, Texas 75001",972 233 2718
Stemmons Leasing Office,TABS2026009564,Stemmons South Tower,"2730 N Stemmons Freeway, Dallas, TX 75207",Dallas,8/4/2026,12/21/2027,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",finish out,"1,000 ft 2","4LUMIERE, LLC","2311 TEXAS DRIVE SUITE 105, IRVING, Texas 75062",(972) 255-9464,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009564,Accolade Design Studio LLC,"2311 Texas Drive suite 103, Irving, Texas 75062",(972) 360-0608
Toadally Purple Too,TABS2026009562,Toadally Purple Too,"4601 W Lovers Lane, Dallas, TX 75209",Dallas,2/1/2026,2/1/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","New two-story 3,629 GSF office building with associated site development","3,629 ft 2","Toadally Purple Too, LLC","2525 Knight Street, Suite 450, Dallas, Texas 75219",(972) 788-8600,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009562,FBT Architects,"3500 Maple Ave, Ste 1020, Dallas, Texas 75219",(469) 998-5542
Muchacho Lakewood,TABS2026009556,Lakewood Shopping Center,"1900 Abrams PKWY, Dallas, TX 75214",Dallas,3/18/2026,1/15/2027,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation/alteration of existing restaurant,"6,132 ft 2",GRI Lakewood,"7200 Wisconsin Ave, Bethesda, Maryland 20814",(202) 815-4536,Alec Marshi,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009556,DUNCAN DESIGN GROUP,"1088 Texan Trail, Grapevine, Texas 76051",(214) 505-8251
Tower Engineering Renovation,TABS2026009555,Tower 1320,"1320 Greenway Dr Suite 600, Irving, TX 75038",Dallas,1/12/2026,4/27/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"12,763 ft 2",Bridge Investments Group,"1277 Lenox Park Blvd Suite 420, Atlanta, Georgia 30319",(404) 907-3100,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009555,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
SEER Group,TABS2026009543,Colonade II,"15303 Dallas Parkway Suite 470, Addison, TX 75001",Dallas,2/1/2026,4/30/2026,"$312,101",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,301 ft 2",Lincoln Property Company,"8111 Douglas Avenue, Suite 600, Dallas, Texas 75225",(214) 740-3572,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009543,ENTOS DESIGN,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Tower Engineering Renovation,TABS2026009539,Tower 1320,"1320 Greenway Dr Suite 500, Irving, TX 75038",Dallas,1/12/2026,4/27/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"10,780 ft 2",Bridge Investments Group,"1277 Lenox Park Blvd Suite 420, Atlanta, Georgia 30319",(404) 907-3100,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009539,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
S. Campus Wing B Remodel Project,TABS2026009532,"Texas Instruments, Inc. Wing B","12500 TI Blvd., Dallas, TX 75243",Dallas,1/15/2026,4/4/2026,"$282,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Area 1:  1,700 SF, enclose area, add 1 office & 2 work stations, and break counter.  Area 2, ~255 SF, rotate entrance to existing office, convert copy room to 2 enclosed offices.","1,955 ft 2","Texas Instruments, Inc.","PO Box 660199, Dallas, Texas 75266",214-882-4595,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009532,,,
"Matheson Tri Gas, Inc.",TABS2026009510,Tower 909,"909 Lake Carolyn Parkway Suite 900, Irving, TX 75039",Dallas,2/1/2026,5/31/2026,"$1,005,107",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"15,081 ft 2",Lincoln Property Company,"8111 Douglas Avenue, Suite 600, Dallas, Texas 75225",(214) 740-3572,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009510,ENTOS DESIGN,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
3rd Floor Common Areas,TABS2026009501,Las Colinas Connection,"6031 Connection Dr. 3rd floor, Irving, TX 75039",Dallas,1/1/2026,6/30/2026,"$285,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of common corridor and restrooms on a single floor. Scope includes HVAC, plumbing, and electrical. ","1,800 ft 2",Piedmont Operating Partnership LP,"PO Box 56607 Suite 320, Atlanta, Georgia 30342",(214) 939-7139,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009501,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
Check Point,TABS2026009491,Las Colinas Connection,"6031 Connection Dr. Suite 300, Irving, TX 75039",Dallas,1/1/2026,6/30/2026,"$1,980,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This is a non-structural, interior finish out of a single floor tenant. Scope includes HVAC, electrical, and plumbing. ","15,876 ft 2",Piedmont Operating Partnership LP,"PO Box 56607, Atlanta, Georgia 30343",(214) 939-7139,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009491,BHA studio,"3141 Hood Street Suite 420, Dallas, Texas 75219",214-521-8500
Dallas One Solutions- Racking,TABS2026009478,Dallas One Solutions,"1111 N 28th Ave, Irving, TX 76131",Dallas,1/26/2026,3/9/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installing Warehouse Pallet Racking,"72,194 ft 2",WPI North 28th,"1111 N 28th AVE, Irving, Texas 75063",(318) 464-2594,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009478,,,
Feel Great Carwash,TABS2026009458,Express self-service carwash,"9170 LBJ FWY, Dallas, TX 75243",Dallas,1/20/2026,8/24/2026,"$900,000",New Construction,"This project is privately funded, on private land for private use.",one-story express car wash facility,"4,500 ft 2",Viran Nana,"310 S Industrial Blvd, Euless, Texas 76040",(817) 264-2807,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009458,AG Design Group,"PO BOX 383023, Duncanville, Texas 75138",(214) 766-5905
Partentope Restaurant Addition,TABS2026009450,Partentope Restaurant,"110 S Greenville Ave, Richardson, TX 75081",Dallas,2/6/2026,5/8/2026,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel a portion of an existing building adjacent to an existing restaurant for a new dining room,800 ft 2,MSR Ventures LP,"2808 Fairmount, Dalas, Texas 75201",(254) 495-5010,Dino Santonicola,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009450,"Dean Dekker, Architect","6722 Northport, Dallas, Texas 75230",(214) 549-4747
J-Street,TABS2026009409,Mycon Center,"17311 Dallas Parkway, Suite 110, Dallas, TX 75258",Dallas,1/15/2026,4/1/2026,"$236,929",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space,"5,486 ft 2","208 E. Louisiana LTD, & SBBT, LLC","17311 dallas parkway, suite 300, dallas, Texas 75248",(972) 529-2444,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009409,idGROUP,"2641 irving blvd., dallas, Texas 75207",(214) 638-6800
YAFFA COFFEE & KUNAFA,TABS2026009390,YAFFA COFFEE & KUNAFA,"850 S GREENVILLE AVE #STE. 116, Richardson, TX 75081",Dallas,6/1/2026,12/30/2026,"$280,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,800 ft 2",EMAAR GROUP LLC,"888 S GREENVILLE AVE #STE. 202, RICHARDSON, Texas 75081",(214) 708-0344,HAZEM ASAD,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009390,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038
Bridge Homes Office,TABS2026009344,Bridge Homes,"1200 Apollo Road, Richardson, TX 75081",Dallas,6/1/2026,12/31/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.","New ground up apx. 2,579 sf office building, which will be split into two suites.  One suite will be built out and and the other will be a white box and tenant ready. ","2,579 ft 2",Zoila Ybarra,"4715 Manorview Lane, Mesquite, Texas 75150",(214) 449-6049,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009344,Studio E Design Group,"PO BOX 1480, Midlothian, Texas 76065",(713) 409-1260
AutoZone #TX10762,TABS2026009342,AutoZone,"407 N Garland Ave, Garland, TX 75040",Dallas,5/17/2025,8/20/2026,"$679,984",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovate existing retail store into auto parts store, 8133 sf.","8,133 ft 2","Graham Realty Investments, Ltd","333 Texas Street, Shreveport, Louisiana 71101",(901) 495-6115,Carl Helton,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009342,AutoZone,"123 South Front Street, Memphis, Tennessee 38103",(901) 495-8705
Motor Controls Inc.,TABS2026009338,Motor Controls Inc.,"10901 Goodnight Lane, Dallas, TX 75229",Dallas,1/19/2026,5/4/2026,"$2,014,896",New Construction,"This project is privately funded, on private land for private use.",interior finish   out of warehouse,"178,483 ft 2",Tri-Chi Goodnight II L.P.  Bradford Management Company,"10440 N. Central Expressway Suite 1150, Dallad, Texas 75231",(972) 776-7000,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009338,,,
3939 Platinum Way - Storage,TABS2026009335,"P5 Investments, LLC","3939 Platinum Way, Dallas, TX 75237",Dallas,2/1/2026,5/29/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.","Building a 8,400 SF Storage Building.","8,400 ft 2","P5 Investments, LLC","3939 Platinum Way, Dallas, Texas 75237",(817) 668-5433,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009335,,,
9th Floor Corr and RR,TABS2026009334,The Crescent,"300 Crescent Court, 9th Floor, Dallas, TX 75201",Dallas,1/5/2026,4/15/2026,"$330,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"2,057 ft 2",GPIF TC OWNER,"3230 Camp Bowie Blvd, Suite 500, Fort Worth, Texas 76107",(214) 880-4500,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009334,Entos Design,"5400 Lyndon B Johnson Fwy, Suite 125, Dallas, Texas 75240",(972) 770-2222
suite 130 make ready,TABS2026009325,frankford 18,"2940 eisenhower street suite 101, Carrollton, TX 75007",Dallas,2/28/2026,5/31/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",update/improve existing lease space,"4,980 ft 2",texas dugan ltd p/s c/o,"1800 wazee street suite 50, denver, Colorado 80202",(972) 884-9292,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009325,meinhardt & associates,"14643 dallas parkway suite 636, Dallas, Texas 75254",(972) 980-8980
Bubble Bath # 61501,TABS2026009303,Bubble Bath # 61501,"3611 Forest Lane, Dallas, TX 75234",Dallas,3/2/2026,10/8/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.",To construct a 4000 sf car wash,"4,000 ft 2","QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009303,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868
Enterprise Mobility,TABS2026009284,Airport Corporate Center,"4201 N. State HWY 161 Suite 125, Irving, TX 75038",Dallas,1/10/2026,3/15/2026,"$145,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,603 ft 2","161 Airport Corporate, LLC","1475 Powell Street Suite 201, Emeryville, California 94068",(972) 284-1000,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009284,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Greenway Investment Company,TABS2026009273,Uptown Center,"2626 Howell Street Suite 920, Dallas, TX 75204",Dallas,1/27/2026,6/3/2026,"$548,505",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in a high rise building.,"5,315 ft 2","Uptown Center JV, LP","2811 McKinney Avenue Suite 313, Dallas, Texas 75204",(469) 210-0460,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009273,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646
Central Medical Center Remodel,TABS2026009266,Central Medical Center,"2909 Canton Street, Dallas, TX 75226",Dallas,1/14/2026,3/16/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project is the interior remodel of a brick masonry building commercial space. 5,506 square foot space.","5,506 ft 2",Central Medical Center,"420 W. 2nd Street, Irving, Texas 75060",(214) 587-6001,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009266,Azen Mechanical Corporation,"9078 River Trails Boulevard, Fort Worth, Texas 76118",(817) 228-3321
Reformed Pilates,TABS2026009261,Reformed Pilates,"9440 garland road #180, Dallas, TX 75218",Dallas,2/2/2026,6/8/2026,"$375,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior finish-out of existing lease space. Existing and new electrical, mechanical and plumbing equipment.","2,252 ft 2",bonnie threadgill,"11000 richmond ave #350, Houston, Texas 77042",(972) 984-0798,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009261,"Hub City Productions One, LP","4100 Commerce Street #14, dallas, Texas 75226",(214) 821-8242
