project_url,project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,tenant_name
https://www.tdlr.texas.gov/TABS/Account/Login?ReturnUrl=%2fTABS%2fError%3faspxerrorpath%3d%2fTABS%2fSearch%2fProject%2fTABS2024010671&aspxerrorpath=/TABS/Search/Project/TABS2024010671,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010666,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010665,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010662,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010653,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Account/Login?ReturnUrl=%2fTABS%2fError%3faspxerrorpath%3d%2fTABS%2fSearch%2fProject%2fTABS2024010651&aspxerrorpath=/TABS/Search/Project/TABS2024010651,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010644,Lubellas Patisserie,TABS2024010644,Casa Linda Shopping Center,"10323 Ferguson Rd 1, Dallas, TX 75218",Dallas,2/19/2024,7/1/2024,"$175,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Interior remodel of existing Bakery space,"1,443 ft 2",Hillcrest Village,"10323 Ferguson RD, Dallas, Texas 75218",(214) 821-8242,hub city productions,"800 exposition avenue, 1, 1 1, Dallas, Texas 75226",(214) 821-8242,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010642,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Account/Login?ReturnUrl=%2fTABS%2fError%3faspxerrorpath%3d%2fTABS%2fSearch%2fProject%2fTABS2024010638&aspxerrorpath=/TABS/Search/Project/TABS2024010638,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010637,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010619,"Amalci, LLC",TABS2024010619,Hillside Village,"6465 E Mockingbird Ln #329, Dallas, TX 75214",Dallas,2/26/2024,4/1/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Retail buildout for sales, floor, stockroom, offices, dressing rooms, ADA bathroom, and breakroom","2,933 ft 2",Hillside Village Property LP,"8080 Park Ln #600, Dallas, Texas 75231",(214) 365-0222,CDV Designs,"13748 Neutron Rd. Suite 140, Dallas, Texas 75244",(469) 279-9749,Cindy Weed
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010616,Myth & Mane Salon,TABS2024010616,MAA Addison Circle,"5039 Addison Circle, Addison, TX 75082",Dallas,9/1/2023,2/10/2024,"$72,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of a retail space - converting it into a hair salon,"1,500 ft 2","Mid-America Apartments Communities, Inc.","5040 Addison Circle, Addison, Texas 75001",(972) 851-3298,Lowery Design Group,"2043 Rushing Creek Drive, Heartland, Texas 75126",806-789-7902,Matt Ellis
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010597,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010593,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010589,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010564,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010555,Freeport Parkway BLDG A West Spec Office,TABS2024010555,Freeport Parkway,"4501 Regent BLVD., Irving, TX 75063",Dallas,2/5/2024,5/31/2024,"$400,000",New Construction,"This project is privately funded, on private land for private use.",New spec office within existing building. ,"3,010 ft 2",Alliance Industrial,"820 Gessner, Houston, Texas 77024",(940) 235-9894,"Alliance Architects, Inc.","1600 N Collins Blvd # 1000, Richardson, Texas 75080",(972) 233-0400,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010551,Rockwall County Courthouse – County Annex,TABS2024010551,Rockwall County Courthouse,"1111 E Yellow Jacket Ln, Rockwall, TX 75037",Dallas,4/18/2024,11/30/2025,"$16,500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",The Project consists of architectural/engineering design services for a new courthouse annex building located adjacent to the existing courthouse at 1111 E. Yellow ,"36,700 ft 2",Rockwall County,"1111 E Yellow Jacket Ln, Rockwall, Texas 75037",972-204-6000,Parkhill,"3000 Internet Boulevard, Suite 550, Frisco, Texas 75034",972.987.1670,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010544,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010538,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010510,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010507,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010497,The Moon Event & Wedding Center,TABS2024010497,Moon Event & Wedding Center,"1801 N Plano Road Suite 200, Richardson, TX 75081",Dallas,2/19/2024,5/19/2024,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out for event center,"5,749 ft 2","DI 7 Restaurant, LLC","3130 N Shiloh Road, Garland, Texas 75044",(469) 714-6062,"JBNN Design & Construction Group, Inc.","3901 Arlington Highland Blvd. Suite 200, Arlington, Texas 76018",682-561-9981,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010496,RANCHO SEMENTAL,TABS2024010496,RANCHO SEMENTAL,"5650 S BUCKNER BLVD, Mesquite, TX 75149",Dallas,3/4/2024,12/13/2024,"$850,000",New Construction,"This project is privately funded, on private land for private use.",CONSTRUCTION OF A NEW GROUND UP RETAIL BUILDING,"16,000 ft 2",JOAQUIN TORRES,"5550 BUCKNER BLVD, MESQUITE, Texas 75149",(956) 237-3375,ZSUDIO DESIGN,"2225 S 1ST ST, GARLAND, Texas 75041",(972) 897-3966,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010483,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010476,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010473,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010461,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010457,H. Grady Spruce High School Additions & Renovations,TABS2024010457,H. Grady Spruce High School,"9733 Old Seagoville Road, Dallas, TX 75217",Dallas,6/3/2024,1/30/2026,"$37,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","Athletic and Resource Center Additions totaling 41,134 SF.  Renovations and remodeling of existing school including partial facade replacement, light fixtures, flooring replacement, etc.","41,134 ft 2",Dallas Independent School District,"9400 North Central Expressway Suite 800, Dallas, Texas 75231",(972) 925-7303,Brown Reynolds Watford Architects,"3535 Travis Street Suite 250, Dallas, Texas 75204",(214) 528-8704,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010456,Finish Upgrades,TABS2024010456,West Branch Library,"4444 W. Rochelle Road, Irving, TX 75062",Dallas,1/1/2024,8/1/2024,"$330,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Finish Upgrades. ,"25,876 ft 2",City of Irving,"825 West Irving Boulevard, irving, Texas 75060",(972) 721-2785,"Elements of Architecture, Inc.","1201 6th Ave Suite 100, Fort Worth, Texas 76104",(817) 333-2880,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010436,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010428,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010417,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010413,Preferred Source,TABS2024010413,4343 Sigma Suite 200,"4343 Sigma Road Suite 200, Farmers Branch, TX 75244",Dallas,2/1/2024,5/1/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel for new retail tenant. Relighting and adding equipment. ,"6,434 ft 2","Excelsior Metropolitan Business, LLC c/o NAI Robert Lynn","4851 LBJ Freeway, 10th floor, Dallas, Texas 75244",(214) 256-7183,Rawls Culver Architects,"901 North McDonald Street Suite 203, McKinney, Texas 75069",(972) 529-9790,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010408,Leon Capital Group - Centerville - Spec Office,TABS2024010408,Leon Capital Group - Centerville,"2815 E. Centerville Road, Garland, TX 75040",Dallas,3/1/2024,5/25/2024,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A new 3,846 SF office finish-out within an existing 193,800 SF warehouse. ","3,846 ft 2",J & A Manufacturing Inc.,"3500 Maple Avenue Suite 1600, Dallas, Texas 75219",(214) 270-1953,GSR Andrade Architects,"2001 North Lamar Street Suite #400, Dallas, Texas 75202",(214) 824-7040,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010404,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010394,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010381,"Dallas, TX S Beltline Road Dollar Tree",TABS2024010381,Dollar Tree,"220 S Beltline Road, Dallas, TX 75243",Dallas,3/26/2024,7/26/2024,"$500,000",New Construction,"This project is privately funded, on private land for private use.",new ground up commercial construction ,"9,945 ft 2","Colbcar, LLC","764 Highway 84 West, Brookhaven, Mississippi 39601",(601) 757-2406,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010376,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010368,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010364,Learfield,TABS2024010364,Lincoln Centre One,"5400 Lyndon B Johnson Fwy, Dallas, TX 75240",Dallas,4/1/2024,11/4/2024,"$6,050,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out - Slight modifications to connect tenant floors with (2) separate monumental stairs. One to connect level one to level two and one to connect level two to level three.,"55,000 ft 2",Lincoln Centre,"5400 Lyndon B Johnson Fwy, Dallas, Texas 75240",(972) 770-2488,Corgan,"401 N Houston Street, Dallas, Texas 75202",(214) 757-1616,Janell Marsh
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010356,Cox Chapel Renovation,TABS2024010356,Cox Chapel,"9027 Midway Rd, Dallas, TX 75209",Dallas,2/15/2024,6/7/2024,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project is for a partial interior renovation of Cox Chapel (2127 sq ft) in Cochran Chapel UMC Campus at Dallas, TX. The project scope includes renovation of the restrooms to provide TAS accessible restrooms and some interior finish & lighting up","2,127 ft 2",Cochran Chapel United Methodist Church,"9027 Midway Rd, Dallas, Texas 75209",(469) 866-7600,DSGN Associates,"115 West Greenbriar Lane, dallas, Texas 75208",(214) 746-2713,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010352,,,,,,,,,,,,,,,,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010351,Lucid Irving Boulevard Service & Delivery Center,TABS2024010351,Lucid Irving Boulevard Service & Delivery Center,"2455 Irving Blvd., Dallas, TX 75207",Dallas,4/15/2024,8/23/2024,"$1,640,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant fit out for vehicle service center, EV charging, car display, and merchandise sales (as accessory use).","17,737 ft 2","SL6 DESIGN DISTRICT, LP","Stonelake Capital Partners    100 Crescent Court, Dallas, Texas 75201",214-739-9455,"BRR Architecture, Inc.","8131 Metcalf Ave. Suite 300, Overland Park, KS 66204, Kansas 66204",(913) 262-9095,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010350,Henderson Avenue Mixed Use Development,TABS2024010350,Building EF - Interior Amenities,"2110 N Henderson Ave, Dallas, TX 75206",Dallas,1/1/2026,7/1/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish out of the common amenity spaces on levels 2 and 3 of a commercial office building,"8,000 ft 2",Henderson Avenue Dev 2 Owner LLC,"411 Theodore Fremd Avenue suite 300, Rye, New York 10580",(914) 288-3390,GFF,"3030 Nowitzski Way Suite 400, Dallas, Texas 75219",(214) 303-1500,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010343,Ride On Dallas,TABS2024010343,Ride On Dallas,"170 Pittsburg St., Dallas, TX 75207",Dallas,4/1/2024,7/1/2024,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Skating rink with a restaurant space tenant improvement. ,"20,000 ft 2",On Brand Hospitality,"3039 Nowitzki Way, Dallas, Texas 75219",(972) 679-7558,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010333,Data One Entry & Courtyard Improvments,TABS2024010333,8120 Ambassador Row,"8120 Ambassador Row, Dallas, TX 75247",Dallas,3/4/2024,10/7/2024,"$400,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Add a new exterior covered entry between 2 existing buildings and landscape the newly cretaed courtyard,"1,178 ft 2","Ambassador Holdings, LLC","8000 Ambassador Row, Dallas, Texas 75247",(469) 226-9023,Edwin Brantley Smith + Associates,"8226 Douglas Avenue Suite 600, Dallas, Texas 75225",(214) 368-1900,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010326,Framebridge,TABS2024010326,Inwood Village,"5450 W Lovers Lane - Space #232, Dallas, TX 75209",Dallas,2/26/2024,4/8/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of existing tenant space in a shopping center, including new walls, ceilings, doors, lighting, display fixtures, storage shelving, finishes.","1,177 ft 2","L&B DEPP Inwood Village, L.P.","5470 W. Lovers Lane, Suite 331, Dallas, Texas 75209",(214) 989-0876,Architectural Group International,"15 West 7th Street, Covington, Kentucky 41011",859-261-5400,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010323,Lucid Irving Boulevard Service & Delivery Center,TABS2024010323,Lucid Irving Boulevard Service & Delivery Center,"2439 Irving Blvd., Dallas, TX 75207",Dallas,4/15/2024,8/23/2024,"$1,860,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant fit out for vehicle service center, EV charging, car display and merchandise sales.","20,126 ft 2","SL6 DESIGN DISTRICT, LP","Stonelake Capital Partners    100 Crescent Court,, Dallas, Texas 75201",214-739-9455,"BRR Architecture, Inc.","8131 Metcalf Ave. Suite 300, Overland Park, KS 66204, Kansas 66204",(913) 262-9095,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010314,boba heaven,TABS2024010314,independence plaza,"1220 n Town East Blvd, Mesquite, TX 75150",Dallas,2/5/2024,3/31/2024,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","plumbing, electrical, millwork, tile, flooring, lighting, framing. ","1,250 ft 2",independence plaza center LP,"3201 cherry ridge Suite B 209, san antonio, Texas 78230",(800) 207-0191,kuzuu design,"3623 parader ct, dallas, Texas 75228",(214) 724-0027,tan tran
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010295,Floors 12 & 14 Stair Removal,TABS2024010295,The Union,"2300 N. Field Street Floors 12 & 14, Dallas, TX 75201",Dallas,1/25/2024,3/30/2024,"$163,167",Renovation/Alteration,"This project is privately funded, on private land for private use.",Stair removal on two floors from tenant space.,416 ft 2,2300 North Akard Owner LLC,"2502 East Camelback Rd. Suite 200, Phoenix, Arizona 85016",(480) 556-7745,Entos,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010287,Dr. Milner & Dr. Sargent,TABS2024010287,Baylor Medical Pavilion,"3900 Junius St., Dallas, TX 75246",Dallas,2/19/2024,4/30/2024,"$526,240",New Construction,"This project is privately funded, on private land for private use.","A 4,784 usf tenant finish out in Baylor Medical Pavilion within Dallas, Texas. ","4,784 ft 2",Healthcare Realty Services LLC,"3900 Junius Street Suite 640, Dallas, Texas 75246",(469) 617-0657,,,,
https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024010278,"PET BAR PRESTON & CAMPBELL - DALLAS, TX",TABS2024010278,"PET BAR PRESTON & CAMPBELL - DALLAS, TX","17062 PRESTON RD. SUITE 106, Dallas, TX 75248",Dallas,4/15/2024,8/15/2024,"$268,320",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH-OUT OF A PET BAR,"2,236 ft 2",DALLAS PC PARTNERS LP,"4809 COLE AVENUE SUITE 330, DALLAS, Texas 75205",(214) 393-1833,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD SUITE 200, FORT WORTH, Texas 76116",(817) 705-3387,
