project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Wingstop (GL#780),TABS2025000235,Wingstop,"2718 E Berry Street, Fort Worth, TX 76105",Tarrant,10/21/2024,1/20/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing tenant space, work to include but not limited to new fixtures, finishes, equipment and Mechanical, electrical and plumbing work. ","1,436 ft 2",Jack Jennings,"3000 E Berry Street, Fort Worth, Texas 76105",(319) 859-3770,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000235,Wilkus Architects,"15 Ninth Avenue N, Hopkins, Minnesota 55343",(952) 843-5064
Paragon Furniture,TABS2025000222,Midcities Logistics Building E,"3253 Boswell Dr., Fort Worth, TX 76112",Tarrant,9/23/2024,11/15/2024,"$318,799",Renovation/Alteration,"This project is privately funded, on private land for private use.",Showroom addition to existing spec office.,"1,200 ft 2","Midcities Logistics Owner, LLC","2300 N Field Street, Suite 2000, Dallas, Texas 75201",(919) 741-3282,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000222,,,
Pickler Universe DFW,TABS2025000215,Pickler Universe,"2550 Rental Car Drive, Irving, TX 75261",Tarrant,12/1/2024,12/1/2025,"$7,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",7000 sf 2nd generation restaurant remodel / finish out,"7,000 ft 2",Pickler Universe LLC,"3020 Burney Rd., Southlake, Texas 76092",(214) 673-9596,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000215,B. Russo Designs,"15914 Midway Rd., Addison, Texas 75001",(214) 957-2946
Gameday Men's Health,TABS2025000179,Village at Broad II,"3030 East Broad St., Suite 119, Mansfield, TX 76063",Tarrant,9/23/2024,12/23/2024,"$130,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of a shell space into a clinic space,"1,492 ft 2","Mansfield Broad Street Retail II By Slate, LLC","4940 N Tarrant Parkway, Fort Worth, Texas 76244",(281) 221-6025,Sandeep Khurana,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000179,Interior Design Group,"2307 Oak Forest Ct, Arlington, Texas 76012",(214) 803-2692
Albert Retail Shell -Glade Park Lot 7,TABS2025000175,Albert Retail Shell,"Rio Grande & Euless, Euless, TX 76039",Tarrant,1/13/2025,8/4/2025,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.",new single story shell building for future tenant finish out ,"7,872 ft 2",SCSD-Finnell LTD,"14114 Dallas Parkway, Dallas, Texas 75254",(214) 483-0400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000175,"ID Studio 4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288
Army Recruiting Facility Expansion,TABS2025000173,Bear Creek Plaza II,"750 S. Main St. #120, Keller, TX 76248",Tarrant,10/14/2024,3/17/2025,"$243,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Expand existing Army Recruiting Facility, update finishes and restroom fixtures.","2,316 ft 2","BC III Shopping Center, LLC  c/o  Quine and Associates, Inc.","301 S. Sherman St. #100, Richardson, Texas 75081",(972) 669-8440,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000173,"Quiet Mind Construction, Inc.","762 CR 4642, Trenton, Texas 75490",(214) 536-8819
Radiology Associates of North Texas,TABS2025000143,University Center II,"1302 S University Dr Ste 450, 500, Fort Worth, TX 76107",Tarrant,9/16/2024,1/17/2025,"$1,509,945",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior renovation of a full floor and 1/2 of a floor ,"30,000 ft 2",Southside Bank/Verador Management Co,"1302 S University Dr #700, Ft Worth, Texas 76107",(817) 877-3555,Radiology Associates of North Texas,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000143,"ninety 8 ninety 7, LLC  dba:Studio 9897","15428 Pioneer Bluff Trail, Ft Worth, Texas 76262",(214) 684-1269
R&D Test Kitchen Buildout,TABS2025000136,"Circle U Foods, Inc.","3200 Meacham Blvd, Fort Worth, TX 76137",Tarrant,8/9/2024,10/4/2024,"$102,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Build a test kitchen. Mechanical, electrical, plumbing will be needed","1,300 ft 2","TCRG Properties, LLC","5201 Camp Bowie Blvd., Fort Worth, Texas 76107",(817) 964-7093,Adrian Enriquez,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000136,"OHH Consulting Engineers, LLC.","555 Republic Dr. Ste#445, Plano, Texas 75074",(817) 626-6918
3rd Floor Spec Suites,TABS2025000127,Corporate Center at the Crossing,"9151 Boulevard 26 3rd Floor, North Richland Hills, TX 76180",Tarrant,9/15/2024,12/15/2024,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out,"19,993 ft 2",Capital Commercial Investments,"500 N. Capital of Texas Hwy. Building 1, Suite 200, Austin, Texas 78746",(940) 282-8927,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000127,DRAWbridge,"2650 FM 407E Suite 145, #149, Bartonville, Texas 76226",(214) 395-2375
NE Multispecialty Clinic - Cosmetic Renovation,TABS2025000118,Cook Children's,"750 Mid Cities Blvd, Hurst, TX 76054",Tarrant,10/1/2024,6/1/2025,"$2,900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",PROJECT INVOLVES THE COSMETIC RENOVATION OF AN EXISTING OUTPATIENT PEDIATRIC SPECIALTY CLINIC SPACE.,"23,100 ft 2",Cook Children's Medical Center,"807 Seventh Ave, Fort Worth, Texas 76104",(682) 885-7145,Anne Mullins,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000118,E4H Architecture,"801 Cherry St Suite 500, Fort Worth, Texas 76102",(214) 416-7612
Cardinal Health,TABS2025000094,Blazing Trail Building 2,"3000 Mark IV Parkway, Fort Worth, TX 76016",Tarrant,9/16/2024,1/27/2025,"$11,000,000",New Construction,"This project is privately funded, on private land for private use.",Revision of existing office and addition of interior office and warehouse upgrades,"339,848 ft 2","RLP III Trails Plase 1, LLC","9830 Colonnade Blvd. Suite 600, San Antonio, Texas 76106",(214) 740-3498,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000094,Alliance Architects,"1600 N. Collins Blvd, Richardson, Texas 75080",(972) 233-0400
Health Pavilion- 1st and 6th Floor Renovation,TABS2025000089,Health Pavilion,"855 Montgomery Street, Fort Worth, TX 76107",Tarrant,11/1/2024,6/1/2025,"$2,520,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Limited renovation, furniture package and finish upgrades. Renovated area is approximately 16,000 SF.","16,000 ft 2",University of North Texas Health Science Center,"1901 Main Street, Dallas, Texas 75201",(940) 369-6673,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000089,Treanor HL,"2554 Elm Street, Suite 200, Dallas, Texas 75226",(785) 766-0678
Castleberry ISD High School Addition,TABS2025000043,Castleberry ISD High School,"215 Churchill Road, Fort Worth, TX 76118",Tarrant,11/25/2024,10/6/2026,"$78,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","The 108,386 SF addition adds new administrative offices, CTE classrooms, science lab classrooms, and storm shelter gymnasium. The proposed renovation covers 178,100 SF of the existing campus.","286,486 ft 2",Castleberry ISD,"5228 Ohio Garden Road, River Oaks, Texas 76114",817-252-2088,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000043,WRA ARCHITECTS,"12377 Merit Drive, STE 1800, Dallas, Texas 75251",214-750-0077
Feng Cha Grapevine TX,TABS2025000032,NA,"919 E Northwest Highway, Grapevine, TX 76051",Tarrant,9/15/2024,12/15/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish-out,"1,510 ft 2",Jimmy Idoski,"505 West Northwest Highway, Grapevine, Texas 76051",(817) 657-0234,Kushal Bastakoti,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000032,,,
121 Community Park,TABS2025000021,121 Community Park,"2701 Ira E. Woods Avenue, Grapevine, TX 76051",Tarrant,10/1/2024,6/30/2025,"$2,330,000",New Construction,"This project is privately funded, on private land for private use.","New construction of open air pavilion, small storage building, soccer field, pickleball court and all surrounding site work","3,200 ft 2",121 Community Church,"840 Mustang Drive, Grapevine, Texas 76051",(817) 488-1213,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000021,,,
