project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Hoppin' Azle,TABS2026028297,Hoppin' Azle,"2321 Azle Ave, Fort Worth, TX 76164",Tarrant,10/1/2026,10/1/2027,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New commercial construction of a convenience store,"5,961 ft 2",Army Group INC,"1515 SOUTHEAST PKWY, Azle, Texas 76020",(682) 522-9276,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028297,Arman Solutions LLC,"706 Glencrest Lane, Suite B, Longview, Texas 75605",(409) 454-6117,
Tarleton State Parkway Overpass at Chisholm Trail Parkway Entrance & Exit Ramps,TABS2026028287,Chisholm Trail Parkway,"Tarleton State Parkway, Fort Worth, TX 76123",Tarrant,12/14/2026,5/31/2029,"$382,410",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Work consisting of grading, bridge structure, sidewalks (31,231 sf), exit and entrance ramps, toll gantry facilities, drainage, signing, striping, illumination, ITS, TCP, removals, utilities, and environmental.","31,231 ft 2",North Texas Tollway Authority (NTTA),"P.O. Box 260928, Plano, Texas 75026",214-830-0193,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028287,"GFT Infrastructure, Inc.","500 W 7th Street Suite 100, Fort Worth, Texas 76102",817-334-4437,
Restore + Revive North,TABS2026028281,Restore + Revive North,"4928 Byers Avenue, Fort Worth, TX 76107",Tarrant,9/15/2026,6/1/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.",office building shell and associated sitework,"8,900 ft 2",Fitzco Investments LP,"6000 Indian Creek Court, Fort Worth, Texas 76107",(817) 343-7566,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028281,Ibanez Shaw Architecture LLC,"801 West 10th Street, Fort Worth, Texas 76102",(817) 845-8348,
Mercantile East,TABS2026028268,Mercantile East Building A,"3588 E. Long Avenue, Fort Worth, TX 76137",Tarrant,9/21/2026,1/31/2028,"$13,735,072",New Construction,"This project is privately funded, on private land for private use.","Construction of one (1), Office / Warehouse building, being fully sprinklered with ESFR Fire Sprinkler Systems, having tilt-up concrete exterior walls and steel roof structure","178,360 ft 2","Mercantile Partners, LP","2650 Meacham Boulevard, Fort Worth, Texas 76137",(817) 831-2121,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028268,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,
Project Star,TABS2026028265,Deloitte University,"5 Deloitte Way, Westlake, TX 76262",Tarrant,10/19/2026,5/14/2027,"$1,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Fit Out of Previously Constructed Shell Space. Approximately 8,000 SF.","8,000 ft 2",DCLI LLC,"One Deloitte Way, Westlake, Texas 76262",(817) 727-5053,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028265,,,,
Mercantile East,TABS2026028263,Mercantile East Building B,"3588 E. Long Avenue, Fort Worth, TX 76137",Tarrant,9/21/2026,1/31/2028,"$35,762,303",New Construction,"This project is privately funded, on private land for private use.","Construction of one (1), Office / Warehouse building, being fully sprinklered with ESFR Fire Sprinkler Systems, having tilt-up concrete exterior walls and steel roof structure","530,442 ft 2","Mercantile Partners, LP","2650 Meacham Boulevard, Fort Worth, Texas 76137",(817) 831-2121,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028263,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,
Bubble Bath Carwash #61515,TABS2026028228,Bubble Bath Carwash #61515,"1800 Altamesa Blvd., Fort Worth, TX 76134",Tarrant,12/27/2026,5/24/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a drive thru car wash, including site work. 4,000sf.","4,000 ft 2","QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(817) 917-3177,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028228,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,
Mori Ramen,TABS2026028177,Southgate Marketplace / Southgate Commons,"12448 Ware Ranch Trail, Suite 130, Fort Worth, TX 76028",Tarrant,9/1/2026,12/30/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Restaurant tenant finish-out for Mori Ramen, approx. 2,013 sq. ft., including dining, kitchen, restrooms, plumbing, electrical, HVAC, hood/exhaust, finishes, and accessibility improvements.","2,013 ft 2",TL SERIES LLC SOUTHGATE SERIES,"2470 S Dairy Ashford Rd Unit 625, Houston, Texas 77077",(214) 462-3366,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028177,L & S Design Studio,"525 E Walnut St, Garland, Texas 75040",(469) 383-6256,Cheng Lin
Christs Haven for Children - New Residence,TABS2026028136,Christs Haven for Children - New Residence,"4200 Keller Haslet Rd, Fort Worth, TX 76244",Tarrant,1/4/2027,8/2/2027,"$700,000",New Construction,"This project is privately funded, on private land for private use.",New Custom Residence for for a foster family,"5,483 ft 2",Christ's Haven for Children,"4200 Keller Haslet Rd, Fort Worth, Texas 76224",(407) 493-5654,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028136,"FORM studios, Inc","300 Burnett St Suite 120, Fort Worth, Texas 76102",(817) 718-2050,
DFW - TC Ph. 2.1/2.2 Enabling Package - Concessions Storage,TABS2026028131,Terminal C,"2330 N International Pkwy, Dfw Airport, TX 75261",Tarrant,10/1/2026,11/15/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconfiguration of existing space to accommodate new tenants. Total scope includes storage. Total Area: Approximately 2,206 SF","2,206 ft 2",City of Dallas/DFW Airport Division,"Dallas Fort Worth International Airport P.O. Box 6, DFW Airport, Texas 75261",(972) 973-1784,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028131,Corgan Associates Inc.,"401 N Houston St, Dallas, Texas 75202",214-248-2000,Audie Harris
THR Alliance NICU Expansion,TABS2026028103,Texas Health Harris Methodist Hospital Alliance,"10864 Texas Health Trail, Fort Worth, TX 76244",Tarrant,10/12/2026,8/20/2027,"$6,318,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","8,725 SF Renovation of the NICU department increasing from 8 beds to 16 beds","8,725 ft 2",Texas Health Resources,"612 E Lamar Blvd Ste 660, Arlington, Texas 66011",(972) 768-6120,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028103,HKS Inc.,"350 N Saint Paul St. Suite 100, Dallas, Alabama 75201",(214) 969-5599,
Custom Coolers,TABS2026028042,Office Remodel,"5609 Azle Ave, Sansom Park, TX 76114",Tarrant,8/31/2026,11/30/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel of existing office area.  light-gauge metal framing and lay-in tile ceiling.,"3,070 ft 2",G & E Associates LLC,"5609 Azle Ave, Fort Worth, Texas 76114",(817) 284-2025,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028042,AG Design Group,"PO BOX 383023, Duncanville, Texas 75138",(214) 766-5905,
Cookie Society,TABS2026028015,DFW Airport,"2040 N. International Pkwy Terminal B19, Dfw Airport, TX 75261",Tarrant,10/30/2026,2/15/2027,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovations to an existing A-2 occupancy building. Scope of work includes interior and exterior finishes as well as upgraded electrical, mechanical and plumbing systems. ",450 ft 2,DFW Airport,"2040 N International Pkwy, DFW Airport, Texas 75261",(972) 655 4667,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028015,Hohe Design Group,"302 N Market St Ste 250, Dallas, Texas 75202",(214) 276-8388,
Texas Trust Credit Union Skymark 3rd floor,TABS2026028005,Skymark Tower,"1521 N Cooper, Suite 300, Arlington, TX 76033",Tarrant,9/1/2026,12/1/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of offices,"9,237 ft 2",Texas Trust Credit Union,"5850 W I-20, arlington, Texas 76017",(682) 760-8781,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028005,Interior Design Group,"2307 Oak Forest Ct, Arlington, Texas 76012",817.469.1171,
Maman - Southlake,TABS2026027984,Maman,"1161 E Southlake Blvd, Southlake, TX 76092",Tarrant,10/7/2026,1/29/2027,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out of an existing lease space,"2,571 ft 2",5C SL PARK VILLAGE LLC,"20405 State Highway 249 Ste. 810, Houston, Texas 77070",(713) 751-2313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027984,Fusion-AE,"6201 Campus Cirlce Dr E, Irving, Texas 75232",(469) 579-2227,Maman
Leasor Crass Conference Room Addition,TABS2026027968,Leasor Crass Law Offices,"302 W. Broad Street, Mansfield, TX 76063",Tarrant,11/2/2026,4/30/2027,"$80,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",532 sf conference room addition to the existing law office building.,532 ft 2,"LCM Ventures, LLC","302 W. Broad St, Mansfield, Texas 76063",(817) 881-2418,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027968,"Paul Thomposn, AIA","6936 Catamaran Dr, Grand Prairie, Texas 75054",(214) 542-3482,
"Costco Wholesale Southlake, TX - Restroom Renovation",TABS2026027960,"Costco Wholesale Southlake, TX","2601 East State Highway 114, Southlake, TX 76092",Tarrant,1/4/2027,2/1/2027,"$320,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovate members restrooms, receiving restroom, tire center restroom, scrubber pit, and hallways. 1,110 sq ft.","1,110 ft 2",COSTCO WHOLESALE CORP,"730 Lake Drive, Issaquah, Washington 98027",425-416-1544,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027960,MG2 Architecture Corporation,"1101 Second Avenue, Suite 100, Seattle, Washington 98101",206-962-6652,
