project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Sewell Lexus Ft. Worth Collision Center,TABS2026019095,Lexus Ft. Worth Collision Center,"6101 Oakbend Trail, Fort Worth, TX 76132",Tarrant,6/15/2026,9/15/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 1200 Sq ft remodel of an existing auto body shop, restroom, locker room, janitor closet, and break rooms are to be updated","1,200 ft 2",Sewell Corporation of Ft. Worth,"3860 W Northwest Hwy, Suite 102, Dallas, Texas 75220",(817) 739-6925,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",214-273-1627,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019095,
"Planet Fitness Grand Prairie, TX",TABS2026019069,Planet Fitness,"541 W Pioneer Parkway, Grand Prairie, TX 75051",Tarrant,6/17/2026,8/31/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant improvement to include selective demolition, new equipment, interior partitions, ceilings, lighting and finishes for existing fitness facility remodel.  Affected square footage is 24, 534","24,534 ft 2","Hollywood Plaza Associates, LLC","4403 N. Central Expressway #110 Suite A110, Dallas, Texas 75205",(310) 844-7806,pb2 architecture + engineering,"4886 West Pauline Whitaker Parkway Suite 200, Rogers, Arkansas 72758",(479) 636-3545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019069,Desh Singh
TX240572 Fort Worth (Target T1770),TABS2026019059,Electrify America EVCS,"5700 Overton Ridge Blvd, Fort Worth, TX 76132",Tarrant,9/30/2026,12/31/2026,"$400,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construct/Install new EV Charging facility to include dispenser and power units equipment.,"4,000 ft 2",TARGET CORPORATION,"PO BOX 9456 ATTN: Prop Tax Dept, MINNEAPOLIS, Minnesota 55440",(571) 446-8951,Black & Veatch,"45 Eisenhower Dr, PARAMUS, New Jersey 07652",(201) 977-1534,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019059,Kayla Lowery
Dynaten,TABS2026019055,Euless Grapevine Warehouse,"3642 Euless-Grapevine Road, Grapevine, TX 76051",Tarrant,6/1/2026,12/31/2026,"$12,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Office interior remodel in existing one story shell industrial building, 49,328 sf","49,328 ft 2",DFW WEST LOGISTICS ONE LLC,"3811 Turtle Creek Boulevard Suite 1825, Dallas, Texas 75219",214-475-2699,BHA Studio,"3141 Hood Street Suite 420, Dallas, Texas 75219",(214) 697-0761,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019055,Kyle Hogue
4844 White Settlement,TABS2026019045,4844 White Settlement,"4844 White Settlement Rd., Fort Worth, TX 76114",Tarrant,5/27/2026,9/30/2026,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION TO EXISTING BUILDING, INCLUDING UPDATING LIGHTING, FINISHES, DOORS AND WINDOWS.  ","1,088 ft 2",GEOCAT 4844 LLC,"6001 River Oaks Blvd, Fort Worth, Texas 76114",(817) 632-3229,Studio 97w,"901 S. Main St., Fort Worth, Texas 76104",(817) 882-6940,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019045,
BSW Grapevine Biplane #1 Renovation,TABS2026019040,Baylor Scott & White Medical Center - Grapevine,"1650 W College St, Grapevine, TX 76051, Grapevine, TX 76051",Tarrant,6/15/2026,1/11/2027,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of existing special procedure room with new equipment. New walls, doors, and control desk.","1,500 ft 2",J. Mark Fryar,"301 N Washington Avenue, Dallas, Texas 75226",214-820-8521,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019040,
BSW Grapevine ED Rad Room Renovation,TABS2026019038,Baylor Scott & White Medical Center - Grapevine,"1650 W College St, Grapevine, TX 76051, Grapevine, TX 75094",Tarrant,5/20/2026,8/30/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Equipment renovation of existing X Ray equipment. No walls/doors/life safety elements modified. ,300 ft 2,Mark Fryar,"301 N Washington Avenue, Dallas, Texas 75226",214-820-8521,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019038,
CVS 10576 Mansfield,TABS2026019015,CVS 10576 Mansfield,"3802 East Broad Street, Mansfield, TX 76063",Tarrant,7/13/2026,8/21/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1,724 SF - CVS will be expanding the existing pharmacy and correcting non-compliant accessibility items. ","1,724 ft 2","Mansfield Investment Associates, LLC","340 East 64th Street, Apt. 30A, New York, New York 10065",917-693-8162,Architectural Design Guild,"2710 Sutton Blvd, St. Louis, Missouri 63143",314-644-1234,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019015,David Wilson - CVS
Watts PVI Climate Chamber,TABS2026019000,Building 1,"425 W. Everman Pkwy #101, Fort Worth, TX 76134",Tarrant,5/1/2026,1/1/2027,"$500,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",additions to existing building,"2,992 ft 2","Everman Fort Worth Building SPE, LLC","1900 Avenue of the Stars Suite 320, Los Angeles, California 90067",(310) 960-5463,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019000,
Graybox Windy Ryon South,TABS2026018987,Graybox Windy Ryon South,"133 Hartman Court, Fort Worth, TX 76179",Tarrant,6/1/2026,2/28/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","Proposed Industrial Office - Storage structure located in the Longhorn Business Park Addition of Fort Worth, TX (Tarrant County) at the intersection of Windy Ryon Way and Hartman Court. Proposed Square Footage 10,027. and ","10,027 ft 2",Graybox Windy Ryon LLC,"540 Taylor St., Suite 2400, Fort Worth, Texas 76102",817.639.2232,m3 studio pllc,"3613 Washburn Avenue, Fort Worth, Texas 76107",817.733.3513,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018987,
Traffic Signal Improvements (CSJ: 0014-01-032),TABS2026018973,CSJ: 0014-01-032,"BU 287 at 29th St, Fort Worth, TX 76133",Tarrant,6/30/2027,6/29/2028,"$94,640",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Install traffic signals, APS push buttons, safety lighting, ADA curb ramps, pavement markings and crosswalks.",100 ft 2,TxDOT District: Fort Worth,"2501 S W Loop 820, Fort Worth, Texas 76133",(817) 370-6744,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018973,
Traffic Signal Improvements (CSJ: 0902-90-283),TABS2026018970,CSJ: 0902-90-283,"Berry St at New York Ave and Village Creek Rd, Fort Worth, TX 76110",Tarrant,9/30/2026,9/30/2027,"$59,381",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Install traffic signal, safety lighting, improve pedestrian signal, resurfacing, add left lane and right turn lane.",100 ft 2,TxDOT District: Fort Worth,"2501 S W Loop 820, Fort Worth, Texas 76133",(817) 370-6744,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018970,
Alliance Operating Services Remodel,TABS2026018963,Northfield Distribution Center,"1200 Minters Chapel Road Su. 500, Grapevine, TX 76051",Tarrant,5/4/2026,7/31/2026,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This is an interior remodel in an existing building. ,"7,185 ft 2",Eastgroup Properties LP,"400 W Parkway Place, Su. 100 Su. 1150, Ridgeland, Mississippi 39157",(972) 386-8700,Space Planning Specialists LLC,"906 Cottonwood Way, Josephine, Texas 75189",(972) 414-9391,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018963,
Traffic Signal Improvements (CSJ: 0902-00-323),TABS2026018956,CSJ: 0902-00-323,"Various Locations, Fort Worth, TX 76133",Tarrant,4/16/2027,10/19/2027,"$76,800",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Install pedestrian curb ramps, signal heads, push buttons and installation of APS equipment.",100 ft 2,TxDOT District: Fort Worth,"2501 S W Loop 820, Fort Worth, Texas 76133",(817) 370-6744,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018956,
FOX FITNESS,TABS2026018948,FOX FITNESS GYM ADDITION,"6336 CROMWELL MARINE CREEK RD FT WORTH TX  76135, Fort Worth, TX 76135",Tarrant,5/1/2026,11/1/2026,"$300,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",ADD APPROX 3210 SQ FT,"3,210 ft 2",FOXFIRE MANAGEMENT L.L.C.,"1881 PARK ST AZLE TX 76020, Azle, Texas 76020",(817) 237-9998,WILLIAM PECK AND ASSOC,"105 W MAIN LEWISVILLE TX 75057, Lewisville, Texas 75057",(214) 707-0304,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018948,alex fox
Terminal F Concourse - Phase 1A,TABS2026018928,Terminal F Concourse,"2655 18L Emergency Rd.,, Dfw Airport, TX 75261",Tarrant,4/1/2025,11/30/2028,"$650,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Phase 1A building addition to Terminal F, Phase 1, International Airport Terminal (1,168,349 GSF) at DFW Airport","1,168,349 ft 2",DFW BOARD,"2400 Aviation Drive, DFW Airport, Texas 75261",(972) 973-3112,PGAL,"14135 MIDWAY RD., STE G-200,, Addison, Texas 75001",720-216-9602,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018928,
Gate Escape DFW,TABS2026018926,DFW Airport,"2330 N International Parkway, DFW Airport Terminal A, Space: A-2-040J-A01, Dfw Airport, TX 75621",Tarrant,6/22/2026,9/22/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Tenant fit-out of new concessions space within Terminal A of DFW Airport.,462 ft 2,Dallas Fort Worth Airport,"2330 N International Parkway, DFW Airport, Texas 75261",(972) 655-4667,Desmone Architects,"3400 Butler Street, Pittsburgh, Pennsylvania 15201",(412) 683-3230,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018926,Mike Wish
Apple Southlake Town Square Forum Modernization,TABS2026018916,Southlake Town Square,"260 Grand Avenue, Southlake, TX 76092",Tarrant,6/17/2026,8/27/2026,"$589,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","MINOR REMODEL OF EXISTING TENANT SPACE. WORK INCLUDES MODIFICATION OF EXISTING NON-STRUCTURAL PARTITIONS, FURNITUE AND RELATED HVAC AND ELECTIRCAL WORK. NO CHANGE IN TENANT, OCCUPANCY, OR SQUARE FOOTAGE","2,500 ft 2",KRG GRAND AVENUE II LLC,"30 S MERIDIAN ST. SUITE 1100, INDIANAPOLIS, Indiana 46204",214-545-3059,MBH Architects,"960 Atlantic Ave, Alameda, California 94501",510-814-3457,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018916,Byron Knolls
Foxlink TX Phase 1.75,TABS2026018911,Foxlink Texas,"4600 Alliance Gateway Fwy, Fort Worth, TX 76177",Tarrant,5/11/2026,6/12/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THIS TENANT IMPROVEMENT SUBMITTAL IS FOR THE PHASE 1.75 SCOPE AND CONSISTS OF SELECTIVE DEMOLITION AND NEW CONSTRUCTION TO SUPPORT FACILITY UPGRADES, INCLUDING NEW INTERIOR PARTITIONS, FINISHES, AND BUILDING SYSTEMS IMPROVEMENTS.","21,485 ft 2",Foxlink Texas Inc,"4600 Alliance Gateway Fwy, Fort Worth, Texas 76177",(346) 794-9808,Covenant Design Build and Construction Management,"421 N Brookhurst, Anaheim, California 92801",(323) 895-5805,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018911,
Renovation of Aerospace Coatings,TABS2026018907,Aerospace Coatings Hangar,"173 American Concourse, Fort Worth, TX 76106",Tarrant,5/20/2026,7/1/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of a hangar shop area to paint mixing and storage facility,"7,298 ft 2","FW American Aero Land Company, LLC","2711 Centerbille Road Suite 400, Wilmington, Delaware 19808",(267) 577-6555,Stuckey Architects,"208 N. Main Street; Suite 140, Weatherford, Texas 76086",(817) 846-9410,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018907,Aerospace Coatings
The Proctor Place Townhomes,TABS2026018905,The Proctor Place Townhomes,"901 W Abram St, Arlington, TX 76013",Tarrant,5/20/2026,1/31/2027,"$2,943,513",New Construction,"This project is privately funded, on private land for private use.","Construction of 8 town homes, single family dwellings ","18,630 ft 2",Art Wilson,"2217 Ivan St #1220, Dallas, Texas 75201",(214) 727-5202,Kuvo Architects,"13100 Wortham Center Drive, Houston, Texas 77065",(832) 608-8833,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018905,
Traffic Signal Improvements (CSJ: 0902-90-286),TABS2026018849,CSJ: 0902-90-286,"NW 25th St at Clinton Ave, Fort Worth, TX 76164",Tarrant,9/30/2026,9/30/2027,"$101,575",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Install pedestrian curb ramps, signal heads, push buttons and installation of APS equipment.",100 ft 2,TxDOT District: Fort Worth,"2501 S W Loop 820, Fort Worth, Texas 76133",(817) 370-6744,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018849,
Dunkin JJ McCart,TABS2026018811,Dunkin JJ McCart,"18508 INTERCONTINENTAL CROSSING DR, Fort Worth, TX 77073",Tarrant,8/31/2026,1/31/2027,"$425,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out in an existing drive thru restaurant building for a new Dunkin' Jimmy Johns drive thru restaurant.,"3,710 ft 2",MUZNA MANAGEMENT INC,"3405 Spectrum Blvd, Richardson, Texas 75082",(214) 221-7599,Reese Design Services,"6420 Richmond Ave #345 #345, Houston, Texas 77057",(713) 894-0132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018811,Santosh Abraham
Remodeling for The Center of Cancer and Blood Disorders,TABS2026018801,The Center for Cancer and Blood Disorders,"900 West Magnolia Ave., Fort Worth, TX 76104",Tarrant,4/30/2026,10/29/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodeling of existing office space  ,"10,183 ft 2",HCPI/UTAH II LLC,"3000 Meridian Blvd. Suite 200, Franklin, Tennessee 37067",(949) 407-0700,TMA ARCHITECTS,"1317 Alston Avenue Suite 101, FORT WORTH, Texas 76104",(817) 737-0404,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018801,
Suite B305 Shell,TABS2026018742,University Park Village - Building B,"1616 S University Drive, Fort Worth, TX 76107",Tarrant,6/1/2026,8/30/2026,"$715,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior demoltion of existing tenant improvements, replacement of HVAC rooftop units to provide a new 10,354 SF cold dark shell for future tenant improvements.","10,354 ft 2","UPV Center, L.P","PO Box 6120, Indianapolis, Indiana 46204",(817) 332-5700,SJE ARCHitects,"8350 N Central Expressway Suite 1900, Dallas, Texas 75206",(817) 312-1518,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018742,
Don Goyo,TABS2026018740,Don Goyo,"8520 Camp Bowie West Blvd., Fort Worth, TX 76116",Tarrant,5/25/2026,9/28/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish-out of existing stand alone building. Existing and new mechanical, electrical, and plumbing equipment.","11,200 ft 2","Don Goyo, LLC","12324 Bella Palazzo Drive, Fort Worth, Texas 76126",(682) 225-3616,"Hub City Productions One, LP","4100 Commerce St Apt 14, Dallas, Texas 75226",(214) 821-8242,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018740,
office refurb,TABS2026018738,hardrock,"3025 hardrock, Grand Prairie, TX 75050",Tarrant,5/31/2026,9/30/2026,"$400,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",refurbishment of existing office in an existing building,"2,480 ft 2","ag-trep hardrock road property owner, lp","3657 briarpark drive 300, houston, Texas 77042",(281) 841-1974,meinhardt & associates,"14643 Dallas Parkway Suite 636, dallas, Texas 75252",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018738,
Alcon OBS Suite,TABS2026018733,Alcon Experience Center,"6201 South Freeway, Fort Worth, TX 76134",Tarrant,6/22/2026,7/20/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation project including two (2) operating rooms and support/storage room, involving relocation of walls and doors, new window walls and doors and finishes.","3,800 ft 2",ALCON LABORATORIES INC,"6201 SOUTH FWY, Fort Worth, Texas 76134",(817) 302-4190,Johnston LLC,"16479 Dallas Parkway Suite 400, Addison, Texas 75001",(972) 630-6084,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018733,
Tenant finish out suite 100,TABS2026018732,Tenant finish out suite 100,"9049 Mid Cities Blvd., Ste 100, North Richland Hills, TX 76182",Tarrant,6/1/2026,1/31/2027,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out.,"2,165 ft 2","Convergence Capital, LLC","1303 Bellefonte Lane, Colleyville, Texas 76034",(817) 996-6626,"MJ Wright & Associates, Inc.","1167 Arrowhead Ranch Blvd., Dripping Springs, Texas 78620",(817) 300-5044,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018732,
REMODEL FOR FIRST AMERICAN PAYMENT SYSTEMS INC.,TABS2026018690,TWO CITY PLACE,"100 THROCKMORTON ST SUITE 600, Fort Worth, TX 76102",Tarrant,5/4/2026,7/24/2026,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL OF EXISTING LEASE SPACE,"17,000 ft 2",SREP-TCPFWTX LLC,"5210 MCKINNEY AVE., DALLAS, Texas 75205",(214) 796-4087,HALBACH DIETZ.ARCHITECTS,"6913 CAMP BOWIE BLVD. SUITE 149, FORT WORTH, Texas 76116",(817) 737-0724,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018690,
QuikTrip # 860 Exterior Canopy Refresh Project,TABS2026018683,QuikTrip # 860,"1500 Precinct Line Rd., Hurst, TX 76054",Tarrant,2/1/2026,5/27/2026,"$115,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New signage, canopy and pilaster finish at front entrance of building. 700 sf.",700 ft 2,"QT South, LLC","4705 S 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,"Daniel D. Filuk, Architect","1747 E. Morten Avenue, Ste 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018683,
KidStrong,TABS2026018670,Village at Camp Bowie,"6323 Camp Bowie Blvd Suite 141, Fort Worth, TX 76116",Tarrant,5/25/2026,7/31/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing tenant space.  No exterior or site work included.,"3,668 ft 2",Camp Bowie Dunhill LLC,"3100 Monticello Avenue Suite 300, Dallas, Texas 75205",(214) 261-9589,Lokal Workshop LLC,"PO Box 531 - -, Haslet, Texas 76052",(903) 245-4324,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018670,Matt Sharp
Panther Island Canals,TABS2026018652,"Canal B Phase 1 improvements, Canal C STA 6+49 to 18+41, Canal D Begin to STA 21+86","223 NE 4th Street,, Fort Worth, TX 76164",Tarrant,6/30/2026,6/30/2028,"$9,665,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Hardscape, retaining walls, trail, landscape, electrical/lighting and irrigation. Approx. 55,000 SF of hardscape improvements.","55,000 ft 2",Tarrant Regional Water District,"800 East Northside Drive, Fort Worth, Texas 76102",(214) 538-1678,Kimley-Horn and Associates,"801 Cherry St. Suite 1300, Unit 11, Fort Worth, Texas 76102",(817) 339-2283,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018652,
