project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Bubble Bath # 61509,TABS2026019680,Bubble Bath # 61509,"Loop 820 & Marine Creek Pkwy., Fort Worth, TX 76106",Tarrant,7/27/2026,3/13/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.",To construct a car wash. 4000 sf.,"4,000 ft 2","QT South, LLC","4705 S 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019680,,"Daniel D. Filuk, Architect","1747 E. Morten Avenue, Ste 111, Phoenix, Arizona 85020",(602) 234-1868
Evolve by Hudson C2151A,TABS2026019663,DAL Love Field,"8008 Herb Kelleher Way, Dallas, TX 75235",Tarrant,7/10/2026,10/20/2026,"$545,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF EXISTING RETAIL SPACE, CONSISTING OF NEW WALLS, CEILING, FLOORING, FINISHES, DISPLAY FIXTURES, LIGHTING AND ALL ASSOCIATED ELECTRICAL AND MECHANICAL WORK.  NO CHANGES TO EXISTING EXITING, OCCUPANCY, OR USE.","1,811 ft 2",City of Dallas,"7555 Lemmon Avenue, Dallas, Texas 75235",(214) 671-0700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019663,"Victor Molaschi,  Project Director - West","Daniel J Krulac, Architect","357 E 57th St #17B, New York, New York 10022",(212) 401-6384
Golden Triangle Conditioned Room,TABS2026019662,Ceva Logistics Building,"2581 Golden Triangle Boulevard,, Fort Worth, TX 76177",Tarrant,5/18/2026,6/15/2026,"$559,771",Renovation/Alteration,"This project is privately funded, on private land for private use.",Proposed construction of a conditioned room within the existing warehouse. The proposed conditioned area replaces previous non-conditioned Moderate Hazard Storage S-1 and does not increase the existing building code area.,"15,770 ft 2","TCRG Opportunity IX, LLC","5201 Camp Bowie #200, Fort Worth, Texas 76049",8-17.-964-7093,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019662,Doug Brown,m3 studio pllc,"3613 Washburn Avenue, Fort Worth, Texas 76107",817.733.3513
"Major Perk Coffee - Fort Worth, TX",TABS2026019660,Major Perk Coffee,"1405 S Cherry Ln, Fort Worth, TX 76108",Tarrant,6/1/2026,12/31/2026,"$800,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work is for a new 2,277 sq ft coffee shop building with a drive thru.","2,277 ft 2","AMS Storage, LLC","160 Falcon Drive, Weatherford, Texas 76088",817-458-2043,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019660,,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922
Cummings T.I.,TABS2026019652,"NY Ave, Building 3","3651 Allen Ave Suite 101, Arlington, TX 76014",Tarrant,6/1/2026,8/15/2026,"$740,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel to modify existing office area to provide additional restrooms, enclosed breakroom, and conference rooms. ","86,622 ft 2",PROLOGIS-EXCHANGE TX 2008 LLC,"60 STATE ST STE 2200, Boston, Massachusetts 02109",(972) 884-9256,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019652,,"Meinhardt & Associates Architects, PLLC","14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980
Recon Rehab Warriors Center,TABS2026019650,Same as project name,"433 Precint Line Road, Hurst, TX 76053",Tarrant,5/30/2026,9/15/2026,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an old fire station into a training center and offices for the Rehab Warriors a land development and construction company,"6,140 ft 2",REHAB WARRIORS PBC,"433 Precint Line Road, Hurst, Texas 76053",(214) 228-7066,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019650,,,,
DMW Property Holdings LLC,TABS2026019648,833 Building,"833 East N.W. Hwy., Grapevine, TX 76051",Tarrant,6/1/2026,8/30/2026,"$120,072",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finishout office space,"1,462 ft 2",DMV Property Holdings LLC,"6750 Belle Cote Circle, Argyle, Texas 76226",(214) 532-4108,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019648,,,,
Stacked Land,TABS2026019630,Stacked Land Shell Buildings,"751 East Rendon Crowley Road, Burleson, TX 76028",Tarrant,6/15/2026,2/19/2027,"$22,500,000",New Construction,"This project is privately funded, on private land for private use.",5-Tilt up shell buildings with site work,"130,000 ft 2",Stacked Land LLC,"18301 Von Karman Ave., Suite 510, Irvine, California 92612",(619) 672-1754,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019630,,Thetford Architecture,"5324 Dilly Shaw Tap Road, Bryan, Texas 77808",(979) 587-6483
Summer Creek Retail,TABS2026019629,Restaurant Shell Building  Lot 6,"7601 Summer Creek Drive, Fort Worth, TX 76123",Tarrant,7/6/2026,1/8/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.",3700 SF restaurant shell building and site development ,"3,700 ft 2",Revenue Avenue LLC,"6424 Colleyville Blvd. Suite 120, Colleyville, Texas 76034",469-363-3222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019629,,Legacy ADPR,"1245 Southridge Ct. Suite 102, Hurst, Texas 76053",817-914-2409
The Baker Martin Family Garden,TABS2026019619,EVPV Canopy,"3220 Botanic Garden Blvd, Fort Worth, TX 76107",Tarrant,6/1/2026,7/15/2026,"$780,000",New Construction,"This project is privately funded, on private land for private use.",New steel canopy structure in parking lot to support PV panel system. New electric vehicle charging stations.,"1,280 ft 2",City of Fort Worth,"200 TEXAS ST, Fort Worth, Texas 76102",(817)-392-5711,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019619,,Bennett Partners,"640 Taylor Street, Suite 2323, Fort Worth, Texas 76102",817.335.4991
All Saints Episcopal Church,TABS2026019618,All Saints Episcopal Church,"6036 Locke Avenue, Fort Worth, TX 76116",Tarrant,7/31/2026,12/31/2027,"$7,500,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Additions and renovations to existing structure (16,025sf) to be new 21,787sf church building with attached office wing.","21,787 ft 2",Protestant Episcopal Church Council of the Diocese of Texas,"1225 Texas Ave, Houston, Texas 77002",(817) 735-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019618,,"RPGA Design Group, Inc.","1530 Rio Grande Ave., Fort Worth,, Texas 76102",817-332-9477
Keeping Tony's Garage,TABS2026019609,Keeping Tony's Garage,"4848 White Settlement Rd 03, Fort Worth, TX 76126",Tarrant,5/18/2026,7/24/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Office remodel, adding office space","2,800 ft 2",John McKnight,"101 Nursery Ln 333, Fort Worth, Texas 76114",(817) 542-7562,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019609,Purple Key Homes,,,
CyrusOne DFW8 TFO,TABS2026019605,DFW8,"9501 Asphalt Road, Fort Worth, TX 76179",Tarrant,7/1/2026,10/31/2027,"$300,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR DATA HALL TENANT FIT OUT INCLUDING DATA RACK CONTAINMENT AND SUPPORT INFRASTRUCTURE. 109,000 SF","109,000 ft 2",CyrusOne,"2850 Harwood Street, Suite 200, Dallas, Texas 75201",886 297 8766,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019605,,"JHET Architects, PLLC","2554 Elm Street, Suite 230, Dallas, Texas 75226",214 628 1062
Crowne Plaza Suites Arlington - Accessibility Renovations,TABS2026019601,Crowne Plaza Suites Arlington,"2700 E Lamar Blvd., Arlington, TX 76011",Tarrant,6/1/2026,9/1/2026,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",- Exterior re-striping at ADA parking and adding additional signage -Minor modifications to restrooms near lobby/bar -(5) ADA guestrooms to be renovated -updates to existing and adding additional hearing impaired guestrooms,"3,864 ft 2","Equinox Hotel Arlington, LP, a Texas limited partnership","400 Spear St., Suite 103, San Francisco, California 94105",(415) 298-7674,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019601,,Houston Tyner Architects,"2630 Sepulveda Blvd., Torrance, California 90505",(310) 326-3050
Holy Family New Classroom Building,TABS2026019599,Holy Family Catholic School,"6146 Pershing Ave., Fort Worth, TX 76017",Tarrant,6/30/2026,8/31/2027,"$4,000,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Construction of a 10,000 SQ.Ft. addition","10,000 ft 2",Holy Family Catholic School,"6146 Pershing Ave.   76017, Fort Worth, Texas 76017",817-737-6768,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019599,,"RPGA Design Group, Inc.","1530 Rio Grande Ave., Fort Worth,, Texas 76102",817-332-9477
Qdoba,TABS2026019582,DFW Airport Terminal A,"2625 N. International Parkway, Dfw Airport, TX 75261",Tarrant,6/22/2026,11/30/2026,"$1,750,000",New Construction,"This project is privately funded, on private land for private use.","This project consists of a non-structural interior infill. The scope of work includes new electrical, mechanical, and plumbing systems, as well as new interior finishes throughout.","3,200 ft 2",Dominic Norris,"2400 Aviation Drive, DFW Airport, Texas 75261",(972) 973-5696,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019582,Bassam Odeh,Hohe Design Group,"302 N Market Suite 250, Dallas, Texas 75202",(469) 739-3469
Pinakin Plaza,TABS2026019577,Pinakin Plaza,"2760 Furrs Street, Arlington, TX 76006",Tarrant,7/6/2026,3/19/2027,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.","Ground up construction of a new building with a 3,134 sf laundromat.","5,845 ft 2",Pinakin Investment LLC,"2750 Furrs Street, Arlington, Texas 76006",(469) 418-9511,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019577,,Perez Architecture Studio,"PO Box 223, Crandall, Texas 75114",(214) 718-0584
Additional Education Building,TABS2026019568,Walnut Ridge West,"7550 Rendon Bloodworth Rd., Mansfield, TX 76063",Tarrant,6/1/2026,9/30/2026,"$450,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Additions to an existing building for classrooms. 5760 SF,"5,760 ft 2",Walnut Ridge Baptist Church Inc.,"1201 S.H. 360, Mansfield, Texas 76063",(817) 473-1461,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019568,,,,
H2 Health,TABS2026019546,FWPT Harris Parkway,"6900 Harris Parkway, Suite 210, Fort Worth, TX 76132",Tarrant,6/1/2026,7/6/2026,"$87,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out of shell space into a physical therapy clinic,"1,332 ft 2","ALS Grantor Trust / LVIGP LLC, Trustee","PO Box 34383, Fort Worth, Texas 76162",(817) 938-5782,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019546,Eric Rose,Interior Design Group,"2307 Oak Forest Ct, Arlington, Texas 76012",(817) 469-1171
Absolute Recomp - Arlington,TABS2026019545,Absolute Recomp - Arlington,"4915 S. Cooper Street, Arlington, TX 76017",Tarrant,7/1/2026,9/30/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of vacant tenant space to new personal fitness/private gym,"42,388 ft 2",Slink Holdings LLC,"4350 Gannon Lane, Dallas, Texas 75237",(945) 319-6495,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019545,,pb2 architecture + engineering,"PO BOX 2076, Rogers, Arkansas 72757",(479) 878-3731
BSWH Grapevine MRI Replacement,TABS2026019484,BSWH Medical Center - Grapevine,"1650 West College Street, Grapevine, TX 76051",Tarrant,6/1/2026,10/30/2026,"$1,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of the CT Room to remove 3 existing CT's with 2 larger CT rooms and replace equipment,"1,975 ft 2",Baylor Medical Center Grapevine,"301 North Washington Ave., Dallas, Texas 75246",(214) 418-8815,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019484,,"Perkins Will, Inc.","2218 Bryan Street, Suite 200 Suite 200, Dallas, Texas 75201",(214) 283-8700
"C&H Hardwoods, Inc Phase 2",TABS2026019472,Building 3,"320 Thomas Place, Everman, TX 76140",Tarrant,5/1/2026,6/1/2026,"$222,000",New Construction,"This project is privately funded, on private land for private use.","Lumber Storage SF5,999","5,999 ft 2",C&H Hardwoods Inc,"PO Box 40885, Everman, Texas 76140",(817) 475-1730,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019472,,,,
Keller 1 Dental Office,TABS2026019465,N/A,"2044 California Ave, Keller, TX 92881",Tarrant,8/10/2026,12/15/2026,"$208,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","DENTAL OFFICE, NON STRUCTURAL PARTITIONS, TWO RESTROOMS, MECHANICAL DISTRIBUTION SUPPLY/RETURNS, PLUMBING, T-BAR CEILING, LIGHTS, OUTLETS, SWITCHES","3,200 ft 2",Trinity Partners Commercial Real Estate,"P.O. Box 96011, Southlake, Texas 76092",(214) 986-6351,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019465,Angel Espinoza,Covenant Real Estate Group,"2044 California Ave, Corona, California 92881",(949) 656-4875
Dollar Tree – North Beach Street,TABS2026019441,Dollar Tree – North Beach Street,"7508 North Beach, Fort Worth, TX 76137",Tarrant,11/16/2026,4/21/2027,"$650,000",New Construction,"This project is privately funded, on private land for private use.","New facility of approximately 10,500 square feet for general retail sales. Scope of Work includes interior and site related improvements as outlined in the documents. ","10,500 ft 2","WSP Beach, LLC","1901 N. Akard Street, Dallas, Texas 75201",(806) 786-8192,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019441,Dollar Tree Stores / attn: Steven McMahon,"Castles Design Group, PC","3801 Kirby Drive Suite 600, Houston, Texas 77098",(713) 664-7974
Hyatt Place Stockyards,TABS2026019435,Hyatt Place Stockyards,"132 E Exchange Ave, Fort Worth, TX 76106",Tarrant,8/3/2026,1/30/2027,"$9,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Complete interior renovation with exterior upgrades, including addition/modification of patios, addition of shade structures, and landscape work.","60,361 ft 2",Stockyards Station Hotel LP,"13191 Crossroads Parkway N, 6th Floor, City of Industry, California 91746",(562) 576-1641,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019435,,VLK,"5801 Tennyson Pkwy #100, Plano, Texas 75024",(972) 265-1885
"Mavis Tire - 2337 Fort Worth, TX",TABS2026019407,Mavis Tires & Brankes at Discount Prices,"311 E. Bonds Ranch Road, Fort Worth, TX 76131",Tarrant,4/27/2026,10/31/2026,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.","New construction of an automobile car garage for minor repair:  tire changes, brank repair, oil/fluid changes.","6,953 ft 2","CB-Direct Bonds Ranch, LP","12221 Merit Drive Suite 1220, Dallas, Texas 75251",(214) 979-3346,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019407,Richard Valverde,"Larson Design Group, Inc.","3000 Westinghouse Drive Suite 400, Cranberry Township, Pennsylvania 16066",724-591-8562
UPS store,TABS2026019352,UPS store,"209 east bonds ranch rd, Fort Worth, TX 76131",Tarrant,6/18/2026,8/30/2026,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",UPS store,"1,500 ft 2",Bonds Ranch Marketplace,"3102 maple avenue suite 500, dallas, Texas 75201",(614) 973-9673,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019352,,WD partners,"7007 Discovery blvd, Dublin OH 43017, Ohio 00000",(614) 973-9673
ST. CLEMENT ORTHODOX CHRISTIAN ACADEMY,TABS2026019328,POPE KYRILLOS VI ORTHODOX CHURCH,"8251 BEDFORD BLVD, North Richland Hills, TX 75180",Tarrant,5/10/2026,9/20/2026,"$2,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL OF A NEW K-12 PRIVATE SCHOOL ,"4,300 ft 2","POPE KYRILLOS VI, COPTIC ORTHODOX CHURCH","8251 BEDFORD BLVD, NORTH RICHLAND HILLS, Texas 76180",(404) 884-9471,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019328,,MASTERPLAN DESIGN,"2916 WOODSIDE ST, DALLAS, Texas 75225",(214) 718-9119
Robinhood Westlake Renovation,TABS2026019327,The Terraces at Solana,"1500 Solana Blvd., 4th Floor, Westlake, TX 76262",Tarrant,5/18/2026,7/1/2026,"$165,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant improvement including construction of non-structural partitions,"2,296 ft 2","Sol Westlake, L.P.","980 N. Michigan Avenue, Suite 1700, Chicago, Illinois 60611",(312) 544-9636,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019327,,,,
Arlington Business Park Building C - Tesla Tenant Improvement,TABS2026019309,Building C,"200 East Stephens Street, Arlington, TX 76018",Tarrant,5/20/2026,7/20/2026,"$325,000",New Construction,"This project is privately funded, on private land for private use.","35,622 square foot tenant improvement with 2,096 square foot of it allocated to private and open offices, single user restrooms, conference room, & break room. The site improvements have not changed from the shell building construction. ","2,096 ft 2","ST Stephens Arlington, LLC","14241 Dallas Parkway, Suite 1090, Dallas, Texas 75254",(214) 416-7032,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019309,,GSR Andrade Architects,"2001 North Lamar Street Suite 400, Dallas, Texas 75202",(214) 824-7040
Alans Lids,TABS2026019280,1434 N Main St,"1434 N Main St, Fort Worth, TX 76164",Tarrant,8/1/2026,12/31/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation for a retail space,"5,000 ft 2",ALANS LIDS LLC,"606 W Cleburne Road, Suite 120, Crowley, Texas 76036",(817) 988-0927,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019280,,"GO WEST Architecture, LLC","601 N Hampton St Apt 1201, Fort Worth, Texas 76102",(949) 939-7105
Range Resources,TABS2026019277,777 Main,"777 Main Street Suite 3600, Fort Worth, TX 76102",Tarrant,6/1/2026,1/31/2027,"$11,794,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New tenant finish-out of an existing multi-tenant office building. New partitions, finishes, mechanical, electrical & plumbing.","86,690 ft 2","F7 SSSM, LLC","777 Main Street Suite C-50, Fort Worth, Texas 76102",(404) 364-8080,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019277,Brandon Bales,Corgan,"401 N. Houston Street, Dallas, Texas 75202",(214) 757-1665
Corning - OCS Interior Renovation,TABS2026019259,Corning Optical Communications,"5940 Optical Way, Fort Worth, TX 76244",Tarrant,5/1/2026,3/30/2027,"$7,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of office space within an existing one story building. Renovation scope is confined to the office building addition that was added on to the manufacturing facility in 1993.,"45,000 ft 2","Corning Optical Communications, LLC","One Riverfront Plaza, MP HQ 02 E05, Corning, NY  1 Ste 3150, Corning, New York 14831",828-901-6999,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019259,Larry Rua,Gensler,"5005 Greenville Ave., Dallas, Texas 75206",214-273-1637
ACS DFW 13 Hicks Field,TABS2026019235,DFW 13,"10059 Hicks field Road, Fort Worth, TX 76179",Tarrant,1/5/2026,1/3/2028,"$100,000,000",New Construction,"This project is privately funded, on private land for private use.","A new 2-story data center building at 283274 SF located in Fort Worth, TX. The building is programmed for administrative space limited to 19,654 SF, 4 data halls of 29,427 SF each and accessory support spaces to make up the balance of the building.","283,274 ft 2","Vanguarg PropCo 1, LLC","1 Alhambra Plaza Suite 1200, Coral Gables, Florida 33134",(305) 424-5400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019235,,Corgan,"1 Alhambra Plaza Suite 1200, Coral Gables, Florida 75202",(470) 870-2264
