project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Velera Print Rm & I.T. Stor.,TABS2025022392,Centreport Cuna,"4950 Amon carter Blvd., Fort Worth, TX 76155",Tarrant,8/18/2025,11/14/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel 2 conference rooms into a print/mail room and add a product storage room,"3,100 ft 2","Centreport Cuna, LLC, A Delawar Limited Liability Co.  c/o KDC-CentrePort LP","8115 Preston Rd, Suite 700, Dallas, Texas 75225",(214) 696-7834,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022392,,"Alliance Architects, Inc.","1600 N Collins Blvd., Suite 1000, Richardson, Texas 75080",(972) 233-0400
Merrimac,TABS2025022380,Building E,"TBD, Fort Worth, TX 76107",Tarrant,7/15/2025,11/30/2027,"$2,260,614",New Construction,"This project is privately funded, on private land for private use.","New construction one-story retail cold dark shell building, intended for future assembly (food and beverage) occupancy","6,026 ft 2","TDC Merrimac Retail, L.L.C., a Delaware limited liability company","1900 West Loop S Suite 1300, Houston, Texas 77027",(713) 270-0688,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022380,,,,
Merrimac,TABS2025022379,Building D,"TBD, Fort Worth, TX 76107",Tarrant,7/15/2025,11/30/2027,"$1,013,198",New Construction,"This project is privately funded, on private land for private use.","New construction one-story retail cold dark shell building, intended for future assembly (food and beverage) occupancy","3,787 ft 2","TDC Merrimac Retail, L.L.C., a Delaware limited liability company","1900 West Loop S Suite 1300, Houston, Texas 77027",(713) 270-0688,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022379,,,,
Merrimac,TABS2025022378,Building C,"TBD, Fort Worth, TX 76107",Tarrant,7/15/2025,11/30/2027,"$3,756,092",New Construction,"This project is privately funded, on private land for private use.","New construction one-story retail cold dark shell building, intended for future assembly (food and beverage) occupancy","12,300 ft 2","TDC Merrimac Retail, L.L.C., a Delaware limited liability company","1900 West Loop S Suite 1300, Houston, Texas 77027",(713) 270-0688,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022378,,,,
Merrimac,TABS2025022376,Building B,"TBD, Fort Worth, TX 76107",Tarrant,7/15/2025,11/30/2027,"$2,702,721",New Construction,"This project is privately funded, on private land for private use.","New construction one-story retail cold dark shell building, intended for future mercantile occupancy","7,224 ft 2","TDC Merrimac Retail, L.L.C., a Delaware limited liability company","1900 West Loop S Suite 1300, Houston, Texas 77027",(713) 270-0688,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022376,,,,
5th Floor Corridor Extension,TABS2025022373,Granite Place II,"601 State Street 5th Floor, Southlake, TX 76092",Tarrant,6/30/2025,9/30/2025,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital improvement,708 ft 2,Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022373,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Merrimac,TABS2025022372,Building A,"TBD, Fort Worth, TX 76107",Tarrant,7/15/2025,11/30/2027,"$73,103,127",New Construction,"This project is privately funded, on private land for private use.","New construction seven-story mixed-use building, including 337 residential multi-family apartment units with associated residential amenity spaces, precast 7-story concrete parking garage with basement, and retail shell suites embedded below podium i","627,980 ft 2","TDC Merrimac Resi, L.L.C., a Delaware limited liability company","1900 West Loop S Suite 1300, Houston, Texas 77027",(713) 270-0688,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022372,,,,
US Auto Bldg. 2 Office Finish Out,TABS2025022369,Chisholm 20 Commerce Park - Building #2,"7671 Winbrook Dr, Suite 103, Benbrook, TX 75244",Tarrant,7/30/2025,10/15/2025,"$1,675,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",The construction of a new office with an estimated area of 1141 sf. and support facilities in an existing Cold Dark shell warehouse.,"1,141 ft 2","Jackson Shaw / Benbrook North, LP","4890 Alpha Road Suite 100, Dallas, Texas 75013",(405) 570-8713,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022369,,GSR Andrade Architects,"2001 North Lamar Street, Suite #400, Dallas, Texas 75202",(214) 824-7040
Alcon Equipment Access Stairs,TABS2025022355,Alcon,"6601 Oak Grove Road Suite 300, Fort Worth, TX 76140",Tarrant,8/25/2025,10/1/2025,"$153,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",SCOPE OF WORK: PROVIDE THREE NEW OSHA COMPLIANT STEEL GRATING ACCESS STAIRS WITHIN THE EXISTING WAREHOUSE FOR MAINTENANCE AND ACCESS TO THE AUTOMATED STORAGE SYSTEM AND CONVEYING EQUIPMENT.  ,650 ft 2,Stream Realty,"2001 Ross Avenue Suite 400, Dallas, Texas 75201",(214) 560-2437,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022355,,,,
Murphy USA Mansfield #6555,TABS2025022348,Murphy USA,"2981 Matlock Road, Mansfield, TX 76063",Tarrant,2/5/2026,6/15/2026,"$800,000",New Construction,"This project is privately funded, on private land for private use.","Demo and rebuild of a murphy usa gas station with building, canopy, and USTs.","1,400 ft 2",Murphy Oil USA,"200 East Peach Street, El Dorado, Arkansas 76102",(870) 881-6786,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022348,,,,
Keller Come and See Adventist Church,TABS2025022346,Storage,"11650 Old Denton Road, Keller, TX 76244",Tarrant,9/1/2025,12/1/2025,"$675,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Parking lot expansion with1800sf storage building.,"1,800 ft 2",Texas Conference Association of Seventh-Day Adventist,"1211 US Hwy 67, Alvarado, Texas 76009",(817) 721-5174,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022346,,"Carmona Engineering, LLC","4040 Hwy 6, Ste 200, College Station, Texas 77845",(979) 314-9021
freeman mills expansion,TABS2025022337,burnett plaza,"801 cherry street, suite 1025, Fort Worth, TX 76102",Tarrant,8/1/2025,10/20/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space ,"7,274 ft 2","swiss burnett, llc","P.O. Box 65, Stephenville, Texas 76401",(817) 332-6390,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022337,,interprise design,"14241 dallas parkway, suite 260, dallas, Texas 75254",(972) 385-3991
ARCADES & ENTERTAINMENT CENTER,TABS2025022333,CHUCKE'S ADVENTURE WORLD,"1536 W INTERSTATE 20, Arlington, TX 75013",Tarrant,6/1/2025,11/1/2025,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A NEW 11,238 SF IN LINE TENANT FINISH OUT ARCADES AND ENTERTAINMENT CENTER AND ASSOCIATED UTILITY IMPROVEMENTS.","11,238 ft 2","RRR COOPER STREET PROPERTY, LLC","1845 PRECINT LINE ROAD, STE 108, HURST, Texas 76054",(817) 540-3229,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022333,JUSTIN LEE,PRIZM ARCHITECTS,"580 DECKER STE 170, IRVING, Texas 75062",(469) 261-9618
Maverick Phase 1,TABS2025022328,Maverick Phase 1,"JFWR+6F, Fort Worth, TX 76126, Fort Worth, TX 76126",Tarrant,8/15/2025,1/30/2026,"$165,532",New Construction,"This project is privately funded, on private land for private use.",133 Single Family Residential lots and 20 HOA open spaces,"20,981,980 ft 2",FW Club LP,"4001 Maple Avenue Suite 270, Dallas, Texas 75219",(858) 527-5683,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022328,,LJA Engineering,"6060 N central Expy #440, Dallas, Texas 75206",817-288-1172
